0	Index      	 *	Score 	Summary	Detail	
1	11113 54622	 * 	303.63	橙橙2易伤2矿等1暴击	1立即金币24易伤34矿等4序列升级5电塔对黄6时间7加一89核a暴击
2	11113 54623	   	299.64	橙橙2易伤2矿等	1立即金币24易伤34矿等4序列升级5电塔对黄6时间7加一89核a平台
3	11113 54621	   	289.88	橙橙2易伤2矿等	1立即金币24易伤34矿等4序列升级5电塔对黄6时间7加一89核a掉矿
4	11113 54624	   	289.88	橙橙2易伤2矿等1卖塔	1立即金币24易伤34矿等4序列升级5电塔对黄6时间7加一89核a卖塔
5	11111 33611	 * 	284.45	橙3易伤3伤害3矿等	1立即金币248易伤348矿等48序列升级5双倍秒伤678伤害9核a基地爆炸
6	11111 33612	   	284.45	橙3易伤3伤害3矿等	1立即金币248易伤348矿等48序列升级5双倍秒伤678伤害9核a寒冰对甲
7	11111 33615	   	284.45	橙3易伤3伤害3矿等	1立即金币248易伤348矿等48序列升级5双倍秒伤678伤害9核a雷电
8	11111 33613	   	284.35	橙3易伤3伤害3矿等	1立即金币248易伤348矿等48序列升级5双倍秒伤678伤害9核a电塔对黄
9	11111 33614	   	284.35	橙3易伤3伤害3矿等	1立即金币248易伤348矿等48序列升级5双倍秒伤678伤害9核a挖青
10	11111 33616	   	284.35	橙3易伤3伤害3矿等1挖怪	1立即金币248易伤348矿等48序列升级5双倍秒伤678伤害9核a挖怪
11	61115 33522	   	282.14	橙橙2易伤1伤害1暴击	1伤害2基地爆炸34易伤5随机矿6加农对甲7核弹89核a暴击
12	32212 15522	 * 	280.27	橙橙1易伤2攻速1伤害1暴击	1等级2导弹对毒3敌人爆炸4伤害56攻速7易伤89核a暴击
13	32522 15522	   	280.27	橙橙1易伤2攻速1伤害1暴击	1等级2导弹对毒3伤害4基地爆炸56攻速7易伤89核a暴击
14	62221 15522	   	280.27	橙橙1易伤2攻速1伤害1暴击	1伤害2电塔对甲3敌人爆炸46攻速5金币生成7易伤89核a暴击
15	12313 54623	 * 	280.10	橙橙3易伤	1立即金币24掉矿34a易伤4序列升级5电塔对黄6时间7加一89核
16	13431 66232	   	278.15	橙橙2易伤1伤害	1立即金币2技能点3挖尘4全技能5伤害68核7赏金邻近9a易伤
17	61115 33523	   	278.15	橙橙2易伤1伤害	1伤害2基地爆炸34易伤5随机矿6加农对甲7核弹89核a平台
18	32212 15523	   	276.28	橙橙1易伤2攻速1伤害	1等级2导弹对毒3敌人爆炸4伤害56攻速7易伤89核a平台
19	32522 15523	   	276.28	橙橙1易伤2攻速1伤害	1等级2导弹对毒3伤害4基地爆炸56攻速7易伤89核a平台
20	62221 15523	   	276.28	橙橙1易伤2攻速1伤害	1伤害2电塔对甲3敌人爆炸46攻速5金币生成7易伤89核a平台
21	52212 15523	   	276.18	橙橙1易伤2攻速1伤害	1掉矿2导弹对毒3敌人爆炸4伤害56攻速7易伤89核a平台
22	52212 15522	   	274.82	橙橙1易伤2攻速1伤害	1掉矿2导弹对毒3敌人爆炸4伤害56攻速7易伤89核a时间
