0	Index      	 *	Score 	Summary	Detail	
1	42215 21135	 * 	289.27	橙橙2易伤1矿等1攻速1全技能	18易伤2攻速3低血量敌人4矿等5全技能6双倍秒伤7a核9激光减费
2	24644 12841	 * 	278.25	橙橙2易伤1伤害1平台	1技能2双倍矿3加一46易伤5雷电78核9平台a伤害
3	24644 12822	 * 	272.09	橙橙3易伤	1技能2双倍矿3加一46a易伤59a雷电78核a序列升级
4	24644 12832	   	272.09	橙橙3易伤	1技能2双倍矿3加一46a易伤5a雷电78核9立即金币a序列升级
5	11223 12433	   	270.58	橙橙2易伤1攻速	1雷电2技能3金币生成45易伤6攻速79核8敌人爆炸a时间
6	42221 36413	   	270.48	橙橙2易伤1攻速	18易伤2攻速3低血量敌人4导弹对毒5立即金币6基地爆炸79核a时间
7	42321 36413	   	270.48	橙橙2易伤1攻速	18易伤2攻速3基础对冰4敌人爆炸5立即金币6基地爆炸79核a时间
8	46311 11335	 * 	268.93	橙4易伤2伤害1矿等1平台	1247易伤3低血量敌人57最后敌人67伤害7序列升级8平台9核a矿等
9	46111 11335	   	268.83	橙4易伤2伤害1矿等1平台	1247易伤3挖尘57最后敌人67伤害7序列升级8平台9核a矿等
10	42512 11335	 * 	267.03	橙2易伤2伤害2矿等2攻速1平台	17易伤27攻速35敌人爆炸4a矿等67伤害7序列升级8平台9核
11	42533 11335	   	267.03	橙2易伤2伤害2矿等2攻速1平台	17易伤27攻速3敌人爆炸4立即金币5a矿等67伤害7序列升级8平台9核
12	24644 12843	   	266.49	橙橙2易伤1平台	1技能2双倍矿3加一46易伤5雷电78核9平台a时间
13	34212 36111	   	266.06	橙橙2易伤1矿等	1掉矿27易伤39低血量敌人4矿等58敌人爆炸6a核
14	34212 36161	   	266.06	橙橙2易伤1矿等	1掉矿27易伤3低血量敌人4矿等58敌人爆炸6a核9立即金币
15	24644 12811	   	266.06	橙橙2易伤1矿等	1技能2双倍矿3加一46易伤5雷电78核9额外掉落a矿等
16	32324 41413	   	266.05	橙橙1易伤1伤害1矿等	1掉矿25挖尘3矿等4爆破对壮69核7易伤8伤害a时间
17	32325 41413	   	266.05	橙橙1易伤1伤害1矿等	15掉矿2挖尘3矿等4爆破对壮69核7易伤8伤害a时间
18	42512 11331	   	265.07	橙2易伤2伤害2攻速1矿等1暴击1平台	17易伤27攻速35敌人爆炸4矿等67伤害7序列升级8平台9核a暴击
19	42533 11331	   	265.07	橙2易伤2伤害2攻速1矿等1暴击1平台	17易伤27攻速3敌人爆炸4立即金币5矿等67伤害7序列升级8平台9核a暴击
20	24644 12842	   	263.38	橙橙2易伤2平台	1技能2双倍矿3加一46易伤5雷电78核9a平台
21	11223 12435	   	262.28	橙橙2易伤1攻速	1雷电2技能3金币生成45易伤6攻速79核8敌人爆炸a赏金邻近
22	11223 12436	   	262.28	橙橙2易伤1攻速	1雷电2技能3金币生成45易伤6攻速79核8敌人爆炸a立即金币
23	11223 12431	   	262.18	橙橙2易伤1攻速	1雷电2技能3金币生成45易伤6攻速79核8敌人爆炸a掉矿
24	11223 12432	   	262.18	橙橙2易伤1攻速1挖怪	1雷电2技能3金币生成45易伤6攻速79核8敌人爆炸a挖怪
25	42221 36411	   	262.18	橙橙2易伤1攻速	18易伤2攻速3低血量敌人4导弹对毒5立即金币6基地爆炸79核a赏金邻近
26	42221 36412	   	262.18	橙橙2易伤1攻速	18易伤2攻速3低血量敌人4导弹对毒5立即金币6基地爆炸79核a金币生成
27	42321 36411	   	262.18	橙橙2易伤1攻速	18易伤2攻速3基础对冰4敌人爆炸5立即金币6基地爆炸79核a赏金邻近
28	42321 36412	   	262.18	橙橙2易伤1攻速	18易伤2攻速3基础对冰4敌人爆炸5立即金币6基地爆炸79核a金币生成
29	42631 11433	 * 	261.34	橙3易伤2伤害2攻速1暴击	179易伤24攻速3立即金币57伤害67敌人爆炸7序列升级8暴击a核
30	42651 11313	   	261.34	橙3易伤2伤害2攻速1暴击	147易伤28攻速3立即金币57伤害67敌人爆炸7序列升级9暴击a核
31	42512 11332	   	259.73	橙2易伤2伤害2攻速1矿等1平台	17易伤27攻速35敌人爆炸4矿等67伤害7序列升级8平台9核a时间
32	42533 11332	   	259.73	橙2易伤2伤害2攻速1矿等1平台	17易伤27攻速3敌人爆炸4立即金币5矿等67伤害7序列升级8平台9核a时间
33	46611 11332	   	259.71	橙4易伤2伤害1平台	1247易伤3时间57最后敌人67伤害7序列升级8平台9核a赏金塔
34	42433 33512	   	259.63	橙2易伤2伤害2攻速1矿等1平台	18易伤28攻速3赏金邻近4掉矿5时间6核78伤害8序列升级9平台a矿等
35	46611 11331	   	259.61	橙4易伤2伤害1平台1卖塔	1247易伤3时间57最后敌人67伤害7序列升级8平台9核a卖塔
36	46611 11333	   	259.61	橙4易伤2伤害1平台	1247易伤3时间57最后敌人67伤害7序列升级8平台9核a双倍秒伤
