0	Index      	 *	Score 	Summary	Detail	
1	13522 22134	 * 	316.21	紫橙1等级1易伤3暴击3随机技能1攻速1全技能	146暴击246随机技能37核46序列升级5全技能8易伤9攻速a等级
2	31143 22663	 * 	308.49	紫橙2等级2易伤	1基地爆炸2随机矿3随机技能49核57等级6平台8a易伤
3	31143 23663	   	308.49	紫橙2等级2易伤	1基地爆炸2随机矿3随机技能49核58等级6平台7a易伤
4	31143 23363	 * 	306.98	紫橙3易伤1等级	1基地爆炸2随机矿3随机技能49核5等级6平台78a易伤
5	21143 23366	   	306.88	紫橙3易伤1等级	18a易伤2随机矿3随机技能49核5等级6平台7挖尘
6	31143 23365	   	291.95	紫橙2易伤1等级	1基地爆炸2随机矿3随机技能49核5等级6平台78易伤a时间
7	21143 23365	   	291.85	紫橙2易伤1等级	18易伤2随机矿3随机技能49核5等级6平台7挖尘a时间
8	31143 23364	   	289.22	紫橙2易伤1等级	1基地爆炸2随机矿3随机技能49核5等级6平台78易伤a策反
9	21143 23364	   	289.12	紫橙2易伤1等级	18易伤2随机矿3随机技能49核5等级6平台7挖尘a策反
10	21143 66111	 * 	287.50	紫3易伤2等级3暴击	169易伤2随机矿3随机技能4核59等级789暴击9序列升级a平台
11	21143 66113	   	287.50	紫3易伤2等级3暴击	169易伤2随机矿3随机技能4核59等级789暴击9序列升级a低血量敌人
12	21143 66112	   	287.40	紫3易伤2等级3暴击	169易伤2随机矿3随机技能4核59等级789暴击9序列升级a加一
