0	Index      	 *	Score 	Summary	Detail	
1	42112 32364	 * 	286.43	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1RCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8MGNSTR|aCDMG
2	42135 32361	 * 	281.45	DCR|DCR|2VULN|2DMG	1RCVC|25VULN|36DMG|4LWND|79RCR|8SPLREG|aTLV
3	42135 32362	   	281.45	DCR|DCR|2VULN|2DMG	1RCVC|25VULN|36DMG|4LWND|79RCR|8SPLREG|aDMSP
4	42135 32363	   	281.35	DCR|DCR|2VULN|2DMG	1RCVC|25VULN|36DMG|4LWND|79RCR|8SPLREG|aAME
5	42112 32361	   	272.78	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8MGNSTR|aTLV
6	42112 32362	   	272.78	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8MGNSTR|aDMSP
7	42112 32365	   	272.78	DCR|DCR|2DMG|1VULN|1MLV	1aRCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8MGNSTR
8	42112 32366	   	272.78	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8MGNSTR|aLWND
9	42112 32461	   	272.78	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8VENTOX|aTLV
10	42112 32462	   	272.78	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8VENTOX|aDMSP
11	42112 32363	   	272.68	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8MGNSTR|aAME
12	42112 32463	   	272.68	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|34DMG|5CGEN|6MLV|79RCR|8VENTOX|aAME
13	31325 15352	   	268.00	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1RPLT|2TBNT|3VULN|4ERES|5AART|6MBVNT|78RCR|9MLV|aASPD
14	32325 15352	   	268.00	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1RPLT|2BBNT|3VULN|4ERES|5AART|6MBVNT|78RCR|9MLV|aASPD
15	31325 15322	   	258.77	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1RPLT|2TBNT|3VULN|4ERES|5AART|6MBVNT|78RCR|9CDMG|aDUR
16	32325 15322	   	258.77	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1RPLT|2BBNT|3VULN|4ERES|5AART|6MBVNT|78RCR|9CDMG|aDUR
17	31325 15325	   	257.40	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1RPLT|2TBNT|3VULN|4ERES|5AART|6MBVNT|78RCR|9CDMG|aNUKE
18	32325 15325	   	257.40	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1RPLT|2BBNT|3VULN|4ERES|5AART|6MBVNT|78RCR|9CDMG|aNUKE
19	42135 32234	 * 	257.29	DCR|3VULN|3DMG|2ASPD	1RCVC|25aVULN|368DMG|4aLWND|7RCR|9aASPD|aBPWR
20	34642 22312	   	257.08	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RPLT|2CGEN|3BBNT|4VULN|5LWND|6AAC|78RCR|9DMG|aAART
21	36353 62312	   	256.98	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RPLT|2LWND|3AAC|4TBNT|5VULN|6ERES|78RCR|9DMG|aAART
