0	Index      	 *	Score 	Summary	Detail	
1	33334 32164	 * 	289.86	DCR|DCR|3VULN|1AART	1LHND|2DUR|3AART|457VULN|6aRCR|8DUST|9AME
2	21352 42316	 * 	283.55	DCR|DCR|2VULN|1DMG|2DUR	17AME|25CGEN|37DUR|4AAC|67VULN|7BPWR|8aRCR|9DMG
3	21552 12316	   	283.55	DCR|DCR|2VULN|1DMG|2DUR	17AME|25CGEN|37VULN|4AAC|67DUR|7BPWR|8aRCR|9DMG
4	32253 34524	   	281.55	DCR|DCR|3VULN|1RPLT	1LHND|24aVULN|3RPLT|5AELOIC|68RCR|7MBVNT|9BEXP
5	11312 32155	 * 	281.32	DCR|DCR|1VULN|2MLV|1AART|1RPLT	1AART|29MLV|3BEXP|4CGEN|5DUR|6aRCR|7VULN|8RPLT
6	11612 32155	   	281.22	DCR|DCR|1VULN|2MLV|1AART|1RPLT	1AART|29MLV|3DUST|4CGEN|5DUR|6aRCR|7VULN|8RPLT
7	21352 42336	   	277.13	DCR|DCR|2VULN|2DUR|1ASPD	17AME|25CGEN|37DUR|4AAC|67VULN|7BPWR|8aRCR|9ASPD
8	21552 12336	   	277.13	DCR|DCR|2VULN|2DUR|1ASPD	17AME|25CGEN|37VULN|4AAC|67DUR|7BPWR|8aRCR|9ASPD
9	33334 31515	   	276.16	DCR|DCR|2VULN|1AART|1RPLT	1LHND|2DUR|3AART|45VULN|6aRCR|7RPLT|8ERES|9CGEN
10	33334 35135	   	276.16	DCR|DCR|2VULN|1AART|1RPLT	1LHND|2DUR|3AART|45VULN|6aRCR|7DUST|8RPLT|9DMSP
11	33334 35115	   	276.06	DCR|DCR|2VULN|1AART|1RPLT	1LHND|2DUR|3AART|45VULN|6aRCR|79DUST|8RPLT
12	32253 34543	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	1LHND|24VULN|3RPLT|5AELOIC|68RCR|7MBVNT|9RCVC|aMLV
13	13366 31351	   	273.49	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1AART|2BEXP|3VULN|4AME|5ASPD|69RCR|7RPLT|8DMG|aLIT
14	13366 31352	   	273.49	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1AART|2BEXP|3VULN|4AME|5ASPD|69RCR|7RPLT|8DMG|aLWND
15	13366 31353	   	273.49	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1AART|2BEXP|3VULN|4AME|5ASPD|69RCR|7RPLT|8DMG|aTLV
16	11313 32155	   	273.01	DCR|DCR|1VULN|2MLV|1AART|1RPLT	1AART|29MLV|3BEXP|4CGEN|5LWND|6aRCR|7VULN|8RPLT
17	51352 13316	   	273.00	DCR|DCR|1VULN|1DMG|1MLV|2DUR	1MLV|25CGEN|36DUR|4AAC|7VULN|8aRCR|9DMG
18	11315 32155	   	272.91	DCR|DCR|1VULN|2MLV|1AART|1RPLT	1AART|29MLV|3BEXP|4CGEN|5DUST|6aRCR|7VULN|8RPLT
19	11613 32155	   	272.91	DCR|DCR|1VULN|2MLV|1AART|1RPLT	1AART|29MLV|3DUST|4CGEN|5LWND|6aRCR|7VULN|8RPLT
20	42113 42316	   	268.15	DCR|DCR|2VULN|1DMG|1ZMB	1DUST|26VULN|3AELOIC|4ERES|5ZMB|7CGEN|8aRCR|9DMG
21	11422 12325	   	267.93	DCR|DCR|1DMG|2AART|1MLV|1ASPD|1CDMG	19AART|2MLV|3CDMG|4DMG|56FEWX|7aRCR|8ASPD
22	11422 42325	   	267.93	DCR|DCR|1DMG|2AART|1MLV|1ASPD|1CDMG	19AART|2MLV|3CDMG|4DMG|5FEWX|6DMSP|7aRCR|8ASPD
23	13314 31515	   	267.85	DCR|DCR|2VULN|1AART|1RPLT	1AART|2BEXP|35VULN|4FEWX|6aRCR|7RPLT|8ERES|9CGEN
24	13314 35115	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1AART|2BEXP|35VULN|4FEWX|6aRCR|79DUST|8RPLT
25	32253 34542	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1LHND|24VULN|3RPLT|5AELOIC|68RCR|7MBVNT|9RCVC|aAART
26	51352 13336	   	266.59	DCR|DCR|1VULN|1MLV|2DUR|1ASPD	1MLV|25CGEN|36DUR|4AAC|7VULN|8aRCR|9ASPD
27	32122 32664	   	266.39	DCR|DCR|2VULN|1AART	1LHND|27VULN|3AELOIC|4AART|5DUR|6aRCR|8LWND|9AME
28	33312 32564	   	266.39	DCR|DCR|2VULN|1AART	1LHND|2DUR|3AART|4FEWX|5AELOIC|6aRCR|78VULN|9AME
29	32122 32164	   	266.29	DCR|DCR|2VULN|1AART	1LHND|27VULN|3AELOIC|4AART|5DUR|6aRCR|8DUST|9AME
30	33323 32564	   	266.29	DCR|DCR|2VULN|1AART	1LHND|2DUR|3AART|4AELOIC|5DUST|6aRCR|78VULN|9AME
31	11612 32135	   	265.61	DCR|DCR|1VULN|1MLV|1AART|1RPLT	1AART|2MLV|3DUST|4CGEN|5DUR|6aRCR|7VULN|8RPLT|9DMSP
32	11612 32115	   	265.51	DCR|DCR|1VULN|1MLV|1AART|1RPLT	1AART|2MLV|39DUST|4CGEN|5DUR|6aRCR|7VULN|8RPLT
33	11613 32135	   	265.08	DCR|DCR|1VULN|2AART|1MLV|1RPLT	19AART|2MLV|3DUST|4CGEN|5LWND|6aRCR|7VULN|8RPLT
34	11312 32264	   	263.72	DCR|DCR|1VULN|1MLV|2AART	19AART|2MLV|3BEXP|4CGEN|5DUR|6aRCR|7VULN|8AME
35	11612 32254	   	263.62	DCR|DCR|1VULN|1MLV|2AART	19AART|2MLV|3DUST|4CGEN|5DUR|6aRCR|7VULN|8AME
36	51522 22334	   	262.60	DCR|DCR|1VULN|1MLV|2DUR|1AART	1MLV|2CGEN|3VULN|4AART|58DUR|6RMIN|7aRCR|9LHND
37	54122 22334	   	262.60	DCR|DCR|1VULN|1MLV|2DUR|1AART	1MLV|2VULN|3CGEN|4AART|58DUR|6RMIN|7aRCR|9LHND
38	51522 22314	   	262.50	DCR|DCR|1VULN|1MLV|2DUR|1AART	1MLV|2CGEN|3VULN|4AART|58DUR|6RMIN|7aRCR|9DUST
39	54122 22314	   	262.50	DCR|DCR|1VULN|1MLV|2DUR|1AART	1MLV|2VULN|3CGEN|4AART|58DUR|6RMIN|7aRCR|9DUST
40	11244 13111	 * 	262.43	ACR|DCR|2VULN|2MLV|1AART	1AART|24MLV|3TBNT|5aRCR|6DUST|7BBNT|89VULN
41	24311 16316	   	262.23	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1AME|2VULN|3DUR|4SELL|5RCVC|6TLV|7aRCR|8CDMG|9DMG
42	24311 62316	   	262.23	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1AME|2VULN|3DUR|4SELL|5RCVC|6CDMG|7CGEN|8aRCR|9DMG
43	42113 42336	   	261.73	DCR|DCR|2VULN|1ASPD|1ZMB	1DUST|26VULN|3AELOIC|4ERES|5ZMB|7CGEN|8aRCR|9ASPD
