0	Index      	 *	Score 	Summary	Detail	
1	21153 35272	 * 	273.66	DCR|DCR|1VULN|2MLV|1DMG	1BEXP|2VULN|35MLV|4MBVNT|6FRZICY|79RCR|8TBNT|aDMG
2	41423 34882	 * 	268.39	DCR|DCR|2VULN|1DMG	1LSRHEA|2MBVNT|3TBNT|4BBNT|57VULN|6AELOIC|89RCR|aDMG
3	12271 16522	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1MBVNT|2DMG|3AAC|4BEXP|5VULN|6AIRHEA|7aRCR|8ASPD|9CDMG
4	16214 33417	 * 	266.79	ACR|DCR|2VULN|3DUR|1ASPD|1CDMG	1MBVNT|245DUR|37RCR|4BPWR|6aVULN|8ASPD|9CDMG
5	13132 33662	   	266.39	DCR|DCR|2VULN|1AART	1MBVNT|2BBNT|3AART|4DUR|5aVULN|6DUST|79RCR|8BELT
6	12183 42627	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1MBVNT|2DMG|3BASARM|4AART|5VULN|6ASPD|7FEWX|8BBNT|9aRCR
7	41324 71162	 * 	263.59	ACR|DCR|2VULN|2ASPD|1RPLT	1LSRHEA|2MBVNT|39VULN|4RPLT|5aRCR|6DUR|78ASPD
8	41321 45252	   	263.05	DCR|DCR|1VULN|2MLV|1RPLT	1LSRHEA|2MBVNT|3VULN|4RPLT|58MLV|6ERES|7aRCR|9AAC
9	41424 33365	   	262.08	DCR|DCR|2VULN|1CDMG	1LSRHEA|2MBVNT|3TBNT|4BBNT|5LHND|6aVULN|78RCR|9CDMG
10	41324 28362	 * 	260.71	ACR|DCR|3VULN|1RPLT|1ZMB	16LSRHEA|2MBVNT|369VULN|4RPLT|5aRCR|6BPWR|7ZMB|8DUR
11	41324 48362	 * 	260.71	ACR|DCR|3VULN|1RPLT|1ZMB	1LSRHEA|2MBVNT|369VULN|4RPLT|5aRCR|7ZMB|8DUR
12	16214 33554	 * 	259.55	ACR|DCR|2VULN|3DUR|1DMG	1MBVNT|245DUR|37RCR|4BPWR|69VULN|8LIT|aDMG
13	16214 33535	   	259.55	ACR|DCR|2VULN|3DUR|1DMG	1MBVNT|245DUR|37RCR|4BPWR|6aVULN|8LIT|9DMG
14	16214 33413	   	258.77	ACR|DCR|1VULN|3DUR|1DMG|1ASPD|1CDMG	1MBVNT|245DUR|37RCR|4BPWR|6VULN|8ASPD|9CDMG|aDMG
15	11323 63745	   	258.48	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2RCVC|3DMG|4AAC|5LWND|68RCR|7DUR|9RPLT|aVULN
16	12423 63745	   	258.48	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DMG|3RCVC|4AAC|5LWND|68RCR|7DUR|9RPLT|aVULN
17	41323 45462	   	257.99	DCR|DCR|2VULN|1RPLT	1LSRHEA|2MBVNT|39VULN|4RPLT|5TLV|6ERES|7aRCR|8AAC
18	41324 71462	   	257.69	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	1LSRHEA|2MBVNT|39VULN|4RPLT|5aRCR|68DUR|7ASPD
