0	Index      	 *	Score 	Summary	Detail	
1	12215 54121	 * 	283.93	ACR|DCR|3VULN|1MLV|1CDMG|1AART	1TBNT|26aVULN|3AART|4MLV|57RCR|8CDMG|9SNIFST
2	25113 54233	 * 	283.84	DCR|DCR|2DMG|1VULN|1MLV	1CGEN|25DMG|3MDPS|4VULN|6aRCR|7MLV|8DUR|9SNIFST
3	12215 64121	 * 	276.08	ACR|DCR|2VULN|2MLV|1CDMG|1AART	1TBNT|2aVULN|3AART|46MLV|57RCR|8CDMG|9SNIFST
4	12215 54333	 * 	275.29	ACR|DCR|2VULN|1DMG|1MLV|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9LHND|aDMG
5	12215 54323	   	275.19	ACR|DCR|2VULN|1DMG|1MLV|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9DUST|aDMG
6	53131 54233	 * 	274.02	DCR|DCR|2VULN|1MLV|1ZMB	12VULN|3MDPS|4CGEN|5ZMB|6aRCR|7MLV|8DUR|9SNIFST
7	12215 54223	   	270.13	ACR|DCR|3VULN|1MLV|1AART|1ZMB	1TBNT|26aVULN|3AART|4MLV|57RCR|8ZMB|9LIT
8	53251 23125	 * 	266.59	DCR|DCR|2VULN|1RPLT	12VULN|3RCVC|4AAC|5RPLT|6aRCR|7DMSP|8DUR|9TBNT
9	12326 16117	 * 	265.79	ACR|DCR|2VULN|2ASPD|1DMG	1TBNT|28VULN|38ASPD|4BBNT|5aRCR|6MDPS|7MBVNT|8BPWR|9DMG
10	12215 64333	 * 	262.82	ACR|DCR|1VULN|2MLV|1DMG|1AART	1TBNT|2VULN|3AART|46MLV|57RCR|8DUR|9LHND|aDMG
11	12215 64323	   	262.72	ACR|DCR|1VULN|2MLV|1DMG|1AART	1TBNT|2VULN|3AART|46MLV|57RCR|8DUR|9DUST|aDMG
12	12215 64223	   	262.28	ACR|DCR|2VULN|2MLV|1AART|1ZMB	1TBNT|2aVULN|3AART|46MLV|57RCR|8ZMB|9LIT
13	53212 33251	   	262.18	DCR|DCR|2VULN|1CDMG	12VULN|3RCVC|47BELT|5CDMG|6BASHEA|8LIT|9aRCR
14	53122 33163	   	262.08	DCR|DCR|2VULN|1CDMG	12VULN|3MDPS|4CANARM|5TBNT|6FEWX|7LHND|8CDMG|9aRCR
15	53122 63163	   	261.98	DCR|DCR|2VULN|1CDMG	12VULN|3MDPS|4CANARM|5TBNT|6DUST|7LHND|8CDMG|9aRCR
16	12215 54111	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8CDMG|9FEWX|aERES
17	12215 54112	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1AART|1MSE	1TBNT|26VULN|3AART|4MLV|57RCR|8CDMG|9FEWX|aMSE
