0	Index      	 *	Score 	Summary	Detail	
1	22264 21314	 * 	274.72	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT	1CGEN|2ASPD|3CDMG|4BELT|5VULN|6aRCR|7DMG|8RPLT|9AAC
2	13333 34635	 * 	272.51	DCR|DCR|2ASPD|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8aASPD|9DMG
3	16332 13433	 * 	265.75	DCR|DCR|2VULN|1ASPD	1MSLTOX|2BEXP|3FEWX|4aVULN|5ASPD|68RCR|7LIT|9DUR
4	16632 13433	   	265.65	DCR|DCR|2VULN|1ASPD	1MSLTOX|2BEXP|3DUST|4aVULN|5ASPD|68RCR|7LIT|9DUR
5	31652 13433	   	265.55	DCR|DCR|2VULN|1ASPD	14MDPS|2aVULN|3AIRHEA|5ASPD|68RCR|7LIT|9DUR
6	13551 13433	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	1MSLTOX|2MLV|3MDPS|4DMG|5ERES|68RCR|7LIT|9DUR|aVULN
7	13651 13433	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	1MSLTOX|2MLV|3DMG|4MDPS|5ERES|68RCR|7LIT|9DUR|aVULN
8	15633 44341	 * 	263.27	DCR|DCR|2VULN|1DMG|2ZMB	1MSLTOX|24ZMB|3DMG|5CGEN|6MBVNT|7aVULN|89RCR
9	13333 34631	   	260.06	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8ASPD|9DMG|aLWND
10	13333 34633	   	260.06	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8ASPD|9DMG|aBEXP
11	13333 34634	   	260.06	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8ASPD|9DMG|aRMIN
12	13333 34636	   	260.06	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8ASPD|9DMG|aBBNT
13	13333 34632	   	259.96	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8ASPD|9DMG|aVENICY
14	13333 34241	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8LWND|9VULN|aRMIN
15	13333 34243	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8aLWND|9VULN
16	13333 34246	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8LWND|9VULN|aTBNT
17	13333 34341	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8BEXP|9VULN|aRMIN
18	13333 34343	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8BEXP|9VULN|aLWND
19	13333 34346	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8BEXP|9VULN|aCGEN
20	13333 34441	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8FEWX|9VULN|aRMIN
21	13333 34443	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8FEWX|9VULN|aLWND
22	13333 34242	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1MSE	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8LWND|9VULN|aMSE
23	13333 34244	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8LWND|9VULN|aERES
24	13333 34342	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1MSE	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8BEXP|9VULN|aMSE
25	13333 34344	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8BEXP|9VULN|aERES
26	13333 34442	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1MSE	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8FEWX|9VULN|aMSE
27	13333 34541	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8DUST|9VULN|aRMIN
28	13333 34543	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8DUST|9VULN|aLWND
29	13333 34542	   	258.24	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1MSE	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8DUST|9VULN|aMSE
30	11332 13413	   	257.45	DCR|DCR|2VULN|1ASPD	1MSLTOX|2LWND|3FEWX|4aVULN|5ASPD|68RCR|7LIT|9TLV
31	11332 13443	   	257.45	DCR|DCR|2VULN|1ASPD	1MSLTOX|2LWND|3FEWX|4aVULN|5ASPD|68RCR|7LIT|9LHND
