0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32114 22435	2	 * 	289.26	橙4易伤3时间2攻速1等级	1随机矿237a易伤4等级59a时间6核8a攻速a序列升级
2	21613 11125	5	 * 	275.01	橙4易伤2伤害2等级1全技能	1679易伤2策反37伤害47等级5全技能7序列升级8随机矿a核
3	21613 11625	5	   	275.01	橙4易伤2伤害2等级1全技能	1679易伤2策反37伤害47等级5全技能7序列升级8矿等a核
4	32613 11225	5	   	275.01	橙4易伤2伤害2等级1全技能	1随机矿2679易伤37伤害47等级5全技能7序列升级8矿等a核
5	32613 11425	5	   	275.01	橙4易伤2伤害2等级1全技能	1随机矿2679易伤37伤害47等级5全技能7序列升级8策反a核
6	62132 11125	5	   	275.01	橙4易伤2伤害2等级1全技能	17等级2全技能3策反4679易伤57伤害7序列升级8随机矿a核
7	62132 11625	5	   	275.01	橙4易伤2伤害2等级1全技能	17等级2全技能3策反4679易伤57伤害7序列升级8矿等a核
8	21613 11525	5	   	274.91	橙4易伤2伤害2等级1全技能	1679易伤2策反37伤害47等级5全技能7序列升级8掉矿a核
9	32613 11614	5	   	274.91	橙4易伤2伤害2等级1全技能	1随机矿2679易伤37伤害47等级5全技能7序列升级8双倍物品a核
10	62132 11525	5	   	274.91	橙4易伤2伤害2等级1全技能	17等级2全技能3策反4679易伤57伤害7序列升级8掉矿a核
11	24233 31166	6	 * 	271.70	橙5易伤1伤害1时间	1458a易伤2基地爆炸3雷电6时间7伤害9核
12	34151 23533	7	 * 	271.61	橙3易伤3时间3暴击1等级	1随机矿279暴击3等级4额外掉落579易伤679时间79序列升级8立即金币a核
13	34151 23633	8	   	271.61	橙3易伤3时间3暴击1等级	1随机矿279暴击3等级4额外掉落579易伤679时间79序列升级8立即金币a核
14	24221 23166	7	   	267.88	橙5易伤1时间1等级	1578a易伤2基地爆炸3雷电4等级6时间9核
15	24221 23166	8	   	267.88	橙5易伤1时间1等级	1578a易伤2基地爆炸3雷电4等级6时间9核
16	24231 21336	8	   	267.51	橙3易伤2伤害1时间2雷电1暴击	148易伤2基地爆炸38雷电5最后敌人6暴击78伤害8序列升级9核a时间
17	24231 21356	10	   	267.51	橙3易伤2伤害1等级2雷电1暴击	148易伤2基地爆炸38雷电5最后敌人6暴击78伤害8序列升级9等级a核
18	24231 21334	8	 * 	266.91	橙3易伤3伤害2雷电1暴击	148易伤2基地爆炸38雷电5最后敌人6暴击78a伤害8序列升级9核
19	24233 31162	6	 * 	266.74	橙4易伤2时间1伤害	1458易伤2基地爆炸3雷电6a时间7伤害9核
20	24233 41162	5	   	266.74	橙4易伤2时间1伤害	1458易伤2基地爆炸3雷电6a时间7伤害9核
21	24235 13162	8	   	266.74	橙4易伤2时间1伤害	1478易伤2基地爆炸3雷电5a时间6伤害9核
22	24235 13162	7	   	266.74	橙4易伤2时间1伤害	1478易伤2基地爆炸3雷电5a时间6伤害9核
23	32114 22435	3	   	266.62	橙3易伤3时间2攻速1等级	13随机矿27a易伤4等级59a时间6核8a攻速a序列升级
24	32114 26335	2	   	266.62	橙3易伤3时间2攻速1等级	1随机矿23a易伤4等级59a时间6核7a攻速8立即金币a序列升级
25	25123 15346	1	   	266.46	橙4易伤3时间2雷电	1569易伤239时间4赏金塔7加一89雷电9序列升级a核
26	32114 22443	2	   	264.69	橙4易伤1等级1时间1暴击1攻速	1随机矿2379易伤4等级5时间6核8攻速a暴击
27	62523 13351	1	   	263.15	橙3易伤2时间1伤害1等级1攻速	1等级258易伤3额外掉落45时间5序列升级6攻速7伤害9最后敌人a核
28	62122 33536	1	   	262.11	橙3易伤1伤害1等级1时间1暴击1攻速	1等级238易伤4敌人爆炸5攻速6伤害7暴击9时间a核
29	62133 41163	1	   	262.00	橙4易伤1时间1等级1暴击	1等级2358易伤4时间6雷电7基地爆炸9核a暴击
30	24221 23163	7	   	262.00	橙4易伤1时间1等级1暴击	1578易伤2基地爆炸3雷电4等级6时间9核a暴击
31	24221 23163	8	   	262.00	橙4易伤1时间1等级1暴击	1578易伤2基地爆炸3雷电4等级6时间9核a暴击
32	62133 43163	1	   	261.90	橙4易伤1时间1等级1暴击	1等级2358易伤4时间6雷电7挖尘9核a暴击
33	32626 21115	3	 * 	261.79	橙3易伤2伤害2时间	1随机矿28a易伤3a伤害4赏金塔5低血量敌人6雷电7a时间9核a序列升级
34	32631 21115	3	   	261.79	橙3易伤2伤害2时间	1随机矿28a易伤3a伤害4雷电5赏金邻近6低血量敌人7a时间9核a序列升级
35	32631 31115	3	   	261.79	橙3易伤2伤害2时间	1随机矿28a易伤3a伤害4雷电5赏金邻近6基地爆炸7a时间9核a序列升级
36	32631 51115	3	   	261.79	橙3易伤2伤害2时间	1随机矿28a易伤3a伤害4雷电5赏金邻近6敌人爆炸7a时间9核a序列升级
37	32631 61115	3	   	261.79	橙3易伤2伤害2时间	1随机矿28a易伤3a伤害4雷电5赏金邻近6最后敌人7a时间9核a序列升级
38	21626 21115	3	   	261.79	橙3易伤2伤害2时间	18a易伤2策反3a伤害4赏金塔5低血量敌人6雷电7a时间9核a序列升级
39	21631 21115	3	   	261.79	橙3易伤2伤害2时间	18a易伤2策反3a伤害4雷电5赏金邻近6低血量敌人7a时间9核a序列升级
40	21631 31115	3	   	261.79	橙3易伤2伤害2时间	18a易伤2策反3a伤害4雷电5赏金邻近6基地爆炸7a时间9核a序列升级
41	21631 51115	3	   	261.79	橙3易伤2伤害2时间	18a易伤2策反3a伤害4雷电5赏金邻近6敌人爆炸7a时间9核a序列升级
42	21631 61115	3	   	261.79	橙3易伤2伤害2时间	18a易伤2策反3a伤害4雷电5赏金邻近6最后敌人7a时间9核a序列升级
43	21613 11255	5	   	260.04	橙3易伤2伤害2等级2全技能	167易伤2策反37伤害47等级58全技能7序列升级9掉矿a核
44	62132 11255	5	   	260.04	橙3易伤2伤害2等级2全技能	17等级28全技能3策反467易伤57伤害7序列升级9掉矿a核
45	62133 11432	1	   	260.00	橙4易伤1伤害1时间1等级	1等级2358易伤4时间6低血量敌人7挖尘9核a伤害
46	21132 34251	1	   	259.91	橙4易伤3时间	179a易伤2低血量敌人358时间4雷电6核
47	32132 52432	5	 * 	259.89	橙3易伤3时间3攻速	13随机矿27a易伤49a时间58a攻速6核a序列升级
48	32152 52432	4	   	259.89	橙3易伤3时间3攻速	13随机矿27a易伤48a攻速59a时间6核a序列升级
49	32432 52432	5	   	259.89	橙3易伤3时间3攻速	1随机矿27a易伤3双倍矿49a时间58a攻速6核a序列升级
50	24114 22115	1	   	259.58	橙5易伤1等级1时间	1379a易伤2随机矿4等级5时间6核8平台
51	32114 22115	2	   	259.58	橙5易伤1等级1时间	1随机矿2379a易伤4等级5时间6核8平台
52	62324 12632	1	   	259.58	橙5易伤1等级1时间	1等级2568a易伤35金币生成4赏金塔5序列升级7时间9核
53	23114 22462	1	   	259.48	橙5易伤1等级1时间	1389a易伤2金币生成4等级5时间6核7赏金邻近
54	23114 23462	1	   	259.48	橙5易伤1等级1时间	1389a易伤2金币生成4等级5时间6核7赏金塔
55	23423 12632	1	   	259.48	橙5易伤1等级1时间	1568a易伤2金币生成3赏金邻近4等级7时间9核
56	62323 12632	1	   	259.48	橙5易伤1等级1时间	1等级2568a易伤3金币生成4赏金塔7时间9核
57	24233 12415	10	   	259.35	橙4易伤1等级1时间1攻速	1458易伤2基地爆炸3雷电6等级7攻速9时间a核
