0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16652 23321	8	 * 	296.53	橙3易伤3时间2伤害3雷电	159雷电2额外掉落3a伤害4全技能69a时间79a易伤8核9a序列升级
2	32431 15213	7	 * 	291.88	橙4易伤3伤害2时间	18基地爆炸29时间38a伤害4568易伤7核8序列升级
3	32433 15243	7	   	291.88	橙4易伤3伤害2时间	18基地爆炸25时间38a伤害4689易伤7核8序列升级
4	32431 15263	7	 * 	290.84	橙5易伤2伤害1时间	18基地爆炸2时间38伤害4568a易伤7核8序列升级9全技能
5	32431 15212	7	   	287.23	橙4易伤2伤害2时间1攻速	18基地爆炸29时间38伤害4568易伤7核8序列升级a攻速
6	32433 15242	7	   	287.23	橙4易伤2伤害2时间1攻速	18基地爆炸25时间38伤害4689易伤7核8序列升级a攻速
7	32433 15263	7	   	285.89	橙4易伤2伤害2时间	18基地爆炸25时间38伤害468a易伤7核8序列升级9全技能
8	32431 15242	7	   	281.18	橙5易伤2伤害1时间	18基地爆炸2时间38伤害45689易伤7核8序列升级a敌人爆炸
9	32431 15243	7	   	281.08	橙5易伤2伤害1时间	18基地爆炸2时间38伤害45689易伤7核8序列升级a挖青
10	31431 15213	7	   	277.29	橙4易伤3伤害1时间	18基地爆炸2最后敌人38a伤害4568易伤7核8序列升级9时间
11	32431 15223	7	   	277.29	橙4易伤3伤害1时间	18基地爆炸2时间38a伤害4568易伤7核8序列升级9敌人爆炸
12	33431 15213	7	   	277.29	橙4易伤3伤害1时间	18基地爆炸2低血量敌人38a伤害4568易伤7核8序列升级9时间
13	32431 15233	7	   	277.19	橙4易伤3伤害1时间	18基地爆炸2时间38a伤害4568易伤7核8序列升级9挖青
14	32413 15223	7	   	276.42	橙4易伤2伤害2时间	148基地爆炸2a时间38伤害568a易伤7核8a序列升级9a低血量敌人
15	32413 15233	7	   	276.42	橙4易伤2伤害2时间	148基地爆炸2a时间38伤害568a易伤7核8a序列升级9a最后敌人
16	31413 15253	7	   	276.42	橙4易伤2伤害2时间	148基地爆炸2a最后敌人38伤害568a易伤7核8a序列升级9a时间
17	33413 15233	7	   	276.42	橙4易伤2伤害2时间	148基地爆炸2a低血量敌人38伤害568a易伤7核8a序列升级9a时间
18	32431 15143	9	   	276.22	橙4易伤2伤害2时间	1a基地爆炸28时间3a伤害456a易伤7核9平台a序列升级
19	31431 15215	7	   	276.22	橙4易伤2伤害2时间	18基地爆炸2最后敌人38伤害4568易伤7核8序列升级9a时间
20	32431 15216	7	   	276.22	橙4易伤2伤害2时间	18基地爆炸29时间38伤害4568易伤7核8序列升级a随机矿
21	33431 15215	7	   	276.22	橙4易伤2伤害2时间	18基地爆炸2低血量敌人38伤害4568易伤7核8序列升级9a时间
22	32431 15211	7	   	276.12	橙4易伤2伤害2时间	18基地爆炸29时间38伤害4568易伤7核8序列升级a掉矿
23	32431 15214	7	   	276.12	橙4易伤2伤害2时间	18基地爆炸29时间38伤害4568易伤7核8序列升级a加一
24	32431 15235	7	   	276.12	橙4易伤2伤害2时间	18基地爆炸2a时间38伤害4568易伤7核8序列升级9挖青
25	32433 15241	7	   	276.12	橙4易伤2伤害2时间	18基地爆炸25时间38伤害4689易伤7核8序列升级a掉矿
26	32431 15143	8	   	276.02	橙4易伤2伤害2时间	1基地爆炸28时间3a伤害4569易伤7核
27	42336 31163	3	   	275.47	橙4易伤1伤害1等级1暴击	1等级2457易伤3暴击6伤害8全技能9核a雷电
28	32431 15225	10	   	275.09	橙4易伤2伤害1时间1暴击	1基地爆炸2时间3a伤害4569易伤7核8暴击
29	32621 23266	2	   	274.79	橙4易伤2时间1伤害1等级	1基地爆炸24时间3457易伤4序列升级6伤害8随机矿9等级a核
30	32621 23266	1	   	274.79	橙4易伤2时间1伤害1等级	1基地爆炸24时间3457易伤4序列升级6伤害8随机矿9等级a核
31	32431 15226	10	   	273.75	橙4易伤1伤害1时间1等级1暴击	1基地爆炸2时间3伤害4569易伤7核8暴击a等级
32	31431 15212	7	   	272.64	橙4易伤2伤害1时间1攻速	18基地爆炸2最后敌人38伤害4568易伤7核8序列升级9时间a攻速
33	32431 15222	7	   	272.64	橙4易伤2伤害1时间1攻速	18基地爆炸2时间38伤害4568易伤7核8序列升级9敌人爆炸a攻速
34	33431 15212	7	   	272.64	橙4易伤2伤害1时间1攻速	18基地爆炸2低血量敌人38伤害4568易伤7核8序列升级9时间a攻速
35	32431 15232	7	   	272.54	橙4易伤2伤害1时间1攻速	18基地爆炸2时间38伤害4568易伤7核8序列升级9挖青a攻速
36	32431 15253	7	   	272.54	橙4易伤2伤害1时间1攻速	18基地爆炸2时间38伤害4568易伤7核8序列升级9掉矿a攻速
37	22421 24324	10	 * 	272.21	橙3易伤2时间1伤害2暴击1等级	1策反289易伤3等级4伤害58暴击6低血量敌人78时间8序列升级a核
38	22421 24326	9	   	272.21	橙3易伤2时间1伤害2暴击1等级	1策反289易伤3等级4伤害58暴击6低血量敌人78时间8序列升级a核
39	22421 24336	8	   	272.21	橙3易伤2时间1伤害2暴击1等级	1策反289易伤3等级4伤害58暴击6低血量敌人78时间8序列升级a核
40	32431 15223	9	   	272.09	橙4易伤2时间1伤害1暴击	1基地爆炸2a时间3伤害4569易伤7核8暴击
41	32431 15261	7	   	271.30	橙4易伤2伤害1时间	18基地爆炸2时间38伤害4568易伤7核8序列升级9全技能a最后敌人
42	32431 15262	7	   	271.20	橙4易伤2伤害1时间	18基地爆炸2时间38伤害4568易伤7核8序列升级9全技能a赏金塔
43	34432 13134	9	   	270.21	橙3易伤2时间1伤害1暴击1攻速	1基地爆炸2全技能359易伤45时间5序列升级6暴击7伤害8攻速a核
44	42344 31333	3	 * 	270.21	橙3易伤2时间2等级1暴击1攻速	19等级269易伤3暴击4最后敌人59时间7核8全技能9序列升级a攻速
45	32621 21266	2	   	269.73	橙3易伤2伤害2时间1等级	1基地爆炸24时间345易伤4序列升级67伤害8随机矿9等级a核
46	32621 21266	1	   	269.73	橙3易伤2伤害2时间1等级	1基地爆炸24时间345易伤4序列升级67伤害8随机矿9等级a核
47	32431 15142	8	   	269.44	橙4易伤2时间1伤害1攻速	1基地爆炸28时间3伤害4569易伤7核a攻速
48	32433 15223	7	   	269.24	橙3易伤3伤害2时间	18基地爆炸25时间38a伤害468易伤7核8序列升级9敌人爆炸
49	32433 15233	7	   	269.14	橙3易伤3伤害2时间	18基地爆炸25时间38a伤害468易伤7核8序列升级9挖青
50	32431 15413	7	   	269.04	橙3易伤3伤害2时间	1基地爆炸29时间38a伤害456易伤7核
51	32621 14412	1	   	268.43	橙3易伤3时间1伤害1攻速	1基地爆炸246时间345易伤4序列升级7雷电8核9伤害a攻速
52	32621 14412	2	   	268.43	橙3易伤3时间1伤害1攻速	1基地爆炸246时间345易伤4序列升级7雷电8核9伤害a攻速
53	11262 51321	3	 * 	268.13	橙3易伤3伤害3雷电	129雷电3a基地爆炸49a易伤5额外掉落69a伤害7核8全技能9a序列升级
54	11662 51321	1	   	268.13	橙3易伤3伤害3雷电	139雷电2a基地爆炸49a易伤5额外掉落69a伤害7核8全技能9a序列升级
55	32431 15163	8	   	268.10	橙4易伤2时间1伤害	1基地爆炸28时间3伤害456a易伤7核9全技能
