0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56132 32113	9	 * 	280.36	橙3易伤3时间2伤害1暴击	1平台238时间48伤害578易伤6加一8序列升级9暴击a核
2	36331 23322	1	 * 	278.33	橙3易伤3伤害2等级2暴击	1立即金币29暴击3赏金塔469易伤568伤害69序列升级79等级a核
3	32166 33432	3	 * 	276.22	橙4易伤2伤害2时间	1立即金币2双倍矿39时间4最后敌人569a易伤7核89伤害9序列升级
4	34236 33432	3	   	276.22	橙4易伤2伤害2时间	1立即金币29时间34最后敌人569a易伤7核89伤害9序列升级
5	34236 33432	2	   	276.22	橙4易伤2伤害2时间	1立即金币29时间34最后敌人569a易伤7核89伤害9序列升级
6	31236 43432	2	   	276.22	橙4易伤2伤害2时间	1立即金币259a易伤34最后敌人69时间7核89伤害9序列升级
7	31236 43432	3	   	276.22	橙4易伤2伤害2时间	1立即金币259a易伤34最后敌人69时间7核89伤害9序列升级
8	31514 33512	4	 * 	269.54	橙4易伤2时间2等级1攻速	1立即金币268a易伤38等级48时间5随机矿7核8序列升级9攻速
9	31524 33512	3	   	269.54	橙4易伤2时间2等级1攻速	1立即金币268a易伤38等级48时间5随机矿7核8序列升级9攻速
10	56136 13222	4	 * 	269.09	橙3易伤3时间2等级1伤害	1平台239时间4伤害5赏金塔689易伤79等级9序列升级a核
11	56131 33511	2	   	267.13	橙3易伤2伤害2时间1暴击	1平台29时间3随机矿49a易伤5暴击6核7挖尘89伤害9序列升级
12	55111 33511	1	   	267.13	橙3易伤2伤害2时间1暴击	1平台29a易伤3随机矿49时间5暴击6核7挖尘89伤害9序列升级
13	31254 33433	3	   	266.81	橙3易伤3时间2伤害	1立即金币269易伤3最后敌人459时间7核89伤害9序列升级a基地爆炸
14	31254 33433	2	   	266.81	橙3易伤3时间2伤害	1立即金币269易伤3最后敌人459时间7核89伤害9序列升级a基地爆炸
15	31254 33432	3	   	266.71	橙3易伤3时间2伤害	1立即金币269易伤3最后敌人459时间7核89伤害9序列升级a掉矿
