0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16153 23163	3	 * 	299.57	橙4易伤2伤害2等级1时间	19等级269a易伤3全技能4雷电5时间79伤害8核9序列升级
2	16153 23162	3	 * 	292.58	橙3易伤3伤害2等级1时间	19等级269易伤3全技能4雷电5时间79a伤害8核9序列升级
3	16141 23163	5	   	283.32	橙4易伤2伤害2等级	19等级269a易伤3全技能4最后敌人5雷电79伤害8核9序列升级
4	16142 33163	5	   	283.32	橙4易伤2伤害2等级	19等级259a易伤3全技能4最后敌人6雷电79伤害8核9序列升级
5	16143 33163	3	   	283.32	橙4易伤2伤害2等级	19等级249a易伤3全技能5最后敌人6雷电79伤害8核9序列升级
6	16153 23161	3	   	276.83	橙3易伤2伤害2等级1时间	19等级269易伤3全技能4雷电5时间79伤害8核9序列升级a挖尘
7	16141 23162	5	   	276.33	橙3易伤3伤害2等级	19等级269易伤3全技能4最后敌人5雷电79a伤害8核9序列升级
8	16142 33162	5	   	276.33	橙3易伤3伤害2等级	19等级259易伤3全技能4最后敌人6雷电79a伤害8核9序列升级
9	16143 33162	3	   	276.33	橙3易伤3伤害2等级	19等级249易伤3全技能5最后敌人6雷电79a伤害8核9序列升级
10	16153 23123	3	   	273.02	橙3易伤2伤害1等级1时间	1等级26a易伤3全技能4雷电5时间79伤害8核
11	21253 31163	1	 * 	271.45	橙3易伤2伤害2时间	1双倍矿29伤害39时间4雷电5全技能6掉矿79a易伤8核9序列升级
12	24353 31163	1	   	271.45	橙3易伤2伤害2时间	1双倍矿29时间39伤害4雷电5全技能6掉矿79a易伤8核9序列升级
13	12162 11144	2	   	271.21	橙4易伤1伤害1等级1时间1攻速	1等级24最后敌人348a易伤4序列升级5攻速6伤害7时间9核
14	11122 11144	1	   	271.11	橙4易伤1伤害1等级1时间1攻速	1等级2低血量敌人348a易伤5攻速6伤害7时间9核
15	12122 11144	2	   	271.11	橙4易伤1伤害1等级1时间1攻速	1等级2最后敌人348a易伤5攻速6伤害7时间9核
16	13122 11144	2	   	271.11	橙4易伤1伤害1等级1时间1攻速	1等级2低血量敌人348a易伤5攻速6伤害7时间9核
17	16322 11144	2	   	271.11	橙4易伤1伤害1等级1时间1攻速	1等级248a易伤3低血量敌人5攻速6伤害7时间9核
18	12646 33111	1	 * 	270.45	橙5易伤2等级1暴击	14等级2随机矿3469a易伤4序列升级5全技能7核8暴击
19	16246 33111	3	   	270.45	橙5易伤2等级1暴击	14等级2469a易伤3随机矿4序列升级5全技能7核8暴击
