0	Index      	 *	Score 	Summary	Detail	
1	32611 25362	 * 	271.34	橙橙3易伤3时间	1a敌人爆炸28a易伤36a时间4头目5平台79核a序列升级
2	11431 33255	 * 	257.22	橙橙2等级1易伤1雷电	1立即金币25等级3挖尘4赏金邻近6雷电7易伤8时间9a核
3	62111 35362	   	251.48	橙橙3易伤	16a基地爆炸28a易伤3a低血量敌人4头目5平台79核a序列升级
4	23413 35113	 * 	250.10	橙橙1易伤1伤害2时间1暴击	1随机技能2策反3暴击4赏金塔5易伤67时间89核a伤害
5	23523 35113	   	250.10	橙橙1易伤1伤害2时间1暴击	1随机技能2策反3赏金邻近4暴击5易伤67时间89核a伤害
6	43633 15113	   	250.10	橙橙1易伤1伤害2时间1暴击	1策反2易伤37时间4暴击5赏金邻近6随机技能89核a伤害
7	31221 11655	   	246.98	橙橙1易伤1等级1雷电	1敌人爆炸2低血量敌人3时间4最后敌人5等级6挖尘7雷电8易伤9a核
8	32621 36325	   	246.98	橙橙1易伤1等级1雷电	1敌人爆炸2易伤3时间4最后敌人5等级6雷电7a核8挖尘9低血量敌人
9	31241 11155	   	246.88	橙橙1易伤1等级1雷电	1敌人爆炸2低血量敌人3时间4易伤5等级6挖尘7雷电8挖青9a核
10	32151 11155	   	246.88	橙橙1易伤1等级1雷电	1敌人爆炸2易伤3低血量敌人4时间5等级6挖尘7雷电8挖青9a核
11	32621 11155	   	246.88	橙橙1易伤1等级1雷电	1敌人爆炸2易伤3时间4最后敌人5等级6挖尘7雷电8挖青9a核
12	11433 11255	   	246.78	橙橙1易伤1等级1雷电	1立即金币2等级3挖尘4赏金邻近5易伤6烈焰减费7雷电8时间9a核
13	33262 14113	 * 	244.31	橙橙1等级1伤害1暴击1攻速	1敌人爆炸2赏金塔3暴击4金币生成5攻速6等级7随机技能89核a伤害
14	63262 14113	   	244.31	橙橙1等级1伤害1暴击1攻速	1基地爆炸2赏金塔3暴击4金币生成5攻速6等级7随机技能89核a伤害
15	13222 51335	 * 	243.52	橙橙1等级3时间1矿等1雷电	1立即金币234时间5雷电6等级7金币生成8a核9矿等
16	13322 51335	   	243.52	橙橙1等级3时间1矿等1雷电	1立即金币234时间3序列升级5雷电6等级7金币生成8a核9矿等
17	23413 32113	   	243.49	橙橙1易伤1伤害1暴击	1随机技能27策反3暴击4赏金塔5易伤6时间89核a伤害
18	23523 32113	   	243.49	橙橙1易伤1伤害1暴击	1随机技能27策反3赏金邻近4暴击5易伤6时间89核a伤害
19	43633 12113	   	243.49	橙橙1易伤1伤害1暴击	17策反2易伤3时间4暴击5赏金邻近6随机技能89核a伤害
20	43633 24113	   	243.49	橙橙1易伤1伤害1暴击	1策反2易伤3时间4暴击5赏金邻近6立即金币7随机技能89核a伤害
21	13222 54335	   	243.42	橙橙1等级3时间1矿等1雷电	1立即金币234时间5雷电6等级7矿等8a核9技能点
22	13322 54335	   	243.42	橙橙1等级3时间1矿等1雷电	1立即金币234时间3序列升级5雷电6等级7矿等8a核9技能点
23	12533 13146	   	243.09	橙橙1易伤1矿等1全技能1雷电	1立即金币2低血量敌人3金币生成4赏金塔5雷电67核8全技能9矿等a易伤
24	32611 25363	   	242.69	橙橙2易伤2时间	1敌人爆炸28易伤36时间4头目5平台79核a金币生成
25	32611 25361	   	242.59	橙橙2易伤2时间	1敌人爆炸28易伤36时间4头目5平台79核a掉矿
