0	Index      	 *	Score 	Summary	Detail	
1	14225 33523	 * 	268.89	橙橙2易伤2时间1全技能	17最后敌人2随机矿37易伤47挖尘5全技能68核7序列升级9a时间
2	14225 33533	 * 	264.93	橙橙3易伤1全技能	17最后敌人2随机矿37a易伤47挖尘5全技能68核7序列升级9策反
3	61111 61116	 * 	263.03	橙橙2伤害1易伤1矿等	1基地爆炸2赏金邻近3a伤害4易伤5攻速69核7随机矿8矿等
4	61111 61112	   	259.09	橙橙1易伤1伤害1矿等1时间	1基地爆炸2赏金邻近3伤害4易伤5攻速69核7随机矿8矿等a时间
5	61111 64112	   	259.09	橙橙1易伤1伤害1矿等1时间	1基地爆炸2赏金邻近3伤害4易伤5攻速69核7金币生成8矿等a时间
6	14225 33521	   	256.44	橙橙2易伤1时间1全技能	17a最后敌人2随机矿37易伤47挖尘5全技能68核7序列升级9时间
7	14225 33522	   	256.34	橙橙2易伤1时间1全技能1挖怪	17最后敌人2随机矿37易伤47挖尘5全技能68核7序列升级9时间a挖怪
8	33223 44513	 * 	255.24	橙橙2易伤1等级	17机枪对壮2低血量敌人3赏金塔47火球减费57易伤6头目7序列升级8等级9a核
9	33233 44513	   	255.24	橙橙2易伤1等级	17机枪对壮2低血量敌人3赏金塔47暴雪减费57易伤6头目7序列升级8等级9a核
10	11141 61113	 * 	253.20	橙橙1等级1伤害1矿等1时间	1最后敌人2赏金邻近3伤害4时间5攻速69核7随机矿8矿等a等级
11	11141 64113	   	253.20	橙橙1等级1伤害1矿等1时间	1最后敌人2赏金邻近3伤害4时间5攻速69核7金币生成8矿等a等级
12	61141 61113	   	253.20	橙橙1等级1伤害1矿等1时间	1基地爆炸2赏金邻近3伤害4时间5攻速69核7随机矿8矿等a等级
13	14225 33513	   	249.73	橙橙2易伤1全技能	17最后敌人2随机矿37易伤47挖尘5全技能68核7序列升级9随机技能a攻速
14	11114 12436	 * 	249.00	橙橙1易伤1等级1伤害	178最后敌人2赏金邻近3伤害4易伤5赏金塔6a核9等级
15	11132 61113	   	246.27	橙橙1等级1伤害1矿等1时间	1最后敌人2赏金邻近3伤害4策反5时间69核7随机矿8矿等a等级
16	11132 64113	   	246.27	橙橙1等级1伤害1矿等1时间	1最后敌人2赏金邻近3伤害4策反5时间69核7金币生成8矿等a等级
17	61132 61113	   	246.27	橙橙1等级1伤害1矿等1时间	1基地爆炸2赏金邻近3伤害4策反5时间69核7随机矿8矿等a等级
18	61132 64113	   	246.27	橙橙1等级1伤害1矿等1时间	1基地爆炸2赏金邻近3伤害4策反5时间69核7金币生成8矿等a等级
19	61111 61113	   	245.44	橙橙1易伤1伤害1矿等	1基地爆炸2赏金邻近3伤害4易伤5攻速69核7随机矿8矿等a策反
20	61111 61115	   	245.44	橙橙1易伤1伤害1矿等	1基地爆炸2赏金邻近3伤害4易伤5攻速69核7随机矿8矿等a雷电
21	61111 64113	   	245.44	橙橙1易伤1伤害1矿等	1基地爆炸2赏金邻近3伤害4易伤5攻速69核7金币生成8矿等a策反
22	61111 61111	   	245.34	橙橙1易伤1伤害1矿等	1基地爆炸2赏金邻近3伤害4易伤5攻速69核7随机矿8矿等a挖尘
23	61111 61114	   	245.34	橙橙1易伤1伤害1矿等	1基地爆炸2赏金邻近3伤害4易伤5攻速69核7随机矿8矿等a掉矿
24	61111 64111	   	245.34	橙橙1易伤1伤害1矿等	1基地爆炸2赏金邻近3伤害4易伤5攻速69核7金币生成8矿等a挖尘
25	11141 61116	   	244.59	橙橙2伤害1矿等1时间	1最后敌人2赏金邻近3a伤害4时间5攻速69核7随机矿8矿等
26	13544 13133	 * 	243.21	橙橙1喷火对甲1等级1伤害	1最后敌人2双倍矿3随机技能4伤害5等级6喷火对甲79核8技能点a基地爆炸
27	12544 13133	   	243.11	橙橙1喷火对甲1等级1伤害	1最后敌人2暴雪减费3随机技能4伤害5等级6喷火对甲79核8技能点a基地爆炸
28	13544 13131	   	243.11	橙橙1喷火对甲1等级1伤害	1最后敌人2双倍矿3随机技能4伤害5等级6喷火对甲79核8技能点a挖尘
29	13544 13132	   	243.11	橙橙1喷火对甲1等级1伤害	1最后敌人2双倍矿3随机技能4伤害5等级6喷火对甲79核8技能点a风暴减费
30	12544 13131	   	243.01	橙橙1喷火对甲1等级1伤害	1最后敌人2暴雪减费3随机技能4伤害5等级6喷火对甲79核8技能点a挖尘
31	12544 13132	   	243.01	橙橙1喷火对甲1等级1伤害	1最后敌人2暴雪减费3随机技能4伤害5等级6喷火对甲79核8技能点a风暴减费
32	14225 33511	   	242.79	橙橙2易伤1全技能	17最后敌人2随机矿37易伤47挖尘5全技能68核7序列升级9随机技能a额外掉落
33	14225 33512	   	242.79	橙橙2易伤1全技能	17最后敌人2随机矿37易伤47挖尘5全技能68核7序列升级9随机技能a基地爆炸
34	14225 33531	   	242.79	橙橙2易伤1全技能	17最后敌人2随机矿37易伤47挖尘5全技能68核7序列升级9策反a低血量敌人
35	14225 33532	   	242.79	橙橙2易伤1全技能	17最后敌人2随机矿37易伤47挖尘5全技能68核7序列升级9策反a头目
36	11141 61112	 * 	239.45	橙橙2时间1伤害1矿等	1最后敌人2赏金邻近3伤害4a时间5攻速69核7随机矿8矿等
37	11141 64112	   	239.45	橙橙2时间1伤害1矿等	1最后敌人2赏金邻近3伤害4a时间5攻速69核7金币生成8矿等
38	61141 61112	   	239.45	橙橙2时间1伤害1矿等	1基地爆炸2赏金邻近3伤害4a时间5攻速69核7随机矿8矿等
