0	Index      	 *	Score 	Summary	Detail	
1	14322 26226	 * 	281.45	橙橙2易伤2时间1等级	1低血量敌人2头目3等级48时间5敌人爆炸6a易伤79核
2	14322 26222	 * 	275.31	橙橙1易伤2时间1等级1伤害	1低血量敌人2头目3等级48时间5敌人爆炸6易伤79核a伤害
3	14324 26222	   	275.31	橙橙1易伤2时间1等级1伤害	1低血量敌人2头目3等级48时间5基地爆炸6易伤79核a伤害
4	14322 26126	   	268.99	橙橙2易伤1等级1时间	1低血量敌人2头目3等级4时间5敌人爆炸6a易伤79核8立即金币
5	14322 26122	   	262.85	橙橙1易伤1等级1伤害1时间	1低血量敌人2头目3等级4时间5敌人爆炸6易伤79核8立即金币a伤害
6	14324 26122	   	262.85	橙橙1易伤1等级1伤害1时间	1低血量敌人2头目3等级4时间5基地爆炸6易伤79核8立即金币a伤害
7	14332 51522	   	262.85	橙橙1易伤1等级1伤害1时间	1低血量敌人2头目3等级4易伤5敌人爆炸69核7立即金币8时间a伤害
8	42233 23762	 * 	261.08	紫橙1易伤2时间1喷火对甲1等级1全技能	1全技能2易伤36时间49核5加一7等级8基地爆炸a喷火对甲
9	42233 22862	   	261.08	紫橙1易伤2时间1喷火对甲1等级1全技能	1全技能2易伤36时间49核5加一7基地爆炸8等级a喷火对甲
10	15232 12543	   	258.19	橙橙2易伤1矿等1全技能	1低血量敌人2矿等39易伤4赏金塔5最后敌人6全技能7a核8多重对愈
11	14332 52126	   	255.34	橙橙2易伤1等级	1低血量敌人2头目3等级4a易伤5敌人爆炸69核7基地爆炸8立即金币
12	14312 26126	   	255.24	橙橙2易伤1等级	1低血量敌人2头目3等级4挖尘5敌人爆炸6a易伤79核8立即金币
13	14322 26221	   	255.24	橙橙1易伤2时间1等级	1低血量敌人2a头目3等级48时间5敌人爆炸6易伤79核
14	14322 26223	   	255.24	橙橙1易伤2时间1等级	1a低血量敌人2头目3等级48时间5敌人爆炸6易伤79核
15	14322 26224	   	255.24	橙橙1易伤2时间1等级	1低血量敌人2头目3等级48时间5敌人爆炸6易伤79核a机枪对壮
16	14322 26225	   	255.24	橙橙1易伤2时间1等级	1低血量敌人2头目3等级48时间5敌人爆炸6易伤79核a平台
17	14324 26221	   	255.24	橙橙1易伤2时间1等级	1低血量敌人2a头目3等级48时间5基地爆炸6易伤79核
18	14324 26223	   	255.24	橙橙1易伤2时间1等级	1a低血量敌人2头目3等级48时间5基地爆炸6易伤79核
19	12523 26226	   	255.14	橙橙2易伤2时间	1低血量敌人28时间3挖尘4头目5金币生成6a易伤79核
20	14222 26226	   	255.14	橙橙2易伤2时间	1低血量敌人2头目3掉矿48时间5敌人爆炸6a易伤79核
21	43233 21267	 * 	254.94	紫橙1易伤2时间1等级1伤害1全技能	1全技能2最后敌人36时间49核5加一7伤害8等级a易伤
22	21212 55612	 * 	252.31	橙4易伤2伤害1矿等2攻速	19攻速2最后敌人3469易伤5矿等7雷电89伤害9序列升级a核
