0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33315 33622	7	 * 	271.50	橙3易伤3伤害3时间	1平台247时间3立即金币57a易伤67a伤害7a序列升级8赏金塔9核
2	32226 12252	4	 * 	268.60	紫4易伤3伤害1等级3暴击	1平台289暴击3基地爆炸4核589伤害6789易伤89序列升级a等级
3	11122 22151	3	 * 	263.47	橙4易伤2伤害2时间	19掉矿279a易伤38伤害4基地爆炸59时间6核9序列升级
4	11142 22151	4	   	263.37	橙4易伤2伤害2时间	19掉矿279a易伤38伤害4挖尘59时间6核9序列升级
5	33614 23225	9	 * 	257.68	橙2易伤2伤害2时间1等级1暴击	1平台28时间38伤害4暴击5随机矿6挖尘78易伤8序列升级9等级a核
6	11162 41122	10	 * 	257.40	橙4易伤1等级1伤害1时间	1掉矿2578易伤3伤害4金币生成6等级9核a时间
7	13232 54121	9	   	257.40	橙4易伤1等级1伤害1时间	1掉矿2金币生成3伤害4时间567a易伤8等级9核
8	33613 12235	5	   	256.27	橙3易伤2伤害2时间1暴击	1平台28时间38伤害4暴击5低血量敌人678易伤8序列升级9敌人爆炸a核
9	33613 62235	6	   	256.27	橙3易伤2伤害2时间1暴击	1平台28时间38伤害4暴击5低血量敌人678易伤8序列升级9敌人爆炸a核
10	33622 12235	5	   	256.27	橙3易伤2伤害2时间1暴击	1平台28时间38伤害4最后敌人5暴击678易伤8序列升级9敌人爆炸a核
11	33652 12235	5	   	256.27	橙3易伤2伤害2时间1暴击	1平台28时间38伤害4低血量敌人5暴击678易伤8序列升级9敌人爆炸a核
12	33632 12235	5	   	256.17	橙3易伤2伤害2时间1暴击	1平台28时间38伤害4挖尘5暴击678易伤8序列升级9敌人爆炸a核
13	33211 36256	5	   	255.75	橙3易伤3时间2伤害	1平台24a时间3双倍物品5敌人爆炸67a易伤8核9a伤害a序列升级
14	11214 56211	7	 * 	255.68	橙5易伤1等级1时间	1掉矿2489a易伤3基地爆炸5等级6核7时间
15	33615 23225	9	 * 	254.71	橙2易伤2时间1等级1伤害2暴击	1平台28时间3伤害48暴击5攻速6挖尘78易伤8序列升级9等级a核
16	11633 42363	2	 * 	254.28	橙3易伤2时间1等级1暴击1全技能	19掉矿29a易伤3暴击4等级59时间6全技能7随机矿8核9序列升级
17	12633 42363	1	   	254.28	橙3易伤2时间1等级1暴击1全技能	19掉矿29a易伤3暴击4等级59时间6全技能7随机矿8核9序列升级
18	11164 41122	10	 * 	253.94	橙3易伤2伤害1等级1时间	1掉矿278易伤36伤害4金币生成5等级9核a时间
19	43622 21325	1	 * 	252.67	橙5易伤2时间	1a基地爆炸2雷电3478a易伤5随机矿6a时间9核a序列升级
20	11122 22251	2	   	252.47	橙5易伤2时间	19掉矿2789a易伤3攻速4基地爆炸59时间6核9序列升级
21	12122 22251	1	   	252.47	橙5易伤2时间	19掉矿2789a易伤3攻速4基地爆炸59时间6核9序列升级
