0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33174 14415	10	 * 	308.03	橙4易伤3伤害2时间1等级	12a伤害2a序列升级3加一4等级5a时间689a易伤7核
2	33112 22233	2	 * 	305.20	橙4易伤3伤害3时间	129伤害269序列升级36金币生成4569易伤7核89a时间
3	33165 34415	10	   	297.16	橙4易伤3伤害2等级1时间	12a伤害2a序列升级3加一4时间589a易伤6a等级7核
4	33112 22234	2	   	291.98	橙4易伤3伤害2时间	129伤害269序列升级36金币生成4569易伤7核89时间a基地爆炸
5	33112 22236	2	   	291.98	橙4易伤3伤害2时间	129伤害269序列升级36金币生成4569易伤7核89时间a最后敌人
6	36112 33412	7	   	291.98	橙4易伤3伤害2时间	168伤害27时间358低血量敌人468a易伤68序列升级9核
7	36114 33412	7	   	291.98	橙4易伤3伤害2时间	168伤害27时间38低血量敌人468a易伤5双倍矿68序列升级9核
8	36116 33412	7	   	291.98	橙4易伤3伤害2时间	168伤害27时间38低血量敌人468a易伤5立即金币68序列升级9核
9	36134 33412	7	   	291.98	橙4易伤3伤害2时间	168伤害27时间38低血量敌人4立即金币568a易伤68序列升级9核
10	36314 33412	7	   	291.98	橙4易伤3伤害2时间	168伤害27时间38最后敌人468a易伤5双倍矿68序列升级9核
11	36316 33412	7	   	291.98	橙4易伤3伤害2时间	168伤害27时间38最后敌人468a易伤5立即金币68序列升级9核
12	36334 33412	7	   	291.98	橙4易伤3伤害2时间	168伤害27时间38最后敌人4立即金币568a易伤68序列升级9核
13	33112 22232	2	   	291.88	橙4易伤3伤害2时间	129伤害269序列升级36金币生成4569易伤7核89时间a掉矿
14	33112 22231	2	   	291.73	橙4易伤3伤害2时间1卖塔	129伤害269序列升级36金币生成4569易伤7核89时间a卖塔
15	33134 14415	10	   	291.68	橙4易伤3伤害2时间	12a伤害2a序列升级3加一4掉矿5a时间689a易伤7核
16	34333 23144	1	   	291.16	橙4易伤2伤害2暴击1时间	1a伤害249a易伤3挖尘5全技能6时间7a暴击8核a序列升级
17	36112 33413	7	   	285.59	橙3易伤3伤害2时间1等级	168伤害27时间358低血量敌人468易伤68序列升级9核a等级
18	36114 33413	7	   	285.59	橙3易伤3伤害2时间1等级	168伤害27时间38低血量敌人468易伤5双倍矿68序列升级9核a等级
19	36116 33413	7	   	285.59	橙3易伤3伤害2时间1等级	168伤害27时间38低血量敌人468易伤5立即金币68序列升级9核a等级
20	36134 33413	7	   	285.59	橙3易伤3伤害2时间1等级	168伤害27时间38低血量敌人4立即金币568易伤68序列升级9核a等级
21	36314 33413	7	   	285.59	橙3易伤3伤害2时间1等级	168伤害27时间38最后敌人468易伤5双倍矿68序列升级9核a等级
22	36316 33413	7	   	285.59	橙3易伤3伤害2时间1等级	168伤害27时间38最后敌人468易伤5立即金币68序列升级9核a等级
23	36334 33413	7	   	285.59	橙3易伤3伤害2时间1等级	168伤害27时间38最后敌人4立即金币568易伤68序列升级9核a等级
24	33174 14475	10	   	285.39	橙3易伤3伤害2时间1等级	12a伤害2a序列升级3加一4等级5a时间68a易伤7核9立即金币
25	33174 14615	10	   	285.39	橙3易伤3伤害2时间1等级	12a伤害2a序列升级3加一4等级5a时间69a易伤7核8立即金币
26	36236 62233	8	   	284.28	橙3易伤3伤害3雷电1时间	167伤害2时间379雷电467易伤5全技能67序列升级8最后敌人a核
27	33115 22233	2	   	282.56	橙3易伤3伤害3时间	129伤害269序列升级36金币生成469易伤5双倍矿7核89a时间
28	33115 34715	10	   	280.91	橙4易伤3伤害2等级	12a伤害2a序列升级3加一4最后敌人589a易伤6a等级7核
29	33145 34415	10	   	280.91	橙4易伤3伤害2等级	12a伤害2a序列升级3加一4基地爆炸589a易伤6a等级7核
30	32642 11132	9	   	280.07	橙4易伤3时间1伤害	1伤害2随机矿357时间4569易伤5序列升级8雷电a核
31	32642 11136	10	   	280.07	橙4易伤3时间1伤害	1伤害2随机矿357时间4569易伤5序列升级8雷电a核
32	36661 11132	9	   	279.97	橙4易伤3时间1伤害	1伤害247时间3469易伤4序列升级5掉矿8雷电a核
33	36236 24231	10	 * 	279.08	橙2易伤3时间2伤害2攻速	17伤害278时间3雷电49易伤5全技能67攻速7序列升级a核
