0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25235 36121	3	 * 	333.86	橙5易伤3时间3暴击1伤害1等级	1378a易伤27a暴击4伤害5等级67a时间7a序列升级9核
2	25133 26121	4	 * 	322.94	橙5易伤3伤害3暴击1时间	1478a易伤27a暴击3掉矿5时间67a伤害7a序列升级9核
3	25214 36121	4	   	317.61	橙5易伤3时间3暴击1伤害	1378a易伤27a暴击4金币生成5伤害67a时间7a序列升级9核
4	25224 36121	3	   	317.61	橙5易伤3时间3暴击1伤害	1378a易伤27a暴击4金币生成5伤害67a时间7a序列升级9核
5	25231 36121	3	   	317.61	橙5易伤3时间3暴击1伤害	1378a易伤27a暴击4伤害5金币生成67a时间7a序列升级9核
6	25134 36121	4	   	317.51	橙5易伤3时间3暴击1伤害	1478a易伤27a暴击3掉矿5伤害67a时间7a序列升级9核
7	25232 36121	3	   	317.51	橙5易伤3时间3暴击1伤害	1378a易伤27a暴击4伤害5掉矿67a时间7a序列升级9核
8	65331 36121	4	 * 	308.67	橙3易伤3伤害3时间3暴击	17a暴击27a伤害348易伤5金币生成67a时间7a序列升级9核
9	65331 36121	5	   	308.57	橙3易伤3伤害3时间3暴击	17a暴击27a伤害348易伤5掉矿67a时间7a序列升级9核
10	65332 36121	4	   	308.57	橙3易伤3伤害3时间3暴击	17a暴击27a伤害348易伤5掉矿67a时间7a序列升级9核
11	25213 26121	4	   	306.79	橙5易伤3伤害3暴击	1378a易伤27a暴击4金币生成5低血量敌人67a伤害7a序列升级9核
12	25214 26121	5	   	306.79	橙5易伤3伤害3暴击	1378a易伤27a暴击4金币生成5低血量敌人67a伤害7a序列升级9核
13	25216 31621	8	   	306.79	橙5易伤3伤害3暴击	1358a易伤28a暴击4金币生成6低血量敌人78a伤害8a序列升级9核
14	25216 61321	7	   	306.79	橙5易伤3伤害3暴击	1358a易伤28a暴击4金币生成6敌人爆炸78a伤害8a序列升级9核
15	25223 26121	3	   	306.79	橙5易伤3伤害3暴击	1378a易伤27a暴击4金币生成5低血量敌人67a伤害7a序列升级9核
16	25231 11621	8	   	306.79	橙5易伤3伤害3暴击	1348a易伤28a暴击5低血量敌人6金币生成78a伤害8a序列升级9核
17	25232 11321	7	   	306.79	橙5易伤3伤害3暴击	1348a易伤28a暴击5敌人爆炸6金币生成78a伤害8a序列升级9核
18	25232 11621	8	   	306.79	橙5易伤3伤害3暴击	1348a易伤28a暴击5敌人爆炸6金币生成78a伤害8a序列升级9核
19	25633 26121	4	   	306.79	橙5易伤3伤害3暴击	1478a易伤27a暴击3矿等5最后敌人67a伤害7a序列升级9核
20	25132 26121	5	   	306.69	橙5易伤3伤害3暴击	1478a易伤27a暴击3掉矿5敌人爆炸67a伤害7a序列升级9核
21	25134 26121	5	   	306.69	橙5易伤3伤害3暴击	1478a易伤27a暴击3掉矿5低血量敌人67a伤害7a序列升级9核
22	25136 31621	8	   	306.69	橙5易伤3伤害3暴击	1458a易伤28a暴击3掉矿6低血量敌人78a伤害8a序列升级9核
23	25136 61321	7	   	306.69	橙5易伤3伤害3暴击	1458a易伤28a暴击3掉矿6敌人爆炸78a伤害8a序列升级9核
24	25233 11621	8	   	306.69	橙5易伤3伤害3暴击	1348a易伤28a暴击5挖尘6金币生成78a伤害8a序列升级9核
25	25133 26121	5	   	306.59	橙5易伤3伤害3暴击	1478a易伤27a暴击3掉矿5挖尘67a伤害7a序列升级9核
26	25235 36123	3	   	304.51	橙4易伤2时间1伤害2暴击1等级	1378易伤27暴击4伤害5等级67时间7序列升级9核a全技能
