0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65332 11121	7	 * 	277.04	橙5易伤1伤害1等级1暴击	1立即金币23457易伤45序列升级6等级8暴击9核a伤害
2	65332 11126	7	   	273.23	橙5易伤1等级1时间1暴击	1立即金币23457易伤45序列升级6等级8暴击9核a时间
3	65332 11225	8	   	273.23	橙5易伤1等级1时间1暴击	1立即金币23457易伤45序列升级6等级8核9时间a暴击
4	65332 11133	9	   	271.70	橙5易伤1伤害1等级	1立即金币23457易伤45序列升级6等级8伤害9雷电a核
5	65332 11134	10	   	271.70	橙5易伤1伤害1等级	1立即金币23457易伤45序列升级6等级8伤害9雷电a核
6	66331 14731	5	 * 	271.01	橙4易伤3时间1攻速	1立即金币246时间3469易伤46序列升级5加一7雷电8攻速a核
7	66331 11324	5	   	267.95	橙4易伤3时间1等级	1立即金币246时间3468易伤46序列升级5加一7基地爆炸9等级a核
8	66331 11534	5	   	267.95	橙4易伤3时间1等级	1立即金币246时间3469易伤46序列升级5加一7基地爆炸8等级a核
9	65332 11232	9	 * 	267.11	橙5易伤2等级1伤害	1立即金币23457易伤459序列升级69等级8核a伤害
10	21335 13663	4	 * 	266.94	橙4易伤2时间1伤害	124低血量敌人3468易伤46序列升级56时间7伤害9雷电a核
11	66331 13461	5	   	266.56	橙4易伤3时间2雷电	1立即金币246时间3467易伤467序列升级5加一89雷电a核
12	65332 11211	9	   	263.39	橙5易伤1伤害1等级	1立即金币23457易伤45序列升级6等级8核9金币生成a伤害
13	65332 11241	9	   	263.39	橙5易伤1伤害1等级	1立即金币23457易伤45序列升级6等级8核9随机矿a伤害
14	65332 11125	7	 * 	263.29	橙5易伤2暴击1等级	1立即金币23457易伤45序列升级6等级8a暴击9核
15	65332 11216	8	   	263.29	橙5易伤2等级1时间	1立即金币23457易伤45序列升级69等级8核a时间
16	66331 54442	10	   	263.05	橙3易伤2时间1伤害1等级1攻速	1立即金币24时间346易伤4序列升级5加一7伤害8等级9核a攻速
17	66332 36322	4	   	263.03	橙4易伤2时间1等级	1立即金币24时间3469易伤4序列升级5双倍矿7雷电8核a等级
18	66323 12163	8	 * 	261.79	橙3易伤2伤害2时间	1立即金币26时间358易伤45伤害5序列升级7低血量敌人9雷电a核
19	65332 51321	6	   	260.79	橙5易伤1伤害1暴击	1立即金币23457易伤45序列升级6暴击8随机矿9核a伤害
20	65332 33421	5	   	260.69	橙5易伤1伤害1暴击	1立即金币23458易伤45序列升级6掉矿7暴击9核a伤害
21	65332 11211	8	   	260.69	橙5易伤2等级1暴击	1立即金币23457易伤45序列升级69等级8核a暴击
22	66331 54441	9	   	260.35	橙3易伤2时间1伤害1等级	1立即金币24时间346易伤4序列升级5加一7伤害8等级9核a雷电
23	66331 14531	5	   	260.01	橙4易伤3时间	1立即金币246时间3469易伤46序列升级5加一7雷电8矿等a核
24	65331 13163	7	   	260.00	橙4易伤2暴击1等级1时间	1立即金币2348易伤48序列升级58暴击6核78挖尘9时间a等级
25	66331 14831	5	   	259.91	橙4易伤3时间	1立即金币246时间3469易伤46序列升级5加一7雷电8掉矿a核
26	65332 11221	8	   	259.58	橙5易伤1等级1时间	1立即金币23457易伤45序列升级6等级8核9时间a策反
27	65332 11222	8	   	259.58	橙5易伤1等级1时间	1立即金币23457易伤45序列升级6等级8核9时间a金币生成
28	65332 11226	8	   	259.58	橙5易伤1等级1时间	1立即金币23457易伤45序列升级6等级8核9时间a矿等
29	65332 11224	8	   	259.48	橙5易伤1等级1时间	1立即金币23457易伤45序列升级6等级8核9时间a掉矿
30	65332 63324	8	   	259.48	橙5易伤1等级1时间	1立即金币23458易伤45序列升级6加一7等级9时间a核
31	66333 15232	8	   	258.96	橙3易伤3时间1等级1暴击	1立即金币246时间349易伤4序列升级5等级7核8基地爆炸a暴击
32	66333 15232	7	   	258.96	橙3易伤3时间1等级1暴击	1立即金币246时间349易伤4序列升级5等级7核8最后敌人a暴击
33	66333 15332	8	   	258.86	橙3易伤3时间1等级1暴击	1立即金币246时间349易伤4序列升级5等级7核8挖尘a暴击
34	21335 13162	4	   	258.64	橙4易伤2时间1伤害	1249低血量敌人3469易伤469序列升级56时间7伤害89挖尘a核
35	26335 13162	4	   	258.64	橙4易伤2时间1伤害	149低血量敌人2立即金币3469易伤469序列升级56时间7伤害89挖尘a核
36	65332 21122	8	   	258.15	橙5易伤1伤害1攻速	1立即金币23457易伤45序列升级6策反8伤害9攻速a核
37	65332 11235	9	   	258.05	橙5易伤2等级1攻速	1立即金币23457易伤459序列升级69等级8核a攻速
38	66331 14241	5	 * 	257.43	橙3易伤3时间1伤害	18立即金币246时间346易伤46序列升级5加一7雷电9伤害a核
39	65332 11122	7	   	256.98	橙5易伤1等级1暴击	1立即金币23457易伤45序列升级6等级8暴击9核a敌人爆炸
40	65332 11124	7	   	256.98	橙5易伤1等级1暴击	1立即金币23457易伤45序列升级6等级8暴击9核a基地爆炸
41	65332 11225	9	   	256.98	橙5易伤1等级1暴击	1立即金币23457易伤45序列升级6等级8核9敌人爆炸a暴击
42	65332 11123	7	   	256.88	橙5易伤1等级1暴击	1立即金币23457易伤45序列升级6等级8暴击9核a掉矿
43	65332 11232	8	   	256.88	橙5易伤1等级1暴击	1立即金币23457易伤45序列升级6等级8核9赏金邻近a暴击
44	65332 11213	8	   	256.70	橙5易伤2等级1全技能	1立即金币23457易伤45序列升级69等级8核a全技能
45	66331 11523	5	   	256.31	橙3易伤3时间1等级1攻速	1立即金币246时间346易伤46序列升级5加一7基地爆炸8等级9攻速a核
46	66323 12121	6	 * 	255.78	橙2易伤3伤害2时间1暴击	1立即金币26时间35易伤45a伤害5序列升级7暴击8赏金塔9核
47	66323 62121	5	   	255.78	橙2易伤3伤害2时间1暴击	1立即金币26时间35易伤45a伤害5序列升级7暴击8赏金塔9核
48	65332 11231	10	   	255.35	橙5易伤2等级	1立即金币23457易伤459序列升级69等级8核a雷电
49	22323 65136	6	   	255.09	橙4易伤1时间1等级2雷电	1a低血量敌人2金币生成378a易伤4时间5等级6核9a雷电a序列升级
50	66331 14711	5	   	254.92	橙3易伤3时间2雷电1攻速	1立即金币246时间346易伤46序列升级5加一79雷电8攻速a核
51	66335 21123	4	   	254.87	橙3易伤3时间1等级1全技能	1立即金币245时间348易伤4序列升级6赏金邻近7等级9全技能a核
52	66333 33131	10	   	254.72	橙4易伤2时间1等级	1立即金币24时间3479易伤4序列升级5等级68策反a核
53	14336 53321	1	 * 	254.45	橙3易伤3伤害1时间	1挖尘267伤害3最后敌人4基地爆炸568易伤6序列升级9时间a核
54	66323 33126	6	   	254.45	橙3易伤3伤害1时间	1立即金币2时间358易伤457伤害5序列升级6策反9赏金塔a核
55	65332 11213	10	   	254.33	橙5易伤1等级1攻速	1立即金币23457易伤45序列升级6等级8核9金币生成a攻速
56	65332 11243	10	   	254.33	橙5易伤1等级1攻速	1立即金币23457易伤45序列升级6等级8核9随机矿a攻速
57	65332 11233	8	   	254.23	橙5易伤1等级1攻速	1立即金币23457易伤45序列升级6等级8核9赏金邻近a攻速
58	65332 11521	7	   	254.23	橙5易伤1等级1攻速	1立即金币23457易伤45序列升级6等级8赏金邻近9攻速a核
59	61323 15353	8	   	253.75	橙3易伤2伤害1时间2雷电	1立即金币2基地爆炸358易伤45伤害5序列升级6时间79雷电a核
60	62423 15323	8	   	253.65	橙3易伤2伤害1时间2雷电	1立即金币2挖青358易伤45伤害5序列升级6时间79雷电a核
61	65332 11613	9	   	252.89	橙5易伤1等级1全技能	1立即金币23457易伤45序列升级6等级8全技能9掉矿a核
62	65332 11623	6	   	252.89	橙5易伤1等级1全技能	1立即金币23459易伤45序列升级6等级7掉矿8全技能a核
63	21323 11166	8	   	252.55	橙3易伤2伤害1时间1暴击	12低血量敌人35a易伤45伤害5序列升级6时间7额外掉落8暴击9核
64	26323 11166	8	   	252.55	橙3易伤2伤害1时间1暴击	1低血量敌人2立即金币35a易伤45伤害5序列升级6时间7额外掉落8暴击9核
65	66323 13225	10	   	252.49	橙2易伤2伤害2时间1等级1全技能	1立即金币26时间35易伤45伤害5序列升级7等级8低血量敌人9全技能a核
66	22324 43226	9	   	252.26	橙4易伤2等级1时间	1a低血量敌人2金币生成368a易伤4时间5雷电7a等级9核a序列升级
67	22332 46223	7	   	252.16	橙4易伤1伤害1等级	1低血量敌人2金币生成3569易伤4等级7雷电8伤害a核
68	15324 31226	9	   	252.06	橙4易伤2等级1时间	1a挖尘2金币生成378a易伤4时间5雷电6a等级9核a序列升级
69	16334 31226	9	   	252.06	橙4易伤2等级1时间	1a挖尘2时间378a易伤4金币生成5雷电6a等级9核a序列升级
70	16436 32211	2	   	252.05	橙3易伤2时间1伤害1等级	1挖尘26时间3等级4基地爆炸568易伤6序列升级7平台9核a伤害
71	66331 54442	9	   	252.05	橙3易伤2时间1伤害1等级	1立即金币24时间346易伤4序列升级5加一7伤害8等级9核a敌人爆炸
72	66331 54444	10	   	252.05	橙3易伤2时间1伤害1等级	1立即金币24时间346易伤4序列升级5加一7伤害8等级9核a随机矿
73	66331 54444	9	   	252.05	橙3易伤2时间1伤害1等级	1立即金币24时间346易伤4序列升级5加一7伤害8等级9核a策反
74	66331 54422	8	   	251.95	橙3易伤2时间1伤害1等级1核弹	1立即金币24时间346易伤4序列升级5加一7伤害8等级9核弹a核
75	66331 54441	10	   	251.95	橙3易伤2时间1伤害1等级	1立即金币24时间346易伤4序列升级5加一7伤害8等级9核a挖尘
76	66334 13121	4	   	251.95	橙3易伤2时间1伤害1等级	1立即金币24时间349易伤4序列升级5赏金塔6赏金邻近7等级8伤害a核
77	61335 32423	8	   	251.73	橙5易伤1时间	1立即金币24基地爆炸34789易伤4序列升级5雷电6时间a核
78	66331 11314	5	   	251.70	橙4易伤3时间	1立即金币246时间3468易伤46序列升级5加一7基地爆炸9随机矿a核
79	66331 11434	5	   	251.70	橙4易伤3时间	1立即金币246时间3469易伤46序列升级5加一7基地爆炸8金币生成a核
80	65323 32423	8	   	251.63	橙5易伤1时间	1立即金币23789易伤4雷电5基地爆炸6时间a核
81	65332 11533	9	   	251.63	橙5易伤1等级	1立即金币23457易伤45序列升级6等级8策反9雷电a核
82	65333 36123	4	   	251.63	橙5易伤1时间	1立即金币23469易伤4序列升级5时间7雷电8基地爆炸a核
83	65333 36321	4	   	251.63	橙5易伤1时间	1a立即金币23469易伤4序列升级5时间7雷电8核
84	65333 36322	4	   	251.63	橙5易伤1时间	1立即金币23469易伤4序列升级5时间7雷电8核a基地爆炸
85	65333 36323	4	   	251.63	橙5易伤1时间	1立即金币23469易伤4序列升级5时间7雷电8核a敌人爆炸
86	16353 38322	4	   	251.60	橙4易伤3时间	17挖尘267时间367a易伤4额外掉落5加一67序列升级8矿等9核
87	16353 38322	5	   	251.60	橙4易伤3时间	17挖尘267时间367a易伤4额外掉落5加一67序列升级8矿等9核
88	66331 11621	5	   	251.60	橙4易伤3时间	1立即金币246时间3469易伤46序列升级5加一7基地爆炸8挖尘a核
89	66331 51124	9	   	251.60	橙4易伤3时间	1立即金币249时间3468易伤4序列升级5加一7矿等a核
90	66323 13263	7	   	251.13	橙2易伤2伤害2时间1等级	1立即金币26时间35易伤45伤害5序列升级7等级8随机矿9雷电a核
91	21323 52165	6	 * 	251.12	橙3易伤2伤害2暴击	128低血量敌人358易伤45伤害58序列升级6策反78暴击9雷电a核
92	22323 65124	6	   	251.04	橙4易伤1等级1时间1攻速	1低血量敌人2金币生成3789易伤4时间5等级6核a攻速
93	65332 12621	6	   	251.04	橙4易伤1等级1时间1攻速	1立即金币2345易伤45序列升级6等级7最后敌人8时间9核a攻速
94	65332 12621	7	   	251.04	橙4易伤1等级1时间1攻速	1立即金币2345易伤45序列升级6等级7低血量敌人8时间9核a攻速
95	66331 52231	4	   	251.02	橙3易伤3时间1暴击	1立即金币246时间349易伤4序列升级5雷电7平台8暴击a核
96	65332 14221	7	   	250.94	橙4易伤1等级1时间1攻速	1立即金币2345易伤45序列升级6等级7时间8挖尘9核a攻速
97	65331 13422	8	   	250.81	橙4易伤1伤害1暴击1全技能	1立即金币234a易伤4序列升级5暴击6核7挖尘8全技能9伤害
98	66331 22223	4	   	250.75	橙3易伤2时间1伤害2雷电	1立即金币24时间346易伤4序列升级59雷电7低血量敌人8伤害a核
99	66331 24223	4	   	250.75	橙3易伤2时间1伤害2雷电	1立即金币24时间346易伤4序列升级59雷电7最后敌人8伤害a核
100	66335 22223	5	   	250.75	橙3易伤2时间1伤害2雷电	1立即金币24时间346易伤4序列升级59雷电7低血量敌人8伤害a核
101	66335 32223	7	   	250.75	橙3易伤2时间1伤害2雷电	1立即金币24时间347易伤4序列升级59雷电6最后敌人8伤害a核
102	66331 42262	6	 * 	250.27	橙3易伤3时间2攻速	1立即金币247时间348易伤48序列升级5加一68攻速9核a平台
103	66331 42263	6	   	250.27	橙3易伤3时间2攻速	1立即金币247时间348易伤48序列升级5加一68攻速9核a基地爆炸
104	66331 42264	6	   	250.17	橙3易伤3时间2攻速	1立即金币247时间348易伤48序列升级5加一68攻速9核a挖尘
105	66323 12123	6	   	249.79	橙2易伤2伤害2时间1暴击1全技能	1立即金币26时间35易伤45伤害5序列升级7暴击8赏金塔9核a全技能
106	66323 62123	5	   	249.79	橙2易伤2伤害2时间1暴击1全技能	1立即金币26时间35易伤45伤害5序列升级7暴击8赏金塔9核a全技能
107	21335 42236	7	   	249.66	橙4易伤1伤害1暴击	124低血量敌人347a易伤4序列升级5雷电6核8伤害9暴击
108	62423 21336	10	   	249.31	橙3易伤3伤害1攻速	1立即金币2挖青357易伤457伤害57序列升级67矿等8攻速9加一a核
109	16322 15621	5	   	249.28	橙4易伤2时间1攻速	1挖尘26时间3568易伤4立即金币6序列升级7掉矿9核a攻速
110	61333 12562	6	 * 	249.22	橙3易伤3时间2等级	1立即金币249基地爆炸34a易伤49序列升级59等级679时间8核
111	16216 33161	2	   	249.02	橙3易伤3时间1伤害	1挖尘269时间3最后敌人4金币生成568易伤6序列升级7伤害a核
