0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15621 12262	4	 * 	301.14	橙5易伤2伤害3雷电1时间	1立即金币28伤害368雷电45689易伤68序列升级7核a时间
2	15621 12226	4	 * 	300.55	橙5易伤3伤害3雷电	1立即金币289伤害368雷电4568a易伤68序列升级7核
3	15621 12214	4	   	284.79	橙5易伤2伤害3雷电	1立即金币28伤害368雷电4568a易伤68序列升级7核9赏金塔
4	15621 12231	4	   	284.79	橙5易伤2伤害3雷电	1立即金币28伤害368雷电4568a易伤68序列升级7核9掉矿
5	15621 12263	4	   	284.79	橙5易伤2伤害3雷电	1立即金币28伤害368雷电45689易伤68序列升级7核a挖青
6	15621 12261	4	   	284.65	橙5易伤2伤害3雷电1卖塔	1立即金币28伤害368雷电45689易伤68序列升级7核a卖塔
7	15621 12252	5	   	284.28	橙3易伤3伤害3雷电1时间	1立即金币258伤害368雷电468易伤68序列升级7核9全技能a时间
8	15621 12242	4	   	281.60	橙4易伤2伤害3雷电1时间	1立即金币28伤害368雷电4568易伤68序列升级7核9时间a金币生成
9	15621 12243	4	   	281.60	橙4易伤2伤害3雷电1时间	1立即金币28伤害368雷电4568易伤68序列升级7核9时间a基地爆炸
10	15621 12216	4	   	281.50	橙4易伤2伤害3雷电1等级	1立即金币28伤害368雷电4568易伤68序列升级7核9赏金塔a等级
11	15621 12233	4	   	281.50	橙4易伤2伤害3雷电1时间	1立即金币28伤害368雷电4568易伤68序列升级7核9掉矿a时间
12	15621 12241	4	   	281.50	橙4易伤2伤害3雷电1时间	1立即金币28伤害368雷电4568易伤68序列升级7核9时间a掉矿
13	15621 12214	5	   	281.01	橙4易伤3伤害3雷电	1立即金币258伤害368雷电468a易伤68序列升级7核9基地爆炸
14	15621 12222	4	   	281.01	橙4易伤3伤害3雷电	1立即金币289伤害368雷电4568易伤68序列升级7核a策反
15	15621 12224	5	   	281.01	橙4易伤3伤害3雷电	1立即金币258伤害368雷电468a易伤68序列升级7核9低血量敌人
16	15621 12225	4	   	281.01	橙4易伤3伤害3雷电	1立即金币289伤害368雷电4568易伤68序列升级7核a基地爆炸
17	15621 12234	5	   	281.01	橙4易伤3伤害3雷电	1立即金币258伤害368雷电468a易伤68序列升级7核9最后敌人
18	15621 12221	4	   	280.91	橙4易伤3伤害3雷电	1立即金币289伤害368雷电4568易伤68序列升级7核a赏金塔
19	15621 12223	4	   	280.91	橙4易伤3伤害3雷电	1立即金币289伤害368雷电4568易伤68序列升级7核a掉矿
20	15621 12224	4	   	280.91	橙4易伤3伤害3雷电	1立即金币289伤害368雷电4568易伤68序列升级7核a挖尘
21	24633 36331	1	   	280.88	橙5易伤2伤害1时间	17挖尘24678易伤3赏金邻近57伤害7序列升级9核a时间
22	63162 22124	3	 * 	276.66	紫4易伤2伤害3暴击2攻速1时间	1核259暴击345a易伤5a序列升级6时间7a伤害8a攻速
23	15621 12212	5	   	274.62	橙3易伤3伤害3雷电1等级	1立即金币258伤害368雷电468易伤68序列升级7核9基地爆炸a等级
24	15621 12222	5	   	274.62	橙3易伤3伤害3雷电1等级	1立即金币258伤害368雷电468易伤68序列升级7核9低血量敌人a等级
25	15621 12232	5	   	274.62	橙3易伤3伤害3雷电1等级	1立即金币258伤害368雷电468易伤68序列升级7核9最后敌人a等级
