0	Index      	 *	Score 	Summary	Detail	
1	35621 13622	 * 	269.89	橙橙1易伤1等级1时间1全技能1暴击1技能	1时间2等级3挖尘4暴击5暴雪减费69核7技能8全技能a易伤
2	66213 23325	 * 	264.73	橙橙3易伤1时间	157易伤2挖尘3平台4雷电6时间8a核9赏金塔
3	26116 24322	   	264.69	橙橙3易伤1全技能1技能1卖塔	1技能26a易伤3金币生成4低血量敌人5卖塔79核8全技能
4	62116 24322	   	264.69	橙橙3易伤1全技能1技能1卖塔	16a易伤2技能3金币生成4低血量敌人5卖塔79核8全技能
5	26423 34322	   	256.44	橙橙2易伤1全技能1技能1暴击	1技能2a易伤35基地爆炸4暴击6金币生成79核8全技能
6	62423 34322	   	256.44	橙橙2易伤1全技能1技能1暴击	1a易伤2技能35基地爆炸4暴击6金币生成79核8全技能
7	26421 34322	   	256.34	橙橙2易伤1全技能1暴击1技能	1技能2a易伤3基地爆炸4暴击5风暴减费6金币生成79核8全技能
8	62421 34322	   	256.34	橙橙2易伤1全技能1暴击1技能	1a易伤2技能3基地爆炸4暴击5风暴减费6金币生成79核8全技能
9	26621 34322	   	256.24	橙橙2易伤1全技能1暴击1技能	1技能2a易伤3挖尘4暴击5风暴减费6金币生成79核8全技能
10	62621 34322	   	256.24	橙橙2易伤1全技能1暴击1技能	1a易伤2技能3挖尘4暴击5风暴减费6金币生成79核8全技能
11	36211 43325	 * 	255.04	橙橙2易伤2时间	15时间2挖尘3平台4雷电67易伤8a核9赏金塔
12	43211 43325	   	255.04	橙橙2易伤2时间	1挖尘25时间3平台4雷电67易伤8a核9赏金塔
13	33535 44443	 * 	254.84	橙橙1易伤2时间1等级	12时间3等级4易伤5散射对喷气6加一7多重对甲8掉矿9a核
14	33536 44443	   	254.84	橙橙1易伤2时间1等级	12时间3等级4易伤5毒液对黄6加一7多重对甲8掉矿9a核
15	66213 13325	   	251.08	橙橙3易伤	157易伤2挖尘3平台4雷电6敌人爆炸8a核9赏金塔
16	63221 11352	 * 	250.97	紫橙3易伤1伤害1时间	18a易伤2时间3平台49核5低血量敌人6双倍秒伤7伤害
17	14651 22312	   	249.33	橙橙1易伤1等级1暴击	1赏金邻近2暴击3等级4赏金塔5攻速6毒液对冰78核9加一a易伤
18	14651 22333	   	249.33	橙橙1易伤1等级1暴击	1赏金邻近2暴击3等级4赏金塔5攻速6毒液对冰78核9双倍物品a易伤
19	32621 24622	   	243.69	橙橙1易伤1时间1全技能1暴击1技能	1时间2技能3挖尘4暴击5暴雪减费6随机矿79核8全技能a易伤
20	32621 34622	   	243.69	橙橙1易伤1时间1全技能1暴击1技能	1时间2技能3挖尘4暴击5暴雪减费6金币生成79核8全技能a易伤
21	34621 13622	   	243.59	橙橙1易伤1时间1全技能1暴击1技能	1时间2技能点3挖尘4暴击5暴雪减费69核7技能8全技能a易伤
22	63211 13325	   	242.69	橙橙2易伤1时间	17易伤2时间3平台4雷电5立即金币6敌人爆炸8a核9赏金塔
23	63211 63325	   	242.59	橙橙2易伤1时间	17易伤2时间3平台4雷电5立即金币6挖尘8a核9赏金塔
24	63213 13325	   	242.59	橙橙2易伤1时间	17易伤2时间3平台4雷电5烈焰减费6敌人爆炸8a核9赏金塔
25	63211 33534	   	242.59	橙橙1易伤1等级1时间	1易伤2时间3平台4雷电5立即金币69核7挖尘8赏金塔a等级
26	26116 34322	   	242.55	橙橙2易伤1全技能1技能1卖塔	1技能2a易伤3金币生成4低血量敌人5卖塔6立即金币79核8全技能
27	62116 34322	   	242.55	橙橙2易伤1全技能1技能1卖塔	1a易伤2技能3金币生成4低血量敌人5卖塔6立即金币79核8全技能
28	63132 51114	 * 	242.53	橙3易伤2等级2时间2攻速	15a易伤2a时间3策反45等级5a序列升级6平台7双倍秒伤8a攻速9核
29	63213 63325	   	242.49	橙橙2易伤1时间	17易伤2时间3平台4雷电5烈焰减费6挖尘8a核9赏金塔
30	63213 33534	   	242.49	橙橙1易伤1等级1时间	1易伤2时间3平台4雷电5烈焰减费69核7挖尘8赏金塔a等级
31	26116 24321	   	242.45	橙橙2易伤1全技能1技能1卖塔	1技能26易伤3金币生成4低血量敌人5卖塔79核8全技能a掉矿
32	26116 24323	   	242.45	橙橙2易伤1全技能1技能1卖塔	1技能26易伤3金币生成4低血量敌人5卖塔79核8全技能a火球减费
33	62116 24321	   	242.45	橙橙2易伤1全技能1技能1卖塔	16易伤2技能3金币生成4低血量敌人5卖塔79核8全技能a掉矿
34	62116 24323	   	242.45	橙橙2易伤1全技能1技能1卖塔	16易伤2技能3金币生成4低血量敌人5卖塔79核8全技能a火球减费
35	35215 44443	   	242.39	橙橙1易伤1等级1时间	1时间2等级3寒冰对冰4易伤5火球减费6加一7多重对甲8掉矿9a核
36	33225 25313	 * 	241.34	橙3易伤3时间2伤害	124时间3头目5赏金邻近67a易伤8a伤害9核a序列升级
37	33226 36533	   	241.34	橙3易伤3时间2伤害	124时间3头目57a易伤6核8赏金塔9a伤害a序列升级
38	33226 45313	   	241.34	橙3易伤3时间2伤害	124时间3头目57a易伤6赏金邻近8a伤害9核a序列升级
