0	Index      	 *	Score 	Summary	Detail	
1	33126 66111	 * 	270.49	橙橙1易伤2矿等1等级1暴击	1挖青2暴击3金币生成4赏金塔5等级69核7易伤8a矿等
2	43222 42512	 * 	264.31	橙橙3等级2雷电1矿等1攻速	15雷电2额外掉落345等级5序列升级6矿等78核9烈焰减费a攻速
3	43222 42521	   	264.31	橙橙3等级2雷电1矿等1技能	15雷电2额外掉落345等级5序列升级6矿等78核9加农对壮a技能
4	43222 42522	   	264.31	橙橙3等级2雷电1矿等1全技能	15雷电2额外掉落345等级5序列升级6矿等78核9加农对壮a全技能
5	33126 66112	   	258.19	橙橙1易伤1等级1矿等1暴击	1挖青2暴击3金币生成4赏金塔5等级69核7易伤8矿等a双倍矿
6	33126 66113	   	258.19	橙橙1易伤1等级1矿等1暴击	1挖青2暴击3金币生成4赏金塔5等级69核7易伤8矿等a低血量敌人
7	43221 52521	 * 	256.84	橙橙3等级1易伤1雷电	1雷电2额外掉落346等级5掉矿78核9易伤a低血量敌人
8	43221 52522	   	256.84	橙橙3等级1易伤1雷电	1雷电2额外掉落346等级5掉矿78核9易伤a金币生成
9	43221 52523	   	256.84	橙橙3等级1易伤1雷电	1雷电2额外掉落346等级5掉矿78核9易伤a平台
10	43221 52511	   	256.74	橙橙3等级1易伤1雷电	1雷电2额外掉落346等级5掉矿78核9赏金邻近a易伤
11	23264 22623	   	256.34	橙橙1易伤1等级1全技能1攻速	1基础对愈2策反3全技能4攻速5平台6易伤7低血量敌人89核a等级
12	23264 23623	   	256.24	橙橙1易伤1等级1全技能1攻速	1基础对愈2策反3全技能4攻速5平台6易伤7雷电减费89核a等级
13	46133 31114	 * 	254.39	橙橙1易伤1伤害1攻速1雷电	1雷电2易伤3伤害4赏金邻近5攻速6a核7随机矿8火球减费9时间
14	46133 32114	   	254.29	橙橙1易伤1伤害1攻速1雷电	1雷电2易伤3伤害4赏金邻近5攻速6a核7掉矿8暴雪减费9时间
15	13333 32115	 * 	251.38	橙橙2易伤1矿等	1赏金塔2时间3矿等4平台5双倍物品69核7多重对甲8a易伤
16	61333 32115	   	251.38	橙橙2易伤1矿等	1时间2赏金邻近3矿等4平台5双倍物品69核7多重对甲8a易伤
17	12412 33334	 * 	251.08	橙橙3易伤	1赏金塔2激光对冰358易伤4随机技能6a核7金币生成9低血量敌人
18	43222 42531	   	250.76	橙橙3等级2雷电1矿等	15雷电2额外掉落345等级5序列升级6矿等78核9基地爆炸a低血量敌人
19	43222 42532	   	250.76	橙橙3等级2雷电1矿等	15雷电2额外掉落345等级5序列升级6矿等78核9基地爆炸a金币生成
20	43222 42533	   	250.76	橙橙3等级2雷电1矿等	15雷电2额外掉落345等级5序列升级6矿等78核9基地爆炸a平台
21	43222 42511	   	250.66	橙橙3等级2雷电1矿等	15雷电2额外掉落345等级5序列升级6矿等78核9烈焰减费a敌人爆炸
22	43222 42513	   	250.56	橙橙3等级2雷电1矿等	15雷电2额外掉落345等级5序列升级6矿等78核9烈焰减费a挖尘
23	43222 42523	   	250.56	橙橙3等级2雷电1矿等	15雷电2额外掉落345等级5序列升级6矿等78核9加农对壮a掉矿
24	24142 33512	 * 	248.01	橙橙1易伤3雷电1矿等	1基础对愈2敌人爆炸369雷电4低血量敌人5矿等7易伤8a核
25	22142 33512	   	247.91	橙橙1易伤3雷电1矿等	1基础对愈2挖尘369雷电4低血量敌人5矿等7易伤8a核
26	22552 33512	   	247.91	橙橙1易伤3雷电1矿等	1基础对愈2挖尘3低血量敌人469雷电5矿等7易伤8a核
27	46133 31124	   	247.45	橙橙1易伤1伤害1攻速1雷电	1雷电2易伤3伤害4赏金邻近5攻速6a核7随机矿8火球减费9最后敌人
28	46133 32124	   	247.35	橙橙1易伤1伤害1攻速1雷电	1雷电2易伤3伤害4赏金邻近5攻速6a核7掉矿8暴雪减费9最后敌人
29	13333 32114	   	245.24	橙橙1易伤1伤害1矿等	1赏金塔2时间3矿等4平台5双倍物品69核7多重对甲8易伤a伤害
30	61333 32114	   	245.24	橙橙1易伤1伤害1矿等	1时间2赏金邻近3矿等4平台5双倍物品69核7多重对甲8易伤a伤害
31	16223 33264	   	243.09	橙橙1易伤1矿等1攻速1雷电	1赏金塔2低血量敌人3策反4雷电5攻速6a核7易伤8立即金币9矿等
32	51223 33264	   	243.09	橙橙1易伤1矿等1攻速1雷电	1低血量敌人2赏金邻近3策反4雷电5攻速6a核7易伤8立即金币9矿等
