0	Index      	 *	Score 	Summary	Detail	
1	21226 62336	 * 	277.28	橙橙3易伤1等级	18风暴减费28多重对愈3低血量敌人4头目5等级689易伤7a核8序列升级
2	11225 15423	 * 	274.83	紫橙2易伤1喷火对甲1等级1全技能1暴击	1等级2a核3随机技能4全技能5暴击69易伤7喷火对甲8挖尘
3	11341 35632	 * 	272.72	紫橙3易伤1等级1矿等1暴击	1等级2a核3额外掉落4暴击5矿等6掉矿789易伤
4	21122 52336	 * 	270.65	橙橙2易伤2时间1矿等	18风暴减费28多重对愈39易伤4头目5矿等68时间7a核8序列升级
5	12253 63136	   	268.89	橙橙2易伤1等级1时间	1等级29易伤3敌人爆炸4头目5风暴减费6机枪对壮7时间8a核
6	12353 12536	   	268.79	橙橙2易伤1等级1时间	1等级29易伤3低血量敌人4头目5风暴减费6寒冰对黄7a核8时间
7	12253 13136	   	268.79	橙橙2易伤1等级1时间	1等级29易伤3敌人爆炸4头目5风暴减费6寒冰对黄7时间8a核
8	12255 13136	   	268.79	橙橙2易伤1等级1时间	1等级29易伤3敌人爆炸4头目5火球减费6寒冰对黄7时间8a核
9	21222 62336	   	266.68	橙橙3易伤1矿等	18风暴减费28多重对愈3低血量敌人4头目5矿等689易伤7a核8序列升级
10	12253 62336	 * 	265.78	橙橙2易伤2等级	18等级28易伤3敌人爆炸4头目5风暴减费68机枪对壮7a核8序列升级9最后敌人
11	12353 62336	   	265.78	橙橙2易伤2等级	18等级28易伤3低血量敌人4头目5风暴减费68机枪对壮7a核8序列升级9最后敌人
12	12253 12336	   	265.58	橙橙2易伤2等级	18等级28易伤3敌人爆炸4头目5风暴减费68寒冰对黄7a核8序列升级9最后敌人
13	12255 12336	   	265.58	橙橙2易伤2等级	18等级28易伤3敌人爆炸4头目5火球减费68寒冰对黄7a核8序列升级9最后敌人
14	12353 12336	   	265.58	橙橙2易伤2等级	18等级28易伤3低血量敌人4头目5风暴减费68寒冰对黄7a核8序列升级9最后敌人
15	21122 52236	   	258.19	橙橙2易伤1矿等1时间	1风暴减费2多重对愈39易伤4头目5矿等6时间7a核8基地爆炸
