0	Index      	 *	Score 	Summary	Detail	
1	55321 12233	 * 	263.16	橙橙1易伤1伤害1矿等1攻速1雷电	1策反2矿等3雷电4导弹对黄5伤害6易伤7低血量敌人8攻速9a核
2	52321 12233	   	247.45	橙橙1易伤1伤害1攻速1雷电	1策反2掉矿3雷电4导弹对黄5伤害6易伤7低血量敌人8攻速9a核
3	52332 61138	   	247.45	橙橙1易伤1伤害1全技能1雷电	1策反2掉矿3雷电4全技能5额外掉落6易伤7加一8a核9伤害
4	12611 32243	 * 	246.88	橙橙2易伤1雷电	1赏金塔2雷电35易伤4低血量敌人6技能点7时间8敌人爆炸9a核
5	12311 35243	   	239.94	橙橙2易伤1雷电	1赏金塔2雷电3最后敌人4低血量敌人56易伤7技能点8敌人爆炸9a核
6	12411 35243	   	239.94	橙橙2易伤1雷电	1赏金塔2雷电3低血量敌人4最后敌人56易伤7技能点8敌人爆炸9a核
7	12613 35243	   	239.94	橙橙2易伤1雷电	1赏金塔2雷电36易伤4低血量敌人5最后敌人7技能点8敌人爆炸9a核
8	52316 15233	   	239.94	橙橙2易伤1雷电	1策反2掉矿3雷电4低血量敌人59易伤6a核7毒液对毒8加一
9	12611 35243	   	239.84	橙橙2易伤1雷电	1赏金塔2雷电35易伤4低血量敌人6技能点7挖尘8敌人爆炸9a核
10	12612 21443	   	239.84	橙橙2易伤1雷电	1赏金塔2雷电38易伤4低血量敌人5技能点6挖尘7敌人爆炸9a核
11	12612 23443	   	239.84	橙橙2易伤1雷电	1赏金塔2雷电38易伤4低血量敌人5技能点6挖尘7基地爆炸9a核
12	54241 22333	   	236.55	橙橙1易伤1伤害1攻速	1策反2狙击对黄3伤害4易伤5头目6攻速7低血量敌人8a核9金币生成
13	66313 42331	 * 	236.29	橙3易伤2等级1伤害1暴击	17等级2双倍秒伤37技能点4伤害5敌人爆炸678易伤7序列升级9核a暴击
14	52316 12433	   	233.80	橙橙1易伤1伤害1技能1雷电	1策反2掉矿3雷电4低血量敌人5易伤6a核7伤害8技能9散射对甲
