0	Index      	 *	Score 	Summary	Detail	
1	13365 22335	 * 	288.96	橙橙2易伤1等级1伤害1全技能	1最后敌人2伤害36易伤4双倍秒伤5随机矿7全技能8a核9等级
2	13342 13152	 * 	287.28	橙橙2易伤2伤害1时间	1最后敌人25伤害38易伤4攻速6掉矿7时间9a核
3	13532 13152	   	287.28	橙橙2易伤2伤害1时间	1最后敌人25伤害3攻速48易伤6掉矿7时间9a核
4	13563 23152	   	287.28	橙橙2易伤2伤害1时间	1最后敌人24伤害3攻速5掉矿68易伤7时间9a核
5	32462 22352	   	278.26	橙橙1易伤1等级1伤害1矿等2攻速	1掉矿2等级3最后敌人45攻速6易伤7矿等8伤害9a核
6	13462 23152	   	276.40	橙橙2易伤1伤害2攻速1时间	1最后敌人2伤害3金币生成45攻速68易伤7时间9a核
7	11636 32141	   	274.54	橙橙1易伤1等级1导弹对毒1矿等1时间	1最后敌人2时间3导弹对毒4矿等5立即金币6散射对喷气7易伤8a核9等级
8	32411 22352	   	271.55	橙橙1易伤1等级1伤害1矿等	1掉矿2等级3最后敌人4伤害5暴雪减费6易伤7矿等8攻速9a核
9	32416 22352	   	271.55	橙橙1易伤1等级1伤害1矿等	15掉矿2等级3最后敌人4伤害6易伤7矿等8攻速9a核
10	32461 22352	   	271.55	橙橙1易伤1等级1伤害1矿等	1掉矿2等级3最后敌人4攻速5暴雪减费6易伤7矿等8伤害9a核
11	13463 23152	   	269.79	橙橙2易伤1伤害1时间	1最后敌人2伤害35金币生成4攻速68易伤7时间9a核
12	13322 13152	   	269.69	橙橙2易伤1伤害1时间	1最后敌人2伤害38易伤4双倍矿5攻速6掉矿7时间9a核
13	13345 13152	   	269.69	橙橙2易伤1伤害1时间	1最后敌人2伤害38易伤4攻速5立即金币6掉矿7时间9a核
14	13461 23152	   	269.69	橙橙2易伤1伤害1时间	1最后敌人2伤害3金币生成4攻速5暴雪减费68易伤7时间9a核
15	13523 23152	   	269.69	橙橙2易伤1伤害1时间	1最后敌人2伤害3攻速4立即金币5掉矿68易伤7时间9a核
16	13535 13152	   	269.69	橙橙2易伤1伤害1时间	1最后敌人2伤害3攻速48易伤5立即金币6掉矿7时间9a核
17	12365 22335	   	268.79	橙橙2易伤1等级1全技能1核弹	1最后敌人2核弹36易伤4双倍秒伤5随机矿7全技能8a核9等级
18	13313 41152	   	266.79	橙橙2易伤2伤害1技能	1最后敌人27伤害38易伤4低血量敌人5金币生成6技能9a核
19	13315 41152	   	266.69	橙橙2易伤2伤害1技能	1最后敌人27伤害38易伤4低血量敌人5掉矿6技能9a核
20	13312 56262	   	262.75	橙橙2易伤1伤害1时间1技能	1最后敌人2伤害37易伤4低血量敌人5挖青6技能8a核9时间
21	12411 23152	   	262.65	橙橙2易伤1伤害1时间1核弹	1最后敌人2核弹3金币生成4伤害5暴雪减费68易伤7时间9a核
22	13365 22325	   	262.65	橙橙2易伤1伤害1全技能	1最后敌人2伤害36易伤4双倍秒伤5随机矿7全技能8a核9掉矿
23	13411 23152	   	262.65	橙橙2易伤1伤害1时间1核弹	1最后敌人2伤害3金币生成4核弹5暴雪减费68易伤7时间9a核
24	36411 23152	   	262.65	橙橙2易伤1伤害1时间1技能	1掉矿2技能3最后敌人4伤害5暴雪减费68易伤7时间9a核
25	21216 33315	 * 	262.55	橙橙1易伤2时间1伤害1全技能	12时间3双倍秒伤4暴雪减费5基地爆炸6a核7全技能8伤害9易伤
26	13322 53252	   	261.18	橙橙2伤害1易伤1时间	17最后敌人27伤害3易伤4双倍矿5攻速67技能点7序列升级8a核9时间
27	13322 33452	   	261.18	橙橙2伤害1易伤1时间	1最后敌人26伤害3易伤4双倍矿5攻速7时间8金币生成9a核
28	13322 33162	   	261.08	橙橙2伤害1易伤1时间	1最后敌人26伤害3易伤4双倍矿5攻速7时间8双倍秒伤9a核
29	13322 33652	   	261.08	橙橙2伤害1易伤1时间	1最后敌人26伤害3易伤4双倍矿5攻速7时间8掉矿9a核
30	13322 36252	   	261.08	橙橙2伤害1易伤1时间	1最后敌人26伤害3易伤4双倍矿5攻速7掉矿8a核9时间
31	13345 33162	   	261.08	橙橙2伤害1易伤1时间	1最后敌人26伤害3易伤4攻速5立即金币7时间8双倍秒伤9a核
32	13535 33162	   	261.08	橙橙2伤害1易伤1时间	1最后敌人26伤害3攻速4易伤5立即金币7时间8双倍秒伤9a核
33	13342 52252	   	260.98	橙橙2伤害1易伤1时间	1最后敌人25伤害3易伤4攻速67技能点8a核9时间
34	13532 52252	   	260.98	橙橙2伤害1易伤1时间	1最后敌人25伤害3攻速4易伤67技能点8a核9时间
