0	Index      	 *	Score 	Summary	Detail	
1	42132 52432	 * 	285.24	橙橙2易伤1等级1导弹对毒1技能1攻速	1基地爆炸2技能3攻速47易伤5金币生成6a核8导弹对毒9等级
2	13321 13652	 * 	278.48	橙橙3易伤1暴击1攻速	1随机技能278易伤3暴击4最后敌人5双倍秒伤6a核9攻速
3	13361 13652	   	278.48	橙橙3易伤1暴击1攻速	1随机技能278易伤3暴击4低血量敌人5双倍秒伤6a核9攻速
4	13331 13652	   	278.38	橙橙3易伤1暴击1攻速	1随机技能278易伤3暴击4挖尘5双倍秒伤6a核9攻速
5	13321 13612	   	264.83	橙橙3易伤1暴击	1随机技能278易伤3暴击4最后敌人5双倍秒伤6a核9敌人爆炸
6	13361 13612	   	264.83	橙橙3易伤1暴击	1随机技能278易伤3暴击4低血量敌人5双倍秒伤6a核9敌人爆炸
7	13551 13612	   	264.83	橙橙3易伤1暴击	1随机技能278易伤3低血量敌人4暴击5双倍秒伤6a核9敌人爆炸
8	13651 13612	   	264.83	橙橙3易伤1暴击	1随机技能278易伤3最后敌人4暴击5双倍秒伤6a核9敌人爆炸
9	13331 13612	   	264.73	橙橙3易伤1暴击	1随机技能278易伤3暴击4挖尘5双倍秒伤6a核9敌人爆炸
10	12363 31652	   	263.38	橙橙2易伤1暴击1攻速	1随机技能2最后敌人3暴击4低血量敌人58易伤6时间7a核9攻速
11	32356 33142	 * 	262.65	橙橙1易伤1喷火对甲1伤害2时间	1掉矿2随机矿3伤害4策反57时间6易伤8a核9喷火对甲
12	32536 32152	 * 	261.98	橙橙2易伤1喷火对甲	1掉矿2随机矿36易伤4暴雪减费5时间7加一8a核9喷火对甲
13	42132 52412	   	259.04	橙橙2易伤1导弹对毒1技能1攻速	1基地爆炸2技能3攻速47易伤5金币生成6a核8导弹对毒9随机矿
14	52132 24142	   	258.29	橙橙1易伤1喷火对甲1矿等1技能1攻速	1易伤2技能3攻速4火球减费5矿等6随机矿7基地爆炸8a核9喷火对甲
15	13361 13252	   	256.34	橙橙2易伤1暴击1攻速	1随机技能27易伤3暴击48低血量敌人5双倍秒伤6a核9攻速
16	13551 13252	   	256.34	橙橙2易伤1暴击1攻速	1随机技能27易伤38低血量敌人4暴击5双倍秒伤6a核9攻速
17	31163 53422	   	256.34	橙橙1易伤1等级1暴击1攻速	1掉矿2低血量敌人3攻速4易伤5敌人爆炸6a核7等级8暴击9随机技能
18	13321 12652	   	256.24	橙橙2易伤1暴击1攻速	1随机技能28易伤3暴击4最后敌人5双倍秒伤6a核7暴雪减费9攻速
19	13361 12652	   	256.24	橙橙2易伤1暴击1攻速	1随机技能28易伤3暴击4低血量敌人5双倍秒伤6a核7暴雪减费9攻速
20	13331 12652	   	256.14	橙橙2易伤1暴击1攻速	1随机技能28易伤3暴击4挖尘5双倍秒伤6a核7暴雪减费9攻速
21	34231 24116	 * 	256.14	橙橙1易伤2全技能1暴击1攻速	1掉矿29全技能3随机技能4暴击5易伤6攻速7赏金塔8a核
22	25623 21252	 * 	255.84	橙橙1易伤1等级1伤害1技能	1多重对甲2挖尘3技能4伤害5时间6等级7掉矿8易伤9a核
23	25623 23252	   	255.84	橙橙1易伤1等级1伤害1技能	1多重对甲2挖尘3技能4伤害5时间6等级7技能点8易伤9a核
