0	Index      	 *	Score 	Summary	Detail	
1	31536 15312	 * 	213.02	紫3伤害2基地爆炸2易伤1攻速	1额外掉落258低血量敌人3核45a伤害58序列升级68基地爆炸78易伤9攻速
2	31536 15311	   	211.02	紫2伤害2基地爆炸2易伤1攻速1暴击	1额外掉落258低血量敌人3核45伤害58序列升级68基地爆炸78易伤9攻速a暴击
3	31533 23323	 * 	210.82	紫2伤害2基地爆炸1基础对冰1攻速1全技能	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a全技能
4	31533 34153	 * 	204.19	紫1基础对甲2伤害1基地爆炸1暴击	1额外掉落29低血量敌人3核49伤害5基地爆炸6暴击7挖青89火球减费9序列升级a基础对甲
5	31533 23326	   	204.11	紫2伤害2基地爆炸1基础对冰1攻速1易伤	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a易伤
6	31533 35153	 * 	201.54	紫1基础对甲2基地爆炸1伤害1暴击	1额外掉落29低血量敌人3核4伤害59基地爆炸6暴击7时间89火球减费9序列升级a基础对甲
7	31536 11223	 * 	199.10	紫3伤害2基地爆炸2全技能	1额外掉落258低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿9a全技能
8	31536 11221	 * 	198.01	紫3伤害3基地爆炸1全技能	1额外掉落258a低血量敌人3核458伤害58a序列升级68a基地爆炸7双倍矿9全技能
9	31536 15313	   	197.27	紫2伤害2基地爆炸2易伤1攻速	1额外掉落258低血量敌人3核45伤害58序列升级68基地爆炸78易伤9攻速a狙击对毒
10	31533 23321	   	197.17	紫2伤害2基地爆炸1基础对冰1攻速	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a最后敌人
11	31533 23322	   	197.17	紫2伤害2基地爆炸1基础对冰1攻速	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a平台
12	31533 23325	   	197.17	紫2伤害2基地爆炸1基础对冰1攻速	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a随机矿
13	31533 23324	   	197.07	紫2伤害2基地爆炸1基础对冰1攻速	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a防空对直升
14	31531 23361	 * 	195.98	紫2攻速1基础对冰1伤害1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5敌人爆炸6a攻速7基础对冰8基地爆炸9暴击
15	31531 23641	   	195.98	紫2攻速1基础对冰1伤害1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5敌人爆炸6a攻速7基础对冰8暴击9基地爆炸
16	31533 23631	   	195.98	紫2攻速1基础对冰1伤害1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5基地爆炸6a攻速7基础对冰8暴击9最后敌人
17	31533 23641	   	195.98	紫2攻速1基础对冰1伤害1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5基地爆炸6a攻速7基础对冰8暴击9敌人爆炸
18	31535 23371	   	195.88	紫2攻速1基础对冰1伤害1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5加一6a攻速7基础对冰8基地爆炸9暴击
19	31536 11224	   	193.58	紫3伤害2基地爆炸1全技能1易伤	1额外掉落258低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿9全技能a易伤
20	31531 23352	   	193.23	紫2基地爆炸1基础对冰1伤害1攻速1全技能	1额外掉落2低血量敌人3核4伤害5敌人爆炸6攻速7基础对冰89基地爆炸a全技能
21	31533 23343	   	193.23	紫2基地爆炸1基础对冰1伤害1攻速1全技能	1额外掉落29低血量敌人3核4伤害58基地爆炸6攻速7基础对冰a全技能
22	31533 23353	   	193.23	紫2基地爆炸1基础对冰1伤害1攻速1全技能	19额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰a全技能
23	31533 23363	   	193.23	紫2基地爆炸1基础对冰1伤害1攻速1全技能	1额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰9立即金币a全技能
24	31533 23333	   	193.13	紫2基地爆炸1基础对冰1伤害1攻速1全技能	1额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰9磁铁减费a全技能
25	31535 23362	   	193.13	紫2基地爆炸1基础对冰1伤害1攻速1全技能	1额外掉落2低血量敌人3核4伤害5加一6攻速7基础对冰89基地爆炸a全技能
26	31536 11236	   	193.06	紫3伤害2基地爆炸1攻速	1额外掉落2589低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿a攻速
27	31542 31332	 * 	192.92	紫1基础对甲2易伤1伤害1暴击	1额外掉落2低血量敌人3核45易伤6双倍秒伤7暴击8时间9基础对甲a伤害
28	31542 32232	   	192.82	紫1基础对甲2易伤1伤害1暴击	1额外掉落2低血量敌人3核45易伤6双倍秒伤7挖青8暴击9基础对甲a伤害
29	35542 32232	   	192.82	紫1基础对甲2易伤1伤害1暴击	1额外掉落2挖尘3核45易伤6双倍秒伤7低血量敌人8暴击9基础对甲a伤害
30	35542 31332	   	192.82	紫1基础对甲2易伤1伤害1暴击	1额外掉落2挖尘3核45易伤6双倍秒伤7暴击8时间9基础对甲a伤害
31	31533 23312	 * 	190.84	紫3基地爆炸1基础对冰1伤害1攻速	1额外掉落2a低血量敌人3核4伤害58a基地爆炸6攻速7基础对冰9a掉矿a序列升级
32	31536 61321	   	190.74	紫1基础对甲2伤害1全技能	1额外掉落257低血量敌人3核45伤害5序列升级6随机矿8最后敌人9全技能a基础对甲
33	31533 23314	   	190.74	紫3基地爆炸1基础对冰1伤害1攻速	1额外掉落2低血量敌人3核4伤害58a基地爆炸6攻速7基础对冰9掉矿
34	31536 14313	   	190.73	紫2伤害1基础对冰1攻速1基地爆炸1技能	1额外掉落25低血量敌人3核45伤害5序列升级6基地爆炸7技能8金币生成9攻速a基础对冰
35	31535 23416	 * 	188.74	紫2伤害2易伤1基础对冰1攻速	1额外掉落2a低血量敌人3核4a伤害5加一6攻速7基础对冰8a易伤9平台a序列升级
36	31523 11614	 * 	186.71	紫1基础对甲1攻速1全技能1基地爆炸	1额外掉落24低血量敌人3核5矿等6基地爆炸7全技能8双倍矿9攻速a基础对甲
37	31531 23365	   	186.70	紫1基础对冰1伤害1攻速1基地爆炸1暴击1技能	1额外掉落2低血量敌人3核4伤害5敌人爆炸6攻速7基础对冰8基地爆炸9暴击a技能
38	31533 23635	   	186.70	紫1基础对冰1伤害1攻速1基地爆炸1暴击1技能	1额外掉落2低血量敌人3核4伤害5基地爆炸6攻速7基础对冰8暴击9最后敌人a技能
39	31536 11222	   	186.64	紫3伤害2基地爆炸1全技能	1额外掉落258低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿9全技能a敌人爆炸
40	31513 51633	   	186.61	紫1基础对甲1攻速1全技能1暴击	1额外掉落2低血量敌人3核4时间5矿等6攻速7掉矿8全技能9基础对甲a暴击
41	31523 11514	   	186.61	紫1基础对甲1攻速1全技能1基地爆炸	1额外掉落24低血量敌人3核5矿等6基地爆炸7全技能8火球减费9攻速a基础对甲
42	31536 11225	   	186.54	紫3伤害2基地爆炸1全技能	1额外掉落258低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿9全技能a掉矿
43	31536 11226	   	186.54	紫3伤害2基地爆炸1全技能	1额外掉落258低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿9全技能a磁铁减费
44	31536 11263	   	186.54	紫3伤害2基地爆炸1全技能	1额外掉落258低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿9双倍物品a全技能
45	31536 11521	   	186.54	紫3伤害2基地爆炸1全技能	1额外掉落25a低血量敌人3核45a伤害5a序列升级6a基地爆炸7双倍矿8双倍秒伤9全技能
46	31531 23356	   	186.52	紫2基地爆炸1基础对冰1伤害1攻速1易伤	1额外掉落2低血量敌人3核4伤害5敌人爆炸6攻速7基础对冰89基地爆炸a易伤
47	31533 23346	   	186.52	紫2基地爆炸1基础对冰1伤害1攻速1易伤	1额外掉落29低血量敌人3核4伤害58基地爆炸6攻速7基础对冰a易伤
48	31533 23356	   	186.52	紫2基地爆炸1基础对冰1伤害1攻速1易伤	19额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰a易伤
49	31533 23366	   	186.52	紫2基地爆炸1基础对冰1伤害1攻速1易伤	1额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰9立即金币a易伤
50	31533 36413	   	186.51	紫1基础对甲1伤害1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5基地爆炸6暴击7等级8技能点9敌人爆炸a基础对甲
51	31533 36433	   	186.51	紫1基础对甲1伤害1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5基地爆炸6暴击7等级8技能点9时间a基础对甲
52	31533 36523	   	186.51	紫1基础对甲1伤害1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5基地爆炸6暴击7等级8挖尘9金币生成a基础对甲
53	31511 51633	   	186.51	紫1基础对甲1攻速1全技能1暴击	1额外掉落2低血量敌人3核4时间5等级6攻速7掉矿8全技能9基础对甲a暴击
54	31542 31333	   	186.51	紫1基础对甲2易伤1基地爆炸1暴击	1额外掉落2低血量敌人3核45易伤6双倍秒伤7暴击8时间9基础对甲a基地爆炸
55	34221 33442	 * 	186.48	紫2基础对甲2攻速	1额外掉落2a雷电3最后敌人4核56磁铁减费7a基础对甲8双倍物品9a攻速a序列升级
56	31533 23315	   	186.42	紫2基地爆炸1基础对冰1伤害1攻速1易伤	1额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰9掉矿a易伤
57	31533 23336	   	186.42	紫2基地爆炸1基础对冰1伤害1攻速1易伤	1额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰9磁铁减费a易伤
58	31542 32233	   	186.41	紫1基础对甲2易伤1基地爆炸1暴击	1额外掉落2低血量敌人3核45易伤6双倍秒伤7挖青8暴击9基础对甲a基地爆炸
59	35542 32233	   	186.41	紫1基础对甲2易伤1基地爆炸1暴击	1额外掉落2挖尘3核45易伤6双倍秒伤7低血量敌人8暴击9基础对甲a基地爆炸
60	35542 31333	   	186.41	紫1基础对甲2易伤1基地爆炸1暴击	1额外掉落2挖尘3核45易伤6双倍秒伤7暴击8时间9基础对甲a基地爆炸
61	31542 16312	 * 	186.37	紫2伤害2攻速2易伤	1额外掉落28低血量敌人3核45易伤68最后敌人78攻速8序列升级9a伤害
62	36532 26312	   	186.37	紫2伤害2攻速2易伤	1额外掉落28敌人爆炸3核4最后敌人58易伤6立即金币78攻速8序列升级9a伤害
63	31536 14112	   	186.33	紫3伤害1攻速1基地爆炸1技能	1额外掉落25低血量敌人3核45a伤害5序列升级6基地爆炸7技能8随机矿9攻速
64	31536 14312	   	186.33	紫3伤害1攻速1基地爆炸1技能	1额外掉落25低血量敌人3核45a伤害5序列升级6基地爆炸7技能8金币生成9攻速
65	12156 23362	   	186.10	紫1基础对甲2基地爆炸1伤害1技能	1最后敌人2双倍秒伤38基地爆炸47雷电5核6伤害9技能a基础对甲
66	31536 15331	   	185.61	紫2伤害2基地爆炸2易伤1技能	1额外掉落258低血量敌人3核45伤害58序列升级68基地爆炸78易伤9最后敌人a技能
67	31553 52331	   	185.61	紫2伤害2基地爆炸1攻速1技能	1额外掉落29低血量敌人3核4矿等59基地爆炸6攻速7最后敌人89伤害9序列升级a技能
68	31553 63331	   	185.61	紫2伤害2基地爆炸1攻速1技能	1额外掉落29低血量敌人3核4矿等59基地爆炸6最后敌人7攻速89伤害9序列升级a技能
69	31514 13161	 * 	185.51	紫1基础对甲2全技能1攻速	1额外掉落2低血量敌人3核4时间59全技能6策反7攻速8立即金币a基础对甲
70	31533 31622	 * 	185.51	紫2伤害2基地爆炸2暴击1技能	1额外掉落2a低血量敌人3核48伤害5a基地爆炸6a暴击7技能9立即金币a序列升级
71	31534 13233	   	185.51	紫2伤害2基地爆炸1基础对冰1技能	1额外掉落29低血量敌人3核49伤害5掉矿6最后敌人79基地爆炸8技能9序列升级a基础对冰
72	31534 13236	   	185.51	紫2伤害2基地爆炸1攻速1技能	1额外掉落29低血量敌人3核49伤害5掉矿6最后敌人79基地爆炸8技能9序列升级a攻速
73	31533 22212	   	185.41	紫2伤害2基地爆炸1攻速1技能	1额外掉落2低血量敌人3核4a伤害59基地爆炸6攻速7最后敌人8技能
74	31533 22216	 * 	185.41	紫2攻速2基地爆炸1伤害1技能	1额外掉落2低血量敌人3核4伤害59基地爆炸6a攻速7最后敌人8技能
75	31536 15231	   	184.96	紫3伤害1攻速1基地爆炸1易伤	1额外掉落259低血量敌人3核459伤害59序列升级6基地爆炸7易伤89挖尘a攻速
76	31536 13531	   	184.96	紫3伤害1攻速1基地爆炸1易伤	1额外掉落25低血量敌人3核458伤害5序列升级6基地爆炸7时间9易伤a攻速
77	31545 32233	 * 	184.53	紫3基地爆炸2易伤1伤害1暴击	1额外掉落29低血量敌人3核49易伤5敌人爆炸6伤害789基地爆炸9序列升级a暴击
78	31562 36312	   	184.43	紫3伤害2易伤1攻速	1额外掉落28低血量敌人3核4敌人爆炸58易伤68a伤害7双倍矿8序列升级9攻速
79	36522 36312	   	184.43	紫3伤害2易伤1攻速	1额外掉落28敌人爆炸3核4低血量敌人58易伤68a伤害7双倍矿8序列升级9攻速
80	36532 36312	   	184.43	紫3伤害2易伤1攻速	1额外掉落28敌人爆炸3核4最后敌人58易伤68a伤害7双倍矿8序列升级9攻速
