0	Index      	 *	Score 	Summary	Detail	
1	36351 31421	 * 	271.82	紫橙2易伤3矿等1平台1卖塔	1卖塔29a矿等39金币生成4赏金邻近58核6平台79易伤9序列升级
2	36351 31422	 * 	271.40	紫橙2易伤2矿等1攻速1平台1卖塔	1卖塔29矿等39金币生成4赏金邻近58核6平台79易伤9序列升级a攻速
3	13362 36513	 * 	270.73	橙橙1易伤1矿等1暴击1攻速	1低血量敌人2攻速3矿等4激光对愈5等级6暴击7a核8时间9易伤
4	13362 36413	   	262.33	橙橙1易伤1矿等1暴击1攻速	1低血量敌人2攻速3矿等4激光对愈5等级6暴击7a核8挖尘9易伤
5	11611 12124	 * 	258.65	橙橙2易伤2时间	1低血量敌人2赏金邻近3立即金币47时间5电塔对黄69核8a易伤
6	14611 12124	   	258.65	橙橙2易伤2时间	1低血量敌人2赏金塔3立即金币47时间5电塔对黄69核8a易伤
7	21611 12124	   	258.65	橙橙2易伤2时间	1最后敌人2赏金邻近3立即金币47时间5电塔对黄69核8a易伤
8	24611 12124	   	258.65	橙橙2易伤2时间	1最后敌人2赏金塔3立即金币47时间5电塔对黄69核8a易伤
9	61611 12124	   	258.55	橙橙2易伤2时间	1挖尘2赏金邻近3立即金币47时间5电塔对黄69核8a易伤
10	36351 31423	 * 	257.75	紫橙2易伤2矿等1平台1卖塔	1卖塔29矿等39金币生成4赏金邻近58核6平台79易伤9序列升级a雷电
11	16521 62313	   	257.20	橙橙2易伤1暴击1策反	1低血量敌人2机枪对壮3策反49易伤56基地爆炸7a核8暴击
12	16522 62313	   	257.20	橙橙2易伤1暴击1策反	1低血量敌人2机枪对壮3策反49易伤56敌人爆炸7a核8暴击
13	26521 62313	   	257.20	橙橙2易伤1暴击1策反	1最后敌人2机枪对壮3策反49易伤56基地爆炸7a核8暴击
14	26522 62313	   	257.20	橙橙2易伤1暴击1策反	1最后敌人2机枪对壮3策反49易伤56敌人爆炸7a核8暴击
15	12262 36513	   	257.08	橙橙1易伤1矿等1暴击	1低血量敌人2矿等3技能4激光对愈5等级6暴击7a核8时间9易伤
16	31143 53413	 * 	256.75	紫橙3易伤1伤害1卖塔	1卖塔2寒冰对黄3双倍矿4a核579易伤6伤害8双倍秒伤
17	31334 42213	 * 	256.75	紫橙3易伤1伤害1卖塔	1卖塔2寒冰对黄3双倍秒伤4a核569易伤7立即金币8伤害
18	33343 53413	 * 	256.65	紫橙3易伤1伤害1卖塔	1卖塔2激光减费3加农对甲4a核579易伤6伤害8双倍秒伤
19	12561 24123	   	248.78	橙橙1易伤1矿等1攻速	1低血量敌人2矿等3赏金塔4立即金币5导弹对毒6易伤79核8金币生成a攻速
20	12661 24123	   	248.78	橙橙1易伤1矿等1攻速	1低血量敌人2矿等3赏金邻近4立即金币5导弹对毒6易伤79核8金币生成a攻速
21	22561 24123	   	248.78	橙橙1易伤1矿等1攻速	1最后敌人2矿等3赏金塔4立即金币5导弹对毒6易伤79核8金币生成a攻速
22	22661 24123	   	248.78	橙橙1易伤1矿等1攻速	1最后敌人2矿等3赏金邻近4立即金币5导弹对毒6易伤79核8金币生成a攻速
23	12262 36413	   	248.68	橙橙1易伤1矿等1暴击	1低血量敌人2矿等3技能4激光对愈5等级6暴击7a核8挖尘9易伤
24	31212 16333	 * 	245.73	紫橙2易伤1矿等1攻速1卖塔	1卖塔2寒冰对黄3技能点47易伤5a核6低血量敌人8攻速9矿等
25	11161 24124	   	243.80	橙橙2易伤	1低血量敌人2赏金邻近3等级4立即金币5导弹对毒6a易伤79核8金币生成
26	21161 24124	   	243.80	橙橙2易伤	1最后敌人2赏金邻近3等级4立即金币5导弹对毒6a易伤79核8金币生成
27	11441 13124	   	243.80	橙橙2易伤	147低血量敌人2赏金邻近3敌人爆炸5电塔对黄69核8a易伤
28	11631 13124	   	243.80	橙橙2易伤	17低血量敌人2赏金邻近3立即金币4基地爆炸5电塔对黄69核8a易伤
29	14631 13124	   	243.80	橙橙2易伤	17低血量敌人2赏金塔3立即金币4基地爆炸5电塔对黄69核8a易伤
30	11621 24124	   	243.70	橙橙2易伤	1低血量敌人2赏金邻近3立即金币4掉矿5导弹对毒6a易伤79核8金币生成
31	16363 13124	   	243.70	橙橙2易伤	17低血量敌人2机枪对壮3赏金塔4技能点5金币生成69核8a易伤
32	21621 24124	   	243.70	橙橙2易伤	1最后敌人2赏金邻近3立即金币4掉矿5导弹对毒6a易伤79核8金币生成
33	31332 26212	 * 	243.44	紫橙2矿等1易伤1暴击1卖塔	1卖塔2寒冰对黄3双倍秒伤47核59矿等6暴击8时间a易伤
34	11613 41324	   	243.33	橙橙1易伤1矿等	1低血量敌人2赏金邻近3立即金币4时间5矿等69核7掉矿8防空对甲a易伤
35	31143 53113	 * 	242.92	紫橙2易伤1伤害1卖塔	1卖塔2寒冰对黄3双倍矿4a核57易伤6伤害8挖尘9时间
36	31212 34513	 * 	242.92	紫橙2易伤1伤害1卖塔	1卖塔2寒冰对黄3技能点49易伤5a核6等级7伤害8时间
37	31412 34513	 * 	242.92	紫橙2易伤1伤害1卖塔	1卖塔2寒冰对黄3掉矿49易伤5a核6等级7伤害8时间
38	33343 53113	 * 	242.82	紫橙2易伤1伤害1卖塔	1卖塔2激光减费3加农对甲4a核57易伤6伤害8挖尘9时间
39	32351 31421	 * 	241.94	紫橙2易伤1矿等1平台1卖塔	1卖塔29技能点39金币生成4赏金邻近58核6平台79易伤9序列升级a矿等
40	36351 31431	 * 	241.84	紫橙2易伤1矿等1平台1卖塔	1卖塔2矿等3金币生成4赏金邻近58核6平台7a易伤9掉矿
