0	Index      	 *	Score 	Summary	Detail	
1	13124 12641	 * 	289.05	橙橙3易伤1攻速1全技能	1掉矿2全技能3攻速4基础对愈589易伤6a核7技能点
2	23245 42211	   	279.50	橙橙2易伤1暴击1攻速	1最后敌人2时间3暴击4赏金邻近5攻速6低血量敌人79易伤8a核
3	32245 22211	   	279.50	橙橙2易伤1暴击1攻速	1时间2低血量敌人3暴击4赏金邻近5攻速6最后敌人79易伤8a核
4	43133 63214	 * 	273.32	橙橙2矿等2攻速2暴击	1随机矿2a暴击3敌人爆炸4a矿等5时间6雷电78核9a攻速a序列升级
5	21462 16211	 * 	272.02	橙橙2易伤1伤害1卖塔	1最后敌人2赏金塔3伤害49易伤5低血量敌人6时间7卖塔8a核
6	23532 16211	 * 	272.02	橙橙2易伤1伤害1卖塔	1最后敌人2时间39易伤4卖塔5伤害6低血量敌人7赏金邻近8a核
7	23532 46211	 * 	271.92	橙橙2易伤1伤害1卖塔	1最后敌人2时间39易伤4卖塔5伤害6挖青7赏金邻近8a核
8	32532 46211	 * 	271.92	橙橙2易伤1伤害1卖塔	1时间2低血量敌人39易伤4卖塔5伤害6挖青7赏金邻近8a核
9	62245 22211	   	271.20	橙橙2易伤1暴击1攻速	1基地爆炸2低血量敌人3暴击4赏金邻近5攻速6最后敌人79易伤8a核
10	22245 12211	   	271.10	橙橙2易伤1暴击1攻速	1最后敌人2低血量敌人3暴击4赏金邻近5攻速6挖尘79易伤8a核
11	13124 12541	   	266.91	橙橙2易伤1攻速1全技能	1掉矿2全技能3攻速4基础对愈59易伤6a核7技能点8双倍矿
12	13124 12631	   	266.91	橙橙2易伤1攻速1全技能	1掉矿2全技能3攻速4基础对愈58易伤6a核7技能点9立即金币
13	13124 13141	   	266.91	橙橙2易伤1攻速1全技能	1掉矿2全技能3攻速4基础对愈59易伤6a核7激光减费8等级
14	13124 12611	   	266.81	橙橙2易伤1攻速1全技能	1掉矿2全技能3攻速4基础对愈58易伤6a核79技能点
15	13124 12661	   	266.81	橙橙2易伤1攻速1全技能	19掉矿2全技能3攻速4基础对愈58易伤6a核7技能点
16	43131 62214	   	265.01	橙橙2矿等2攻速2暴击	1随机矿2a暴击3敌人爆炸4a矿等5最后敌人6雷电78核9a攻速a序列升级
17	43116 31361	 * 	264.71	橙橙1易伤1伤害1暴击1攻速1策反	1随机矿2暴击3敌人爆炸4散射对绿5易伤69核7攻速8策反a伤害
18	23245 42221	   	259.85	橙橙1易伤2时间1暴击1攻速	1最后敌人29时间3暴击4赏金邻近5攻速6低血量敌人7易伤8a核
19	32245 22221	   	259.85	橙橙1易伤2时间1暴击1攻速	19时间2低血量敌人3暴击4赏金邻近5攻速6最后敌人7易伤8a核
