0	Index      	 *	Score 	Summary	Detail	
1	22421 22616	 * 	279.86	橙橙2伤害1易伤2时间1平台	1技能2赏金塔35伤害45时间5序列升级6加一7a核8易伤9平台
2	31532 56123	   	279.03	橙橙1易伤1伤害1暴击1全技能1平台	1雷电2敌人爆炸3易伤4暴击5平台6伤害7全技能89核a时间
3	23215 32154	 * 	274.68	橙3易伤2伤害2矿等3暴击	1技能234暴击5a矿等6a伤害78a易伤9核a序列升级
4	33313 62512	 * 	272.12	橙橙2易伤1伤害1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8时间a伤害
5	11222 62311	 * 	271.97	橙橙1易伤2攻速1伤害	18攻速2双倍秒伤3时间4赏金塔5机枪对壮6a核7伤害9易伤
6	31532 56121	   	270.73	橙橙1易伤1伤害1暴击1全技能1平台	1雷电2敌人爆炸3易伤4暴击5平台6伤害7全技能89核a低血量敌人
7	31532 56122	   	270.63	橙橙1易伤1伤害1暴击1全技能1平台	1雷电2敌人爆炸3易伤4暴击5平台6伤害7全技能89核a挖尘
8	33313 62516	 * 	269.59	橙橙2易伤1矿等1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8时间a矿等
9	12262 14111	   	263.76	橙橙1易伤2攻速1伤害	15攻速2寒冰对甲3赏金塔4双倍秒伤6伤害7a核8最后敌人9易伤
10	11442 62311	   	263.66	橙橙1易伤2攻速1伤害	18攻速2双倍秒伤3赏金邻近4最后敌人5机枪对壮6a核7伤害9易伤
11	11522 62311	   	263.66	橙橙1易伤2攻速1伤害	18攻速2双倍秒伤3最后敌人4赏金塔5机枪对壮6a核7伤害9易伤
12	33313 62514	 * 	261.72	橙橙2易伤1全技能1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8时间a全技能
13	33313 62216	 * 	261.28	橙橙2易伤1矿等1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8低血量敌人a矿等
14	33313 62616	 * 	261.18	橙橙2易伤1矿等1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8挖尘a矿等
15	23222 51154	 * 	260.90	橙4易伤2伤害3暴击	1技能237暴击4a伤害57a等级678a易伤7a序列升级9核
16	23226 11154	   	260.60	橙4易伤2伤害3暴击	1技能237暴击4a伤害578a易伤67a技能点7a序列升级9核
17	12253 14111	   	259.61	橙橙1易伤1伤害1攻速	1攻速2寒冰对甲3赏金塔4挖尘5时间6伤害7a核8最后敌人9易伤
18	12253 14211	   	259.61	橙橙1易伤1伤害1攻速	1攻速2寒冰对甲3赏金塔4挖尘5时间6伤害7a核8敌人爆炸9易伤
19	11222 62161	   	259.51	橙橙1易伤1伤害1攻速	1攻速2双倍秒伤3时间4赏金塔5机枪对壮6a核7伤害8易伤9双倍矿
20	11222 62211	   	259.51	橙橙1易伤1伤害1攻速	1攻速2双倍秒伤3时间4赏金塔5机枪对壮6a核7伤害8立即金币9易伤
21	15141 82236	 * 	258.82	橙橙2伤害2攻速1平台	19攻速2立即金币3加一49伤害579掉矿6a核8平台9序列升级
22	33313 62511	 * 	258.61	橙橙2易伤2时间1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8a时间
23	43131 18128	   	258.19	橙橙1易伤1矿等1攻速1全技能1策反	1基地爆炸2策反3加一4赏金塔5攻速6矿等7a核8全技能9易伤
