0	Index      	 *	Score 	Summary	Detail	
1	15231 13225	 * 	299.46	橙橙2易伤1伤害1矿等	16易伤2时间3赏金邻近4最后敌人5伤害79核8全技能a矿等
2	15231 13223	   	295.58	橙橙2易伤1伤害1暴击	16易伤2时间3赏金邻近4最后敌人5伤害79核8全技能a暴击
3	12226 33443	 * 	293.44	橙橙3易伤1暴击1攻速	14a易伤246基地爆炸3赏金邻近4序列升级5暴击79核8攻速
4	14223 23443	   	293.14	橙橙3易伤1暴击1攻速	14a易伤245挖尘3赏金邻近4序列升级6暴击79核8攻速
5	15231 13222	   	281.93	橙橙2易伤1伤害	16易伤2时间3赏金邻近4最后敌人5伤害79核8全技能a赏金塔
6	15231 13221	   	281.83	橙橙2易伤1伤害1挖怪	16易伤2时间3赏金邻近4最后敌人5伤害79核8全技能a挖怪
7	15231 13224	   	281.83	橙橙2易伤1伤害	16易伤2时间3赏金邻近4最后敌人5伤害79核8全技能a掉矿
8	15231 13226	   	281.83	橙橙2易伤1伤害	16易伤2时间3赏金邻近4最后敌人5伤害79核8全技能a挖尘
9	14221 23121	   	279.49	橙橙3易伤1攻速	149易伤248挖尘3赏金邻近4序列升级5敌人爆炸6攻速7a核
10	14223 33521	   	279.49	橙橙3易伤1攻速	149易伤245挖尘3赏金邻近4序列升级6低血量敌人7攻速8a核
11	14223 43521	   	279.49	橙橙3易伤1攻速	149易伤245挖尘3赏金邻近4序列升级6基地爆炸7攻速8a核
12	14223 53521	   	279.49	橙橙3易伤1攻速	149易伤245挖尘3赏金邻近4序列升级6敌人爆炸7攻速8a核
13	15232 13225	   	279.15	橙橙2易伤1矿等1策反	16易伤2时间3赏金邻近4最后敌人5策反79核8全技能a矿等
14	15232 13223	   	275.27	橙橙2易伤1暴击1策反	16易伤2时间3赏金邻近4最后敌人5策反79核8全技能a暴击
15	15231 33225	   	273.26	橙橙1易伤1伤害1矿等	1易伤2时间3赏金邻近46最后敌人5伤害79核8全技能a矿等
16	12211 33521	   	272.27	橙橙2易伤1伤害	19易伤2基地爆炸3赏金邻近4时间5伤害6最后敌人7a核8赏金塔
17	15313 53521	   	272.27	橙橙2易伤1伤害	19易伤2时间3敌人爆炸4最后敌人5伤害6赏金塔7a核8赏金邻近
18	14211 33521	   	272.17	橙橙2易伤1伤害	19易伤2挖尘3赏金邻近4时间5伤害6最后敌人7a核8赏金塔
19	15241 33521	   	272.17	橙橙2易伤1伤害	19易伤2时间3赏金邻近4挖尘5伤害6最后敌人7a核8赏金塔
20	14211 13141	   	271.97	橙橙2易伤1伤害	16易伤289挖尘3赏金邻近4时间5伤害7a核
21	15241 13141	   	271.97	橙橙2易伤1伤害	16易伤2时间3赏金邻近489挖尘5伤害7a核
22	12226 33441	   	271.30	橙橙2易伤1暴击1攻速	14易伤246基地爆炸3赏金邻近4序列升级5暴击79核8攻速a最后敌人
23	12226 33442	   	271.20	橙橙2易伤1暴击1攻速	14易伤246基地爆炸3赏金邻近4序列升级5暴击79核8攻速a掉矿
24	14223 23441	   	271.00	橙橙2易伤1暴击1攻速	14易伤245挖尘3赏金邻近4序列升级6暴击79核8攻速a最后敌人
25	14223 23442	   	270.90	橙橙2易伤1暴击1攻速	14易伤245挖尘3赏金邻近4序列升级6暴击79核8攻速a掉矿
26	12223 23331	 * 	270.00	橙橙2易伤2攻速	14易伤249基地爆炸3赏金邻近4序列升级5挖尘68攻速7a核
27	14221 23341	   	269.80	橙橙2易伤2攻速	14易伤249挖尘3赏金邻近4序列升级5敌人爆炸68攻速7a核
