0	Index      	 *	Score 	Summary	Detail	
1	11532 13434	 * 	388.64	ACR|3VULN|1MDPS|1CDMG|1TLV|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7BEXP|9TLV|aMDPS
2	11125 62424	 * 	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2DUR|3DUST|4CDMG|5RAT|6MBVNT|7LWND|8RCR|9aMDPS
3	11125 63424	   	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2DUR|3DUST|4CDMG|5RAT|6MBVNT|7FEWX|8RCR|9aMDPS
4	11125 64424	   	385.31	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2DUR|3DUST|4CDMG|5RAT|6MBVNT|7LEGI|8RCR|9aMDPS
5	11123 26146	 * 	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	15VULN|2DUR|37DUST|45CDMG|5BPWR|6RMIN|8ASPD|9RCR|aMDPS
6	15362 11315	 * 	368.89	DCR|2VULN|1MDPS|2DMG|1DUR	18VULN|24DMG|3DUR|5RAT|6BEXP|7FRZICY|9RCR|aMDPS
7	15321 52143	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	19VULN|28DMG|3DUR|4AEFRZ|5BEXP|6RCR|7ERES|aMDPS
8	11532 11334	   	362.53	ACR|3VULN|1MDPS|1CDMG|1DUR	159VULN|2DUR|39FRZICY|4RCR|6CDMG|7ASPD|89BEXP|9BPWR|aMDPS
9	11532 14324	   	362.43	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7AAC|9FEWX|aMDPS
10	11532 11534	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	159VULN|2DUR|39FRZICY|4RCR|6CDMG|7ASPD|89DUST|9BPWR|aMDPS
11	11532 14331	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7AAC|9MDPS|aRMIN
12	11532 14332	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7AAC|9MDPS|aBOSS
13	11532 14333	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7AAC|9MDPS|aZMB
14	11532 14334	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7AAC|9MDPS|aCGEN
15	11532 14335	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7AAC|9MDPS|aTBNT
16	11532 14336	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7AAC|9MDPS|aMLV
17	11532 16324	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7ERES|9FEWX|aMDPS
18	11532 15421	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	158VULN|2DUR|3FRZICY|4RCR|6CDMG|7DUST|9BBNT|aMDPS
19	11532 32155	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR|1MSE	158VULN|2DUR|3FRZICY|4RCR|6TLV|7RAT|9MSE|aMDPS
20	11532 35324	   	360.99	ACR|3VULN|1MDPS|1TLV|1DUR|1SELL	158VULN|2DUR|3FRZICY|4RCR|6TLV|7SELL|9FEWX|aMDPS
21	11313 22146	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	15VULN|2DUR|3CDMG|457LHND|5BPWR|6RMIN|8ASPD|9RCR|aMDPS
