0	Index      	 *	Score 	Summary	Detail	
1	41421 21336	 * 	397.20	DCR|2VULN|1MDPS|1CDMG|2DUR|1TLV	16VULN|2FEWX|34DUR|5CDMG|7RCR|8DUST|9TLV|aMDPS
2	42223 62211	 * 	394.69	4VULN|2MDPS|1DUR	1247VULN|2BPWR|35LWND|6DUR|89MDPS|aAEBURN
3	42223 62212	   	394.69	4VULN|2MDPS|1DUR	1247VULN|2BPWR|35LWND|6DUR|89MDPS|aRMIN
4	42223 62213	   	394.69	4VULN|2MDPS|1DUR	1247VULN|2BPWR|35LWND|6DUR|89MDPS|aVENTOX
5	42223 62214	 * 	394.69	4VULN|2MDPS|1CDMG|1DUR	1247VULN|2BPWR|35LWND|6DUR|89MDPS|aCDMG
6	42223 62215	   	394.69	4VULN|2MDPS|1DUR	1247VULN|2BPWR|35LWND|6DUR|89MDPS|aCGEN
7	42223 62216	   	394.69	4VULN|2MDPS|1DUR|1AART	1247VULN|2BPWR|35LWND|6DUR|89MDPS|aAART
8	42412 12261	   	388.18	2MDPS|3VULN|2DUR|1DMG	127VULN|2BPWR|3DMG|46DUR|5CGEN|8aMDPS|9TBNT
9	52221 21534	   	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CGEN|2DUR|3AAC|46VULN|5CDMG|7RCR|8LWND|9TLV|aMDPS
10	43421 21336	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	16VULN|2LWND|3DUR|4RCVC|5CDMG|7RCR|8DUST|9TLV|aMDPS
11	46121 61424	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	16VULN|2LHND|3LIT|4CDMG|5TLV|7MBVNT|8DUR|9RCR|aMDPS
12	52221 21334	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CGEN|2DUR|3AAC|46VULN|5CDMG|7RCR|8DUST|9TLV|aMDPS
13	52521 21314	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CGEN|2DUR|3TLV|46VULN|5CDMG|7RCR|8DUST|9ASPD|aMDPS
14	52521 21326	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CGEN|2DUR|3TLV|46VULN|5CDMG|7RCR|8DUST|9TBNT|aMDPS
15	55121 21336	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CGEN|26VULN|3DUR|4AME|5CDMG|7RCR|8DUST|9TLV|aMDPS
16	41421 21334	 * 	377.94	DCR|DCR|2VULN|1CDMG|2DUR|1TLV	16VULN|2FEWX|34DUR|5CDMG|7aRCR|8DUST|9TLV
17	42412 32261	   	375.63	2MDPS|3VULN|1DMG|1DUR	127VULN|2BPWR|3DMG|4DUR|5CGEN|6AEWIND|8aMDPS|9TBNT
18	42223 32246	 * 	375.03	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|35LWND|6RCR|7RMIN|8RCVC|9DUR|aMDPS
19	42223 33246	   	375.03	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|35LWND|6RCR|7CGEN|8RCVC|9DUR|aMDPS
20	42322 12631	   	375.03	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|379BEXP|5FEWX|6DUR|8RCR|aMDPS
21	42323 12631	   	375.03	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|379BEXP|5LWND|6DUR|8RCR|aMDPS
22	42326 12631	   	375.03	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|379BEXP|5LHND|6DUR|8RCR|aMDPS
23	42223 34141	   	374.93	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|35LWND|6RCR|7TSLFST|8DUR|9LHND|aMDPS
24	42322 12661	   	374.93	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|37BEXP|5FEWX|6DUR|8RCR|9FLTHEA|aMDPS
25	42323 12661	   	374.93	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|37BEXP|5LWND|6DUR|8RCR|9FLTHEA|aMDPS
26	42612 42222	   	374.93	DCR|3VULN|1MDPS|1DUR	129VULN|2BPWR|3AME|4DUR|5LHND|6RCR|7CGEN|8BELT|aMDPS
27	42223 31346	   	374.83	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|35LWND|6RCR|78ASPD|9DUR|aMDPS
28	42223 34131	   	374.83	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|35LWND|6RCR|7TSLFST|8DUR|9MDPS|aAAC
29	42223 34132	   	374.83	DCR|3VULN|1MDPS|1DUR	124VULN|2BPWR|35LWND|6RCR|7TSLFST|8DUR|9MDPS|aRCVC
