0	Index      	 *	Score 	Summary	Detail	
1	21837 25133	 * 	396.19	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1MBVNT|2DUR|3LIT|47DMG|59VULN|6RCR|8CDMG|aMDPS
2	12632 31146	 * 	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1FEWX|249VULN|3ZMB|5DMG|6DUR|7MULHEA|8RCR|aMDPS
3	33624 51213	   	388.68	DCR|3VULN|1MDPS|1DUR|1AART	145VULN|23ZMB|6AART|7BOSS|8RCR|9DUR|aMDPS
4	21134 81287	   	387.58	DCR|3VULN|1MDPS|2DUR	1MBVNT|29DUR|35AAC|479VULN|69LIT|8RCR|9BPWR|aMDPS
5	21272 48542	   	387.48	DCR|3VULN|1MDPS|2DUR	1MBVNT|28DUR|3AETHUN|48ZMB|568VULN|7RMIN|8BPWR|9RCR|aMDPS
6	21734 48542	   	387.48	DCR|3VULN|1MDPS|2DUR	1MBVNT|28DUR|38ZMB|468VULN|5AETHUN|7RMIN|8BPWR|9RCR|aMDPS
7	21837 21415	   	381.45	DCR|2VULN|1MDPS|2DMG|2DUR	1MBVNT|28DUR|3LIT|48DMG|58VULN|6RCR|7RCVC|8BPWR|9LWND|aMDPS
8	21837 21435	   	381.45	DCR|2VULN|1MDPS|2DMG|2DUR	1MBVNT|28DUR|3LIT|48DMG|58VULN|6RCR|7RCVC|8BPWR|9FEWX|aMDPS
9	21837 21445	   	381.35	DCR|2VULN|1MDPS|2DMG|2DUR|1MSE	1MBVNT|28DUR|3LIT|48DMG|58VULN|6RCR|7RCVC|8BPWR|9MSE|aMDPS
10	21837 21473	   	381.35	DCR|2VULN|1MDPS|2DMG|2DUR	1MBVNT|28DUR|3LIT|48DMG|58VULN|6RCR|7RCVC|8BPWR|9TBNT|aMDPS
11	21837 21133	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1MBVNT|2DUR|3LIT|4DMG|59VULN|6RCR|7RCVC|8CDMG|aMDPS
12	23628 37142	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1MBVNT|2ERES|3RMIN|4DMG|5TLV|6DUR|78VULN|9RCR|aMDPS
13	28621 17142	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1MBVNT|2TLV|3RMIN|4DMG|5DUR|6ERES|78VULN|9RCR|aMDPS
14	28822 37342	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1MBVNT|2TLV|3AEFRZ|49VULN|5DMG|6DUR|7RCR|8FEWX|aMDPS
15	13372 43142	   	374.93	DCR|3VULN|1MDPS|1DUR	1FEWX|2MBVNT|3DUR|4ZMB|568VULN|7CGEN|9RCR|aMDPS
16	13732 63142	   	374.93	DCR|3VULN|1MDPS|1DUR	1FEWX|2MBVNT|3ZMB|458VULN|6DUR|7CGEN|9RCR|aMDPS
17	13752 43142	   	374.93	DCR|3VULN|1MDPS|1DUR	1FEWX|2MBVNT|3ZMB|4DUR|568VULN|7CGEN|9RCR|aMDPS
18	21732 81215	   	374.93	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|457VULN|6LIT|8RCR|9LWND|aMDPS
19	21732 81235	   	374.93	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|457VULN|6LIT|8RCR|9FEWX|aMDPS
20	21735 43142	   	374.93	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|468VULN|5FEWX|7CGEN|9RCR|aMDPS
21	21742 43142	   	374.93	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|4FEWX|568VULN|7CGEN|9RCR|aMDPS
22	21672 44142	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3DUST|4ZMB|568VULN|7CGEN|9RCR|aMDPS
23	21732 12142	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|458VULN|6ERES|7FEWX|9RCR|aMDPS
