0	Index      	 *	Score 	Summary	Detail	
1	33161 63215	 * 	402.33	DCR|3VULN|1MDPS|1CDMG|1DUR	1ERES|2RCVC|3DUR|457VULN|6LIT|8RCR|9CDMG|aMDPS
2	11312 54311	 * 	401.74	DCR|2VULN|1MDPS|2TLV|1CDMG|1DUR	1CDMG|2DUR|3LIT|49VULN|58TLV|6RCR|7RMIN|aMDPS
3	11312 54611	 * 	397.30	DCR|2VULN|1MDPS|2CDMG|1TLV|1DUR	18CDMG|2DUR|3LIT|49VULN|5TLV|6RCR|7RMIN|aMDPS
4	12514 43311	   	392.36	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1CDMG|2AART|36VULN|4DUR|5DMG|7RCVC|8RCR|9RAT|aMDPS
5	12516 33311	   	392.36	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1CDMG|2AART|35VULN|4DUR|6DMG|7RCVC|8RCR|9RAT|aMDPS
6	12546 33311	   	392.36	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1CDMG|2AART|34VULN|5DUR|6DMG|7RCVC|8RCR|9RAT|aMDPS
7	12516 33343	   	392.26	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1CDMG|2AART|35VULN|4DUR|6DMG|7RCVC|8RCR|9AEPOI|aMDPS
8	12516 33352	   	392.26	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1CDMG|2AART|35VULN|4DUR|6DMG|7RCVC|8RCR|9TBNT|aMDPS
9	12516 34311	   	392.26	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1CDMG|2AART|35VULN|4DUR|6DMG|7AEFRZ|8RCR|9RAT|aMDPS
10	11312 54511	   	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|2DUR|38LIT|49VULN|5TLV|6RCR|7RMIN|aMDPS
11	53112 63215	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2RCVC|3DUR|4AEFBLL|57VULN|6LIT|8RCR|9CDMG|aMDPS
12	52166 11111	 * 	378.15	ACR|ACR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|27AAC|3DMG|45RCR|6DUR|89VULN|aMDPS
13	12516 36113	 * 	372.89	2MDPS|2VULN|1CDMG|1DMG|1DUR|1AART	1CDMG|2AART|35VULN|4DUR|6DMG|7aMDPS|8LWND|9ZMB
14	12516 36213	   	372.89	2MDPS|2VULN|1CDMG|1DMG|1DUR|1AART	1CDMG|2AART|35VULN|4DUR|6DMG|7aMDPS|8LHND|9ZMB
