0	Index      	 *	Score 	Summary	Detail	
1	12651 41131	 * 	419.93	ACR|5VULN|1MDPS|2DUR	12468VULN|37DUR|5RCR|9ASPD|aMDPS
2	12651 32341	 * 	415.57	ACR|4VULN|2MDPS	1249VULN|3DUR|5RCR|6ZMB|7CGEN|8aMDPS
3	12651 36311	   	415.57	ACR|2MDPS|3VULN	124VULN|3DUR|5RCR|6ZMB|7RMIN|8aMDPS|9RCVC
4	12211 52611	 * 	411.78	DCR|2MDPS|2VULN	12VULN|3LWND|4MLV|5DUR|6RCR|7FEWX|89MDPS|aRMIN
5	12211 52612	   	411.78	DCR|2MDPS|2VULN	12VULN|3LWND|4MLV|5DUR|6RCR|7FEWX|89MDPS|aRAT
6	12211 52613	   	411.78	DCR|2MDPS|2VULN	12VULN|3LWND|4MLV|5DUR|6RCR|7FEWX|89MDPS|aERES
7	12211 52615	   	411.78	DCR|2MDPS|2VULN	12VULN|3LWND|4MLV|5DUR|6RCR|7FEWX|89MDPS|aAEPOI
8	12211 52616	   	411.78	DCR|2MDPS|2VULN	12VULN|3LWND|4MLV|5DUR|6RCR|7FEWX|89MDPS|aAME
9	12241 52611	   	411.68	DCR|2MDPS|2VULN	12VULN|3LWND|4ERES|5DUR|6RCR|7FEWX|89MDPS|aRMIN
10	12241 52612	   	411.68	DCR|2MDPS|2VULN	12VULN|3LWND|4ERES|5DUR|6RCR|7FEWX|89MDPS|aRAT
11	12241 52613	   	411.68	DCR|2MDPS|2VULN	12VULN|3LWND|4aERES|5DUR|6RCR|7FEWX|89MDPS
12	12111 41354	   	407.58	ACR|5VULN|1MDPS	12368VULN|3BPWR|4FEWX|5RCR|7DUR|9LWND|aMDPS
13	12651 42323	   	407.58	ACR|5VULN|1MDPS	12467VULN|3DUR|5RCR|8RPLT|9AAC|aMDPS
14	12651 42232	   	407.48	ACR|5VULN|1MDPS	12467VULN|3DUR|5RCR|8TBNT|9RPLT|aMDPS
15	12628 28344	 * 	407.45	DCR|3VULN|1MDPS|2DUR|1DMG	129VULN|37DUR|4MBVNT|5ZMB|6RCR|8DMG|aMDPS
16	12651 42213	   	407.38	ACR|5VULN|1MDPS	12467VULN|3DUR|5RCR|8TBNT|9BBNT|aMDPS
17	12652 42121	   	402.13	DCR|3VULN|1MDPS|1CDMG	124VULN|3DUR|5LEGI|6RCR|7DUST|8CDMG|9MDPS|aBEXP
18	12652 42122	   	402.13	DCR|3VULN|1MDPS|1CDMG	124VULN|3DUR|5LEGI|6RCR|7DUST|8CDMG|9MDPS|aMSLTOX
19	12652 42123	   	402.13	DCR|3VULN|1MDPS|1CDMG	124VULN|3DUR|5LEGI|6RCR|7aDUST|8CDMG|9MDPS
20	12651 41212	   	400.15	ACR|4VULN|1MDPS|2DUR	1246VULN|37DUR|5RCR|8CGEN|9AART|aMDPS
21	11632 11124	   	395.52	2MDPS|3VULN|1TLV	147VULN|2TLV|3AART|5DUR|6ASPD|8MLV|9aMDPS
22	11632 11224	   	395.52	2MDPS|3VULN|1TLV	147VULN|2TLV|3AART|5DUR|6ASPD|8CGEN|9aMDPS
23	12622 46344	   	394.99	DCR|3VULN|1MDPS|1DMG	129VULN|3DUR|4MBVNT|56RMIN|7RCR|8DMG|aMDPS
24	12112 15321	   	394.89	DCR|3VULN|1MDPS|1DMG	123VULN|3BPWR|4FEWX|5LEGI|6DMG|7RCR|8ASPD|9DUR|aMDPS
25	12622 86344	   	394.89	DCR|3VULN|1MDPS|1DMG	129VULN|3DUR|4MBVNT|5RMIN|6AEBURN|7RCR|8DMG|aMDPS
26	12628 23344	   	394.89	DCR|3VULN|1MDPS|1DMG	129VULN|3DUR|4MBVNT|5ZMB|6RCR|7AEFRZ|8DMG|aMDPS
27	12652 15331	   	394.89	DCR|3VULN|1MDPS|1DMG	124VULN|3DUR|5LEGI|6DMG|7RCR|8ASPD|9LWND|aMDPS
28	12353 11515	   	394.79	4VULN|2MDPS	1268VULN|3CGEN|4BOSS|5ZMB|7DUR|9aMDPS
29	13363 52353	   	391.68	DCR|2MDPS|1VULN|1DMG|1SELL	1VULN|25LWND|3DMG|4SELL|6DUR|7RCR|8AART|9aMDPS
30	23363 52353	   	391.68	DCR|2MDPS|1VULN|1DMG|1SELL	15LWND|2VULN|3DMG|4SELL|6DUR|7RCR|8AART|9aMDPS
31	13363 51232	 * 	391.51	4VULN|1MDPS|3DMG|3DUR|1SELL	1789VULN|25LWND|378DMG|4SELL|678DUR|78BPWR|aMDPS
