0	Index      	 *	Score 	Summary	Detail	
1	26133 22615	 * 	346.12	ACR|DCR|2VULN|2TLV|2LIT|2MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6aMLV|89VULN
2	26133 22114	   	333.09	ACR|DCR|2VULN|2TLV|2LIT|1MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6MLV|8FEWX|9aVULN
3	26133 22214	   	333.09	ACR|DCR|2VULN|2TLV|2LIT|1MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6MLV|8LHND|9aVULN
4	26133 22611	   	333.09	ACR|DCR|2VULN|2TLV|2LIT|1MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6MLV|89VULN|aLHND
5	26133 22612	   	333.09	ACR|DCR|2VULN|2TLV|2LIT|1MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6MLV|89VULN|aBEXP
6	26133 12615	   	333.09	ACR|DCR|2VULN|2TLV|2LIT|1MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6CGEN|89VULN|aMLV
7	26133 22613	 * 	332.53	ACR|DCR|3TLV|2VULN|2LIT|1MLV	1MDPS|27RCR|35aTLV|45LIT|5BPWR|6MLV|89VULN
8	26133 22415	   	324.86	ACR|DCR|2TLV|2LIT|1VULN|1MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6MLV|8RPLT|9DUR|aVULN
9	26133 12616	 * 	323.05	ACR|DCR|3VULN|2TLV|2LIT	1MDPS|27RCR|35TLV|45LIT|5BPWR|6CGEN|89aVULN
10	26133 22624	   	320.54	ACR|DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1MDPS|27RCR|35TLV|45LIT|5BPWR|6MLV|8VULN|9BELT|aCDMG
11	26133 22156	   	319.92	ACR|DCR|2TLV|2LIT|2MLV|1VULN	1MDPS|27RCR|35TLV|45LIT|5BPWR|69MLV|8FEWX|aVULN
12	26133 22256	   	319.92	ACR|DCR|2TLV|2LIT|2MLV|1VULN	1MDPS|27RCR|35TLV|45LIT|5BPWR|69MLV|8LHND|aVULN
13	26133 22636	   	319.82	ACR|DCR|2TLV|2LIT|2MLV|1VULN	1MDPS|27RCR|35TLV|45LIT|5BPWR|6aMLV|8VULN|9GSSTOX
14	26133 22623	   	316.55	ACR|DCR|2TLV|2LIT|1VULN|1MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6MLV|8VULN|9BELT|aDUR
15	26133 22625	   	316.55	ACR|DCR|2TLV|2LIT|1VULN|1MLV	1MDPS|27RCR|35TLV|45LIT|5BPWR|6MLV|8VULN|9BELT|aBBNT
