0	Index      	 *	Score 	Summary	Detail	
1	13221 43234	 * 	326.71	DCR|DCR|2VULN|1TLV|1LIT|1DMG	12VULN|3LIT|4MBVNT|5DUR|6BELT|7DMG|8aRCR|9TLV
2	65234 33314	 * 	323.98	DCR|3TLV|3MLV|2VULN|1LIT|1SELL	158MLV|2SELL|359TLV|4MBVNT|59BPWR|69VULN|7RCR|aLIT
3	16632 21141	 * 	322.73	DCR|3LIT|2VULN|1TLV|2ASPD|1MLV|1DMG	17VULN|247LIT|3DMG|5MLV|67ASPD|7BPWR|8TLV|9DUR|aRCR
4	16632 21131	   	313.07	DCR|3LIT|2VULN|1TLV|2ASPD|1MLV|1DMG	17VULN|247LIT|3DMG|5MLV|67ASPD|7BPWR|8TLV|9BEXP|aRCR
5	16632 21161	   	313.07	DCR|3LIT|2VULN|1TLV|2ASPD|1MLV|1DMG	17VULN|247LIT|3DMG|5MLV|67ASPD|7BPWR|8TLV|9LHND|aRCR
6	16228 81234	   	301.87	DCR|DCR|1TLV|1LIT|1VULN|2DUR|1ASPD	1VULN|2LIT|37DUR|4MBVNT|5ASPD|6BELT|8aRCR|9TLV
7	65234 33315	 * 	301.55	DCR|3TLV|3MLV|2VULN|1SELL	158MLV|2SELL|359TLV|4MBVNT|59BPWR|69VULN|7RCR|aBBNT
8	16221 88234	 * 	300.76	DCR|DCR|2LIT|1TLV|1VULN	1VULN|27LIT|3DUR|4MBVNT|5AAC|6BELT|8aRCR|9TLV
9	16222 88234	   	300.76	DCR|DCR|2LIT|1TLV|1VULN	1VULN|27LIT|3DUR|4MBVNT|5ZMB|6BELT|8aRCR|9TLV
10	11221 43234	   	300.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|2RCVC|3LIT|4MBVNT|5DUR|6BELT|7DMG|8aRCR|9TLV
11	16521 43234	   	300.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|2LIT|3AEFBLL|4MBVNT|5DUR|6BELT|7DMG|8aRCR|9TLV
12	33223 43234	   	300.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1AEFBLL|2DUR|3LIT|4MBVNT|5VULN|6BELT|7DMG|8aRCR|9TLV
13	65234 33312	 * 	300.20	DCR|3TLV|3MLV|2VULN|1SELL	158MLV|2SELL|359TLV|4MBVNT|59BPWR|69VULN|7RCR|aAART
14	16213 16124	 * 	297.76	DCR|3VULN|2TLV|1LIT|1MLV	14aVULN|2LIT|3DUR|5MLV|69TLV|7RCR|8LHND
15	16213 16324	   	297.76	DCR|3VULN|2TLV|1LIT|1MLV	14aVULN|2LIT|3DUR|5MLV|69TLV|7RCR|8BEXP
