0	Index      	 *	Score 	Summary	Detail	
1	26223 32355	 * 	335.08	DCR|DCR|3LIT|2TLV|1VULN	1FEWX|258LIT|3aTLV|4TBNT|69RCR|7VULN
2	26263 32351	 * 	334.01	DCR|DCR|3LIT|1TLV|1VULN|1MLV	1FEWX|258LIT|3TLV|4BBNT|69RCR|7VULN|aMLV
3	26223 32351	   	329.91	DCR|DCR|3LIT|1TLV|1VULN|1MLV	1FEWX|258LIT|3TLV|4TBNT|69RCR|7VULN|aMLV
4	55223 32351	   	329.81	DCR|DCR|3LIT|1TLV|1VULN|1MLV	158LIT|2DUST|3TLV|4TBNT|69RCR|7VULN|aMLV
5	26223 32354	   	328.19	DCR|DCR|3LIT|1TLV|1VULN|1CDMG	1FEWX|258LIT|3TLV|4TBNT|69RCR|7VULN|aCDMG
6	26223 32352	   	324.20	DCR|DCR|3LIT|1TLV|1VULN	1FEWX|258LIT|3TLV|4TBNT|69RCR|7VULN|aBBNT
7	26263 32352	   	324.20	DCR|DCR|3LIT|1TLV|1VULN	1FEWX|258LIT|3TLV|4BBNT|69RCR|7VULN|aTBNT
8	55223 32352	   	324.10	DCR|DCR|3LIT|1TLV|1VULN	158LIT|2DUST|3TLV|4TBNT|69RCR|7VULN|aBBNT
9	11132 56224	 * 	323.41	DCR|DCR|2TLV|1LIT|1VULN|1MLV	1AAC|2VULN|39DUST|48TLV|5MLV|6LIT|7aRCR
10	26263 32353	   	318.64	DCR|DCR|3LIT|1TLV|1VULN	1FEWX|258LIT|3TLV|4BBNT|69RCR|7VULN|aBEXP
11	26223 32353	   	314.54	DCR|DCR|3LIT|1TLV|1VULN	1FEWX|258LIT|3TLV|4TBNT|69RCR|7VULN|aBEXP
12	55223 32353	   	314.44	DCR|DCR|3LIT|1TLV|1VULN	158LIT|2DUST|3TLV|4TBNT|69RCR|7VULN|aBEXP
13	61532 31353	 * 	312.13	DCR|2VULN|2TLV|1LIT|2ASPD|1MLV|1DMG	1AME|2DUST|3aVULN|4aTLV|5MLV|6RCR|7aASPD|8LIT|9DMG|aBPWR
