0	Index      	 *	Score 	Summary	Detail	
1	13133 23663	 * 	326.15	DCR|DCR|2VULN|2MLV|1TLV|2DUR	1aDUR|2aVULN|3FLTHEA|4BBNT|5TLV|67RCR|8aMLV|9TBNT|aBPWR
2	13133 23546	 * 	310.74	DCR|DCR|2TLV|1VULN|1MLV	1DUR|2VULN|3FLTHEA|4BBNT|59TLV|67RCR|8LHND|aMLV
3	13133 23346	   	310.64	DCR|DCR|2TLV|1VULN|1MLV	1DUR|2VULN|3FLTHEA|4BBNT|59TLV|67RCR|8LEGI|aMLV
4	13133 23563	 * 	310.42	DCR|DCR|2LIT|1TLV|1VULN	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8LHND|9aLIT
5	13133 23363	   	310.32	DCR|DCR|2LIT|1TLV|1VULN	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8LEGI|9aLIT
6	41213 23624	   	309.49	DCR|DCR|2TLV|1VULN|1MLV	1MGNLIT|2BEXP|3BBNT|4VULN|5aTLV|67RCR|8MLV|9AART
7	13133 23656	 * 	305.48	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8MLV|9RCVC|aLIT
8	22236 43231	   	304.70	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1ZMB|2DUR|34TLV|5ASPD|69RCR|7AART|8CDMG|aMLV
9	13133 23125	   	303.76	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8CDMG|9ZMB|aLIT
10	13133 23216	   	303.76	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8RCVC|9CDMG|aLIT
11	13133 23566	   	303.76	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8LHND|9LIT|aASPD
12	13133 23135	   	303.66	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8CDMG|9ERES|aLIT
13	13133 23145	   	303.66	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8CDMG|9AME|aLIT
14	13133 23366	   	303.66	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8LEGI|9LIT|aASPD
15	41213 23346	   	301.08	DCR|DCR|2TLV|1VULN|1MLV	1MGNLIT|2BEXP|3BBNT|4VULN|59TLV|67RCR|8LEGI|aMLV
16	41213 23563	   	300.86	DCR|DCR|2LIT|1TLV|1VULN	1MGNLIT|2BEXP|3BBNT|4VULN|5TLV|67RCR|8LHND|9aLIT
17	41213 23363	   	300.76	DCR|DCR|2LIT|1TLV|1VULN	1MGNLIT|2BEXP|3BBNT|4VULN|5TLV|67RCR|8LEGI|9aLIT
18	13133 23625	   	299.49	DCR|DCR|2VULN|1TLV|1MLV	1DUR|2aVULN|3FLTHEA|4BBNT|5TLV|67RCR|8MLV|9TSLFST
19	13133 23562	   	298.41	DCR|DCR|1TLV|1LIT|1VULN	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8LHND|9LIT|aRPLT
20	41213 23626	   	298.33	DCR|DCR|2VULN|1TLV|1MLV	1MGNLIT|2BEXP|3BBNT|4aVULN|5TLV|67RCR|8MLV|9AART
21	13133 23362	   	298.31	DCR|DCR|1TLV|1LIT|1VULN	1DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8LEGI|9LIT|aRPLT
22	13133 23246	   	297.88	DCR|DCR|1TLV|1LIT|1VULN|2DUR	19DUR|2VULN|3FLTHEA|4BBNT|5TLV|67RCR|8RCVC|aLIT
23	13133 23463	   	297.55	DCR|DCR|2VULN|1TLV|2DUR	1aDUR|2aVULN|3FLTHEA|4BBNT|5TLV|67RCR|8aERES|9TBNT|aBPWR
