0	Index      	 *	Score 	Summary	Detail	
1	23111 41223	 * 	278.16	橙橙2易伤1伤害1矿等1攻速	1赏金塔2掉矿3双倍秒伤4攻速5矿等6伤害7a核89易伤
2	43242 43131	 * 	268.89	橙橙2易伤1等级1暴击	1等级2机枪对壮36易伤4敌人爆炸5加一79核8低血量敌人a暴击
3	43242 43831	   	268.79	橙橙2易伤1等级1暴击	1等级2机枪对壮36易伤4敌人爆炸5加一79核8挖尘a暴击
4	43242 43133	   	266.25	橙橙2易伤1等级1雷电	1等级2机枪对壮36易伤4敌人爆炸5加一79核8低血量敌人a雷电
5	43242 43833	   	266.15	橙橙2易伤1等级1雷电	1等级2机枪对壮36易伤4敌人爆炸5加一79核8挖尘a雷电
6	23141 41223	   	264.51	橙橙2易伤1伤害1矿等1技能	1赏金塔2掉矿3双倍秒伤4技能5矿等6伤害7a核89易伤
7	43241 63133	 * 	262.85	橙橙1易伤1等级1伤害1攻速	1等级2机枪对壮3易伤4敌人爆炸5伤害6攻速79核8低血量敌人a最后敌人
8	43241 63131	   	262.75	橙橙1易伤1等级1伤害1攻速	1等级2机枪对壮3易伤4敌人爆炸5伤害6攻速79核8低血量敌人a加一
9	43241 63132	   	262.75	橙橙1易伤1等级1伤害1攻速	1等级2机枪对壮3易伤4敌人爆炸5伤害6攻速79核8低血量敌人a掉矿
10	23116 41223	   	262.45	橙橙2易伤1伤害1攻速	1赏金塔2掉矿3双倍秒伤4攻速5技能点6伤害7a核89易伤
11	15223 22344	   	262.18	橙橙2易伤1等级	1敌人爆炸2最后敌人3赏金塔4a易伤5基地爆炸6时间79核8等级
12	43242 43138	   	262.18	橙橙2易伤1等级	1等级2机枪对壮36易伤4敌人爆炸5加一79核8低血量敌人a时间
13	43235 23122	 * 	259.69	橙4易伤2伤害2等级	1a等级2机枪对壮346a易伤5随机技能7金币生成8核9a伤害a序列升级
14	23111 61223	   	258.09	橙橙2易伤1矿等1技能1攻速	1赏金塔2掉矿3双倍秒伤4攻速5矿等6技能7a核89易伤
15	24126 61123	 * 	258.02	橙橙3易伤	1赏金塔2基地爆炸349易伤5加一6时间7a核8敌人爆炸
16	24126 61233	   	258.02	橙橙3易伤	1赏金塔2基地爆炸348易伤5加一6时间7a核9最后敌人
17	24126 61243	   	258.02	橙橙3易伤	1赏金塔2基地爆炸348易伤5加一6时间7a核9低血量敌人
18	24142 31123	   	258.02	橙橙3易伤	1赏金塔2基地爆炸369易伤4时间5加一7a核8敌人爆炸
19	24142 31233	   	258.02	橙橙3易伤	1赏金塔2基地爆炸368易伤4时间5加一7a核9最后敌人
20	24142 31243	   	258.02	橙橙3易伤	1赏金塔2基地爆炸368易伤4时间5加一7a核9低血量敌人
21	24126 71223	   	257.92	橙橙3易伤	1赏金塔2基地爆炸348易伤5加一6雷电减费7a核9时间
22	24142 31283	   	257.92	橙橙3易伤	1赏金塔2基地爆炸368易伤4时间5加一7a核9雷电减费
23	24142 31723	   	257.92	橙橙3易伤	1赏金塔2基地爆炸369易伤4时间5加一7a核8雷电减费
24	43242 43132	   	255.24	橙橙2易伤1等级	1等级2机枪对壮36易伤4敌人爆炸5加一79核8低血量敌人a金币生成
25	43242 43134	   	255.24	橙橙2易伤1等级	1等级2机枪对壮36易伤4敌人爆炸5加一79核8低血量敌人a平台
26	43242 43136	   	255.24	橙橙2易伤1等级	1等级2机枪对壮36易伤4敌人爆炸5加一79核8低血量敌人a基地爆炸
27	43242 43135	   	255.14	橙橙2易伤1等级	1等级2机枪对壮36易伤4敌人爆炸5加一79核8低血量敌人a掉矿
28	43242 43832	   	255.14	橙橙2易伤1等级	1等级2机枪对壮36易伤4敌人爆炸5加一79核8挖尘a金币生成
29	43242 43834	   	255.14	橙橙2易伤1等级	1等级2机枪对壮36易伤4敌人爆炸5加一79核8挖尘a平台
30	43233 21434	 * 	252.49	紫橙2易伤1等级1伤害1雷电	1等级2机枪对壮34易伤5a核6额外掉落7伤害8随机技能9雷电
31	23111 41253	   	251.85	橙橙1易伤1伤害1矿等1攻速	1赏金塔2掉矿3双倍秒伤4攻速5矿等6伤害7a核8易伤9暴雪减费
32	23111 41653	   	251.85	橙橙1易伤1伤害1矿等1攻速	1赏金塔2掉矿3双倍秒伤4攻速5矿等6伤害7a核8风暴减费9易伤
33	23132 22344	   	251.38	橙橙1易伤1等级1矿等	1赏金塔2掉矿3双倍秒伤4矿等5最后敌人6时间79核8等级a易伤
34	35214 11225	 * 	251.25	橙橙1喷火对甲1伤害1全技能1技能1暴击	1金币生成2技能3时间4暴击5赏金塔6伤害7a核8全技能9喷火对甲
35	35214 12325	   	251.25	橙橙1喷火对甲1伤害1全技能1技能1暴击	1金币生成2技能3时间4暴击5赏金塔6伤害7全技能8a核9喷火对甲
36	35216 11225	   	251.25	橙橙1喷火对甲1伤害1全技能1技能1暴击	1金币生成2技能3时间4暴击5赏金邻近6伤害7a核8全技能9喷火对甲
37	35216 12325	   	251.25	橙橙1喷火对甲1伤害1全技能1技能1暴击	1金币生成2技能3时间4暴击5赏金邻近6伤害7全技能8a核9喷火对甲
38	24126 71123	   	250.98	橙橙3易伤	1赏金塔2基地爆炸349易伤5加一6雷电减费7a核8敌人爆炸
39	24126 71213	   	250.98	橙橙3易伤	1赏金塔2基地爆炸348易伤5加一6雷电减费7a核9最后敌人
40	44251 22123	   	250.68	橙3易伤2伤害1等级1攻速	1等级29伤害3时间4攻速59a易伤6挖尘79金币生成8核9序列升级
41	24131 51123	   	249.63	橙橙2易伤1技能1攻速	1赏金塔2基地爆炸39易伤4攻速5技能6时间7a核8敌人爆炸
42	24131 51233	   	249.63	橙橙2易伤1技能1攻速	1赏金塔2基地爆炸38易伤4攻速5技能6时间7a核9最后敌人
43	24131 51253	   	249.63	橙橙2易伤1技能1攻速	1赏金塔2基地爆炸38易伤4攻速5技能6时间7a核9低血量敌人
44	24131 51623	   	249.53	橙橙2易伤1技能1攻速	1赏金塔2基地爆炸39易伤4攻速5技能6时间7a核8雷电减费
45	24131 61223	   	249.53	橙橙2易伤1技能1攻速	1赏金塔2基地爆炸38易伤4攻速5技能6雷电减费7a核9时间
46	11342 31423	   	249.00	橙橙2易伤1伤害	1敌人爆炸29挖尘3a易伤4伤害5立即金币68核7随机技能
47	61342 31423	   	249.00	橙橙2易伤1伤害	1基地爆炸29挖尘3a易伤4伤害5立即金币68核7随机技能
48	11343 31423	   	248.90	橙橙2易伤1伤害	1敌人爆炸29挖尘3a易伤4伤害5暴雪减费68核7随机技能
49	11345 31423	   	248.90	橙橙2易伤1伤害	1敌人爆炸29挖尘3a易伤4伤害5烈焰减费68核7随机技能
50	61343 31423	   	248.90	橙橙2易伤1伤害	1基地爆炸29挖尘3a易伤4伤害5暴雪减费68核7随机技能
51	23146 41223	   	248.80	橙橙2易伤1伤害1技能	1赏金塔2掉矿3双倍秒伤4技能5技能点6伤害7a核89易伤
