0	Index      	 *	Score 	Summary	Detail	
1	46252 32111	 * 	281.18	橙橙2易伤2等级1矿等	17易伤2双倍矿3最后敌人4挖青57等级67风暴减费7序列升级8矿等9a核
2	46212 32111	   	270.95	橙橙2易伤1等级1矿等	17易伤2双倍矿37最后敌人4敌人爆炸5等级67风暴减费7序列升级8矿等9a核
3	46252 32211	   	265.58	橙橙2易伤2等级	17易伤2双倍矿3最后敌人4挖青57等级67风暴减费7序列升级8金币生成9a核
4	46512 21211	   	262.28	橙橙2易伤1等级	17易伤2双倍矿3时间4敌人爆炸5等级6基地爆炸8金币生成9a核
5	46512 23311	   	262.28	橙橙2易伤1等级	18易伤2双倍矿3时间4敌人爆炸5等级6基地爆炸7金币生成9a核
6	46512 21111	   	262.18	橙橙2易伤1等级	17易伤2双倍矿3时间4敌人爆炸5等级6基地爆炸8技能点9a核
7	33443 22235	 * 	259.91	橙橙2易伤1伤害1雷电	1雷电2赏金邻近3伤害46易伤5挖尘7金币生成8双倍物品9a核
8	46312 31111	 * 	256.94	橙橙1易伤2矿等1等级	1易伤2双倍矿3基地爆炸4敌人爆炸5等级67矿等8雷电减费9a核
9	46352 31111	   	256.94	橙橙1易伤2矿等1等级	1易伤2双倍矿3基地爆炸4低血量敌人5等级67矿等8雷电减费9a核
10	41472 12113	 * 	256.48	橙2易伤3伤害2等级1矿等	19易伤2低血量敌人3加一49等级5时间6矿等7核89a伤害9序列升级
11	52126 13125	 * 	256.04	橙橙1易伤1等级1伤害	1伤害2双倍秒伤3时间4低血量敌人5易伤6金币生成7a核8等级9敌人爆炸
12	52136 13125	   	256.04	橙橙1易伤1等级1伤害	1伤害2双倍秒伤3时间4最后敌人5易伤6金币生成7a核8等级9敌人爆炸
13	52126 33125	   	255.94	橙橙1易伤1等级1伤害	1伤害2双倍秒伤3时间4低血量敌人5易伤6掉矿7a核8等级9敌人爆炸
14	52136 33125	   	255.94	橙橙1易伤1等级1伤害	1伤害2双倍秒伤3时间4最后敌人5易伤6掉矿7a核8等级9敌人爆炸
15	46212 21211	   	255.34	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6基地爆炸8金币生成9a核
16	46212 21511	   	255.34	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6基地爆炸8随机矿9a核
17	46212 32211	   	255.34	橙橙2易伤1等级	17易伤2双倍矿37最后敌人4敌人爆炸5等级67风暴减费7序列升级8金币生成9a核
18	46212 32511	   	255.34	橙橙2易伤1等级	17易伤2双倍矿37最后敌人4敌人爆炸5等级67风暴减费7序列升级8随机矿9a核
19	46212 51211	   	255.34	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6低血量敌人8金币生成9a核
20	46312 51211	   	255.34	橙橙2易伤1等级	17易伤2双倍矿3基地爆炸4敌人爆炸5等级6最后敌人8金币生成9a核
21	46212 21111	   	255.24	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6基地爆炸8技能点9a核
22	46212 51111	   	255.24	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6低血量敌人8技能点9a核
23	46252 21211	   	255.24	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4挖青5等级6基地爆炸8金币生成9a核
24	46312 51111	   	255.24	橙橙2易伤1等级	17易伤2双倍矿3基地爆炸4敌人爆炸5等级6最后敌人8技能点9a核
25	46252 21111	   	255.14	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4挖青5等级6基地爆炸8技能点9a核
26	12232 22661	   	252.60	橙橙1易伤1伤害1导弹对毒1全技能	1赏金邻近2双倍秒伤3易伤4敌人爆炸5导弹对毒6a核7核弹8全技能9伤害
27	22232 22661	   	252.60	橙橙1易伤1伤害1导弹对毒1全技能	1赏金塔2双倍秒伤3易伤4敌人爆炸5导弹对毒6a核7核弹8全技能9伤害
28	46224 32111	   	251.58	橙橙2易伤1矿等	17易伤2双倍矿37最后敌人4掉矿5时间67风暴减费7序列升级8矿等9a核
29	41622 15311	   	251.48	橙橙2易伤1矿等	17易伤2低血量敌人3技能点4敌人爆炸5时间6矿等8火球减费9a核
