0	Index      	 *	Score 	Summary	Detail	
1	23226 62322	 * 	350.41	橙橙3易伤2矿等1等级	134易伤2低血量敌人58矿等6a核7基地爆炸9等级
2	23226 33122	 * 	338.56	橙橙4易伤2矿等	1348易伤2低血量敌人58矿等68风暴减费7a核8序列升级9技能点
3	23222 33122	 * 	334.44	橙橙4易伤2等级	1348易伤2低血量敌人58等级68风暴减费7a核8序列升级9技能点
4	23256 33122	   	334.44	橙橙4易伤2等级	1358易伤2低血量敌人48等级68风暴减费7a核8序列升级9技能点
5	22223 61352	   	334.43	橙橙3易伤1等级1矿等	134易伤2时间5基地爆炸6a核7等级8矿等9毒气减费
6	22223 61362	   	334.43	橙橙3易伤1等级1矿等	134易伤2时间5基地爆炸6a核7等级8矿等9暴雪减费
7	22224 61352	   	334.43	橙橙3易伤1等级1矿等	134易伤2时间5挖尘6a核7等级8矿等9毒气减费
8	22224 61362	   	334.43	橙橙3易伤1等级1矿等	134易伤2时间5挖尘6a核7等级8矿等9暴雪减费
9	22253 66112	   	328.57	橙橙4易伤1等级	1378易伤2时间4等级5技能点6a核9最后敌人
10	22253 66122	   	328.57	橙橙4易伤1等级	1378易伤2时间4等级5技能点6a核9低血量敌人
11	23116 61116	 * 	328.46	橙5易伤3矿等2伤害	1589a易伤2低血量敌人349矿等6核79伤害9序列升级
12	23116 61112	   	327.70	橙4易伤3矿等2伤害1技能	1589易伤2低血量敌人349矿等6核79伤害9序列升级a技能
13	23116 61111	   	327.06	橙4易伤3矿等2伤害1攻速	1589易伤2低血量敌人349矿等6核79伤害9序列升级a攻速
14	23116 43522	   	327.04	橙橙2易伤2矿等1等级	15易伤26低血量敌人34矿等7a核8最后敌人9等级
15	23116 33522	   	326.94	橙橙2易伤2矿等1等级	15易伤2低血量敌人34矿等6风暴减费7a核8最后敌人9等级
16	23116 43222	   	326.94	橙橙2易伤2矿等1等级	15易伤26低血量敌人34矿等7a核8基地爆炸9等级
17	14116 33522	   	326.84	橙橙2易伤2矿等1等级	1基地爆炸25易伤34矿等6风暴减费7a核8最后敌人9等级
18	23116 33222	   	326.84	橙橙2易伤2矿等1等级	15易伤2低血量敌人34矿等6风暴减费7a核8基地爆炸9等级
19	23126 62322	   	326.84	橙橙2易伤2矿等1等级	15易伤2低血量敌人38矿等4烈焰减费6a核7基地爆炸9等级
20	44116 33222	   	326.84	橙橙2易伤2矿等1等级	1低血量敌人25易伤34矿等6风暴减费7a核8基地爆炸9等级
21	23226 43522	   	326.32	橙橙3易伤1等级1矿等	134易伤26低血量敌人5矿等7a核8最后敌人9等级
22	23226 33522	   	326.22	橙橙3易伤1等级1矿等	134易伤2低血量敌人5矿等6风暴减费7a核8最后敌人9等级
23	23226 43222	   	326.22	橙橙3易伤1等级1矿等	134易伤26低血量敌人5矿等7a核8基地爆炸9等级
24	14226 33522	   	326.12	橙橙3易伤1等级1矿等	1基地爆炸234易伤5矿等6风暴减费7a核8最后敌人9等级
25	23222 62352	   	326.12	橙橙3易伤1等级1矿等	134易伤2低血量敌人5等级6a核7基地爆炸8矿等9毒气减费
26	23222 62362	   	326.12	橙橙3易伤1等级1矿等	134易伤2低血量敌人5等级6a核7基地爆炸8矿等9暴雪减费
27	23223 61352	   	326.12	橙橙3易伤1等级1矿等	134易伤2低血量敌人5基地爆炸6a核7等级8矿等9毒气减费
28	23223 61362	   	326.12	橙橙3易伤1等级1矿等	134易伤2低血量敌人5基地爆炸6a核7等级8矿等9暴雪减费
29	23224 61352	   	326.12	橙橙3易伤1等级1矿等	134易伤2低血量敌人5挖尘6a核7等级8矿等9毒气减费
30	23224 61362	   	326.12	橙橙3易伤1等级1矿等	134易伤2低血量敌人5挖尘6a核7等级8矿等9暴雪减费
31	23226 33222	   	326.12	橙橙3易伤1等级1矿等	134易伤2低血量敌人5矿等6风暴减费7a核8基地爆炸9等级
32	44226 33222	   	326.12	橙橙3易伤1等级1矿等	1低血量敌人234易伤5矿等6风暴减费7a核8基地爆炸9等级
33	14224 61332	   	326.02	橙橙3易伤1等级1矿等	19基地爆炸234易伤5挖尘6a核7等级8矿等
34	22252 61512	   	322.60	橙橙3易伤2等级	138易伤2时间47等级5金币生成6a核9最后敌人
35	22252 61522	   	322.60	橙橙3易伤2等级	138易伤2时间47等级5金币生成6a核9低血量敌人
36	22253 61112	   	322.60	橙橙3易伤2等级	138易伤2时间47等级5技能点6a核9最后敌人
37	22253 61122	   	322.60	橙橙3易伤2等级	138易伤2时间47等级5技能点6a核9低血量敌人
