0	Index      	 *	Score 	Summary	Detail	
1	33121 15542	 * 	237.44	DCR|3VULN|2DMG|2ASPD|1AART|1AAC	12aVULN|3aASPD|4LWND|5AAC|6RCR|7AELBLL|8AART|9aDMG|aBPWR
2	33233 52313	 * 	227.75	DCR|4VULN|2DMG|1ASPD|2DUR	127aVULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|9ASPD
3	33234 52313	   	224.94	DCR|4VULN|2DMG|1ASPD|2DUR	127aVULN|35LIT|47DUR|67DMG|7BPWR|8RCR|9ASPD
4	33116 33424	 * 	224.49	DCR|4VULN|1AART|1ASPD|1DMG	1258VULN|3ASPD|4RCVC|6RCR|7LIT|9AART|aDMG
5	33233 22313	 * 	224.38	DCR|4VULN|2ASPD|1DMG|2DUR	127aVULN|3LIT|47DUR|5RCVC|67ASPD|7BPWR|8RCR|9DMG
6	33233 52362	 * 	223.93	DCR|4VULN|2DMG|1CDMG|2DUR	1279VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|aCDMG
7	33233 52321	 * 	223.74	DCR|3VULN|3DMG|1CDMG|2DUR	127VULN|3LIT|47DUR|5RCVC|679DMG|7BPWR|8RCR|aCDMG
8	33233 52316	   	222.23	DCR|3VULN|2DMG|1ASPD|2DUR|1ZMB	127VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|9ASPD|aZMB
9	33234 22313	   	221.57	DCR|4VULN|2ASPD|1DMG|2DUR	127aVULN|35LIT|47DUR|67ASPD|7BPWR|8RCR|9DMG
10	33236 32313	   	221.57	DCR|4VULN|2ASPD|1DMG|2DUR	127aVULN|3LIT|47DUR|57ASPD|6DMSP|7BPWR|8RCR|9DMG
11	33234 52362	   	221.13	DCR|4VULN|2DMG|1CDMG|2DUR	1279VULN|35LIT|47DUR|67DMG|7BPWR|8RCR|aCDMG
12	33234 52321	   	220.93	DCR|3VULN|3DMG|1CDMG|2DUR	127VULN|35LIT|47DUR|679DMG|7BPWR|8RCR|aCDMG
13	33233 22362	 * 	220.56	DCR|4VULN|2ASPD|1CDMG|2DUR	1279VULN|3LIT|47DUR|5RCVC|67ASPD|7BPWR|8RCR|aCDMG
14	33153 41343	 * 	219.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	128VULN|3ASPD|4FEWX|5AART|6MLV|7RCR|9DMG|aCDMG
15	33212 57482	   	219.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	125VULN|35LIT|4MBVNT|5BPWR|6AART|7RCR|8CDMG|9DMG|aASPD
16	33153 11343	   	219.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	128VULN|3ASPD|4FEWX|5AART|6TLV|7RCR|9DMG|aCDMG
17	33234 52316	   	219.43	DCR|3VULN|2DMG|1ASPD|2DUR|1ZMB	127VULN|35LIT|47DUR|67DMG|7BPWR|8RCR|9ASPD|aZMB
18	33116 35262	 * 	219.04	DCR|3VULN|2ASPD|1AART|1CDMG	125VULN|3aASPD|4RCVC|6RCR|7CDMG|8LHND|9AART
19	33233 22316	   	218.86	DCR|3VULN|2ASPD|1DMG|2DUR|1ZMB	127VULN|3LIT|47DUR|5RCVC|67ASPD|7BPWR|8RCR|9DMG|aZMB
20	33233 52365	   	218.02	DCR|4VULN|2DMG|2DUR|1ZMB	1279VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|aZMB
21	33234 22362	   	217.76	DCR|4VULN|2ASPD|1CDMG|2DUR	1279VULN|35LIT|47DUR|67ASPD|7BPWR|8RCR|aCDMG
22	33236 32362	   	217.76	DCR|4VULN|2ASPD|1CDMG|2DUR	1279VULN|3LIT|47DUR|57ASPD|6DMSP|7BPWR|8RCR|aCDMG
23	61332 61342	   	217.71	DCR|2VULN|2DMG|2ASPD|1AART	1RMIN|25aLHND|38VULN|4AART|6aASPD|7RCR|9aDMG|aBPWR
24	33233 22321	 * 	217.64	DCR|3VULN|3ASPD|1CDMG|2DUR	127VULN|3LIT|47DUR|5RCVC|679ASPD|7BPWR|8RCR|aCDMG
