0	Index      	 *	Score 	Summary	Detail	
1	36353 11132	 * 	258.36	DCR|3VULN|1MDPS|2ASPD|1AART|2CDMG|1DMG	179VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|aMDPS
2	36353 11162	 * 	256.60	DCR|2VULN|2AART|1MDPS|2ASPD|2CDMG|1DMG	17VULN|27ASPD|3DMG|49AART|5AIRARM|67CDMG|7BPWR|8RCR|aMDPS
3	36353 11135	 * 	255.38	DCR|4VULN|2ASPD|1AART|2CDMG|1DMG	179aVULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR
4	36353 11122	   	247.84	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	17aVULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9DUR
5	36353 11136	   	246.31	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG|1AAC	179VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|aAAC
6	36231 32134	 * 	240.73	DCR|3VULN|3ASPD|1AART|2CDMG|1ZMB	16aVULN|23aASPD|4ZMB|5ERES|7AART|8aCDMG|9RCR|aBPWR
7	36233 33134	   	240.73	DCR|3VULN|3ASPD|1AART|2CDMG|1ZMB	15aVULN|23aASPD|4ZMB|6AART|7ERES|8aCDMG|9RCR|aBPWR
8	36353 11112	   	240.43	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DMG	17VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9CANSTR|aMDPS
9	36353 11131	   	239.53	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	179VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|aCGEN
10	36353 11134	   	239.53	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	179VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|aRCVC
11	36353 11142	   	239.53	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	17aVULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9BEXP
12	36353 11152	   	239.53	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	17aVULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9CGEN
13	36353 11133	   	239.43	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	179VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|aERES
14	36353 11161	   	237.77	DCR|2VULN|2AART|2ASPD|2CDMG|1DMG	17VULN|27ASPD|3DMG|49AART|5AIRARM|67CDMG|7BPWR|8RCR|aCGEN
15	36353 11163	   	237.67	DCR|2VULN|2AART|2ASPD|2CDMG|1DMG	17VULN|27ASPD|3DMG|49AART|5AIRARM|67CDMG|7BPWR|8RCR|aERES
16	36353 11124	   	236.78	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG|1AAC	17VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9DUR|aAAC
17	36233 36324	 * 	235.78	DCR|3VULN|3ASPD|1MDPS|1AART|1ZMB	158VULN|237ASPD|4ZMB|6AART|9RCR|aMDPS
18	36353 11232	   	235.53	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	179VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8LHND|aRCR
19	36353 11151	 * 	234.63	DCR|3ASPD|2VULN|1AART|2CDMG|1DMG	17VULN|27aASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9CGEN
20	36353 11262	   	233.77	DCR|2VULN|2AART|2ASPD|2CDMG|1DMG	17VULN|27ASPD|3DMG|49AART|5AIRARM|67CDMG|7BPWR|8LHND|aRCR
21	36252 32134	   	233.42	DCR|4VULN|2ASPD|1AART|2CDMG	146aVULN|23ASPD|5aLWND|7AART|8aCDMG|9RCR|aBPWR
22	36253 32134	   	233.42	DCR|4VULN|2ASPD|1AART|2CDMG	146aVULN|23ASPD|5aLHND|7AART|8aCDMG|9RCR|aBPWR
23	32135 12726	 * 	233.34	DCR|3VULN|2DMG|2ASPD|1AART	15aVULN|2MBVNT|3DUST|4aDMG|6RPLT|7aASPD|8RCR|9AART|aBPWR
24	32452 21121	 * 	231.78	DCR|3VULN|2DMG|1AART|2CDMG	18aVULN|2MBVNT|38CDMG|4SPLREG|5LWND|68DMG|7RCR|8BPWR|9AART
25	32755 34134	   	231.60	DCR|4VULN|2ASPD|2CDMG|1DMG	156aVULN|2MBVNT|3aASPD|4LWND|7DMG|8RCR|9aCDMG|aBPWR
26	32452 31167	   	230.64	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG	18VULN|2MBVNT|38CDMG|4SPLREG|5LWND|68ASPD|7RCR|8BPWR|9DMG|aAART
27	36353 11121	   	230.01	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG	17VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9DUR|aFEWX
28	36353 11123	   	230.01	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG	17VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9DUR|aLWND
29	36353 11125	   	230.01	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG	17VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9DUR|aLIT
30	36353 11126	   	230.01	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG	17VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9DUR|aRPLT
31	36353 11113	   	229.91	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG	17VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9CANSTR|aDUR
32	32467 41121	   	229.68	DCR|3VULN|2ASPD|1AART|2CDMG	18aVULN|2MBVNT|38CDMG|4DUR|5CANARM|68ASPD|7RCR|8BPWR|9AART
33	32714 42652	 * 	228.88	DCR|3VULN|3ASPD|1AART|1DMG	159VULN|2MBVNT|359ASPD|4BELT|59BPWR|6AART|79BEXP|8RCR|aDMG
34	32452 31121	   	228.41	DCR|3VULN|2ASPD|1AART|2CDMG	18aVULN|2MBVNT|38CDMG|4SPLREG|5LWND|68ASPD|7RCR|8BPWR|9AART
35	36353 11115	   	228.38	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG|1AAC	17VULN|27ASPD|3DMG|4AART|5AIRARM|67CDMG|7BPWR|8RCR|9CANSTR|aAAC
