0	Index      	 *	Score 	Summary	Detail	
1	12271 71534	 * 	218.70	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	1RCVC|2MBVNT|3DUR|46ASPD|567VULN|6BPWR|8CDMG|9RCR|aDMG
2	63123 21524	 * 	207.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|38aVULN|4LWND|5ASPD|6LHND|7DMG|9RCR
3	63123 21523	 * 	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2DUR|38VULN|4LWND|5ASPD|6LHND|7aDMG|9RCR
4	13562 22361	 * 	207.25	DCR|3VULN|3ASPD|1MDPS|1CDMG	1RCVC|2LWND|35aVULN|458ASPD|5BPWR|6MDPS|7RCR|9CDMG
5	11322 53421	 * 	206.92	DCR|3VULN|1AART|1ASPD|1CDMG	1RCVC|2RMIN|35FEWX|45aVULN|5BPWR|6CDMG|7AART|8ASPD|9RCR
6	11321 53421	   	206.82	DCR|3VULN|1AART|1ASPD|1CDMG	1RCVC|2RMIN|3FEWX|45aVULN|6CDMG|7AART|8ASPD|9RCR
7	12271 72534	   	206.11	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	1RCVC|2MBVNT|37DUR|46ASPD|56VULN|6BPWR|8CDMG|9RCR|aDMG
8	12271 28823	   	205.98	DCR|3VULN|2ASPD|1CDMG|2DUR	1RCVC|2MBVNT|37DUR|47ASPD|579VULN|6RPLT|7BPWR|8RCR|aCDMG
9	26222 22611	 * 	203.93	DCR|2VULN|2DMG|1AART|3DUR	1MLV|257DUR|3DMSP|45VULN|5BPWR|6RCR|89DMG|aAART
10	31151 26612	 * 	203.45	DCR|3VULN|2CDMG|1ASPD|2DUR|1ZMB	1RPLT|27DUR|3ASPD|47CDMG|567VULN|7BPWR|8FEWX|9RCR|aZMB
11	11322 53426	 * 	203.31	DCR|2VULN|2ASPD|1AART|1CDMG	1RCVC|2RMIN|35FEWX|45VULN|5BPWR|6CDMG|7AART|8aASPD|9RCR
12	11321 53426	   	203.21	DCR|2VULN|2ASPD|1AART|1CDMG	1RCVC|2RMIN|3FEWX|45VULN|6CDMG|7AART|8aASPD|9RCR
13	63632 31623	 * 	202.97	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|2DUR	1AART|29DUR|39AME|4aCDMG|5ASPD|6MDPS|7RCR|89VULN|9BPWR
14	63161 33215	 * 	202.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1aAART|2DUR|38VULN|4CDMG|5LHND|6LIT|7DMG|9RCR
15	12271 71531	   	201.97	DCR|3VULN|2ASPD|1CDMG|1AAC|1DUR	1RCVC|2MBVNT|3DUR|46ASPD|567VULN|6BPWR|8CDMG|9RCR|aAAC
16	13524 63111	 * 	201.51	DCR|3VULN|2DMG|1ASPD	1RCVC|2LWND|35aVULN|4LIT|68DMG|7RCR|9ASPD
17	12713 82481	 * 	201.35	DCR|2VULN|2DMG|2CDMG|1ASPD|1NUKE	1RCVC|2MBVNT|38CDMG|4LHND|5NUKE|68DMG|78VULN|8BPWR|9ASPD|aRCR
18	12716 32481	   	201.35	DCR|2VULN|2DMG|2CDMG|1ASPD|1AAC	1RCVC|2MBVNT|38CDMG|4LHND|58DMG|6AAC|78VULN|8BPWR|9ASPD|aRCR
19	13562 22331	 * 	201.11	DCR|3ASPD|2VULN|1MDPS|1AART	1RCVC|2LWND|35VULN|458ASPD|5BPWR|6MDPS|7RCR|9RMIN|aAART
20	12271 74713	   	200.86	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1RCVC|2MBVNT|3DUR|46ASPD|56VULN|6BPWR|7DMG|8FEWX|9RCR|aCDMG
21	12872 24413	   	200.56	DCR|3VULN|1MDPS|2ASPD|1CDMG|1ZMB	1RCVC|2MBVNT|357VULN|45ASPD|5BPWR|6MDPS|8ZMB|9RCR|aCDMG
22	13562 61232	 * 	200.19	DCR|4VULN|2ASPD	1RCVC|2LWND|3579VULN|45ASPD|5BPWR|6RCR|8CGEN|aRMIN
23	31151 26613	 * 	200.18	DCR|3VULN|3CDMG|1ASPD|2DUR	1RPLT|27DUR|3ASPD|47aCDMG|567VULN|7BPWR|8FEWX|9RCR
24	13562 61212	   	200.14	DCR|3VULN|2ASPD|1DMG	1RCVC|2LWND|357VULN|45ASPD|5BPWR|6RCR|8CGEN|9TSLFST|aDMG
25	13562 63122	   	200.14	DCR|3VULN|2ASPD|1DMG	1RCVC|2LWND|359VULN|45ASPD|5BPWR|6RCR|7CGEN|8ERES|aDMG
26	13562 61132	   	200.09	DCR|4VULN|2ASPD	1RCVC|2LWND|3579VULN|45ASPD|5BPWR|6RCR|8TLV|aRMIN
27	13562 61332	   	200.09	DCR|4VULN|2ASPD	1RCVC|2LWND|3579VULN|45ASPD|5BPWR|6RCR|8ERES|aRMIN
28	13562 61112	   	200.04	DCR|3VULN|2ASPD|1DMG	1RCVC|2LWND|357VULN|45ASPD|5BPWR|6RCR|8TLV|9TSLFST|aDMG
29	13562 61312	   	200.04	DCR|3VULN|2ASPD|1DMG	1RCVC|2LWND|357VULN|45ASPD|5BPWR|6RCR|8ERES|9TSLFST|aDMG
30	61123 21524	   	199.53	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2BEXP|38aVULN|4LWND|5ASPD|6LHND|7DMG|9RCR
31	61123 21523	   	199.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2BEXP|38VULN|4LWND|5ASPD|6LHND|7aDMG|9RCR
32	12271 71533	   	198.63	DCR|3VULN|2ASPD|1CDMG|1DUR	1RCVC|2MBVNT|3DUR|46ASPD|567VULN|6BPWR|8CDMG|9RCR|aBELT
33	12271 71532	   	198.53	DCR|3VULN|2ASPD|1CDMG|1DUR|1MSE	1RCVC|2MBVNT|3DUR|46ASPD|567VULN|6BPWR|8CDMG|9RCR|aMSE
34	12271 28832	   	198.48	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB	1RCVC|2MBVNT|37DUR|47ASPD|57VULN|6RPLT|7BPWR|8RCR|9CDMG|aZMB
35	12741 41648	   	198.00	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	1RCVC|2MBVNT|34CDMG|5ASPD|6ZMB|7aVULN|8RCR|9DMG
36	12842 58434	   	197.96	DCR|3VULN|1ASPD|1CDMG|2ZMB|1DUR	1RCVC|2MBVNT|356VULN|45ZMB|5BPWR|7CDMG|8DUR|9RCR|aASPD
37	11322 53422	   	197.40	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1RCVC|2RMIN|35FEWX|45VULN|5BPWR|6CDMG|7AART|8ASPD|9RCR|aDUR
38	11321 53422	   	197.30	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1RCVC|2RMIN|3FEWX|45VULN|6CDMG|7AART|8ASPD|9RCR|aDUR
39	13562 62333	   	197.23	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1RCVC|2LWND|35VULN|45ASPD|5BPWR|6RCR|7DUR|8FEWX|9ZMB|aCDMG
40	62323 23521	   	197.23	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2ERES|3FEWX|48aVULN|5CDMG|6ASPD|7RCVC|9RCR
41	65112 32333	   	197.16	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RMIN|3ZMB|4CDMG|57VULN|6LIT|8RCR|9LWND|aDMG
