0	Index      	 *	Score 	Summary	Detail	
1	24236 31352	 * 	223.08	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7LWND|8CDMG|9RCR|aDMG
2	24236 36211	 * 	219.07	DCR|2VULN|2ASPD|1AART|1NUKE|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7ZMB|8RCR|9NUKE|aFEWX
3	24236 36212	   	219.07	DCR|2VULN|2ASPD|1AART|1NUKE|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7ZMB|8RCR|9NUKE|aDMSP
4	24236 36213	   	219.07	DCR|2VULN|2ASPD|1AART|1NUKE|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7ZMB|8RCR|9NUKE|aLHND
5	24123 52422	   	211.47	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	15DUR|29ASPD|3DUST|45VULN|5BPWR|6AART|7RPLT|8RCR|aDMG
6	24123 55221	   	211.47	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	15DUR|2aASPD|3DUST|45VULN|5BPWR|6AART|7BEXP|8RCR|9DMG
7	24236 13211	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR|1AAC	17DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|9NUKE|aFEWX
8	24236 13212	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR|1AAC	17DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|9NUKE|aDMSP
9	24236 13213	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR|1AAC	17DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|9NUKE|aLHND
10	24236 13214	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR|1AAC	17DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|9NUKE|aLEGI
11	24236 13215	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR|1AAC	17DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|9NUKE|aLIT
12	24236 13216	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR|1AAC	17DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|9NUKE|aERES
13	24236 63211	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR	17DUR|25ASPD|35VULN|4AART|5BPWR|6ERES|8RCR|9NUKE|aFEWX
14	24236 63212	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR	17DUR|25ASPD|35VULN|4AART|5BPWR|6ERES|8RCR|9NUKE|aDMSP
15	24236 63213	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR	17DUR|25ASPD|35VULN|4AART|5BPWR|6ERES|8RCR|9NUKE|aLHND
16	12213 35262	 * 	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1BEXP|2DUR|39aVULN|4AART|5DMG|6ASPD|7AME|8RCR
