0	Index      	 *	Score 	Summary	Detail	
1	24234 16121	 * 	322.04	DCR|DCR|2TLV|2VULN|1CDMG	1CDMG|27VULN|3FEWX|46TLV|5RAT|8ERES|9aRCR
2	51113 42621	   	315.90	DCR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1TLV|2RAT|36VULN|4ERES|5AEBURN|7BEXP|8CDMG|9aRCR
3	51113 16621	   	315.90	DCR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1TLV|2RAT|37VULN|4ERES|5AEBURN|6LHND|8CDMG|9aRCR
4	51113 14621	   	312.25	DCR|DCR|2TLV|1VULN|1AEBURN|1CDMG	17TLV|2RAT|3VULN|4ERES|5AEBURN|6LHND|8CDMG|9aRCR
5	23343 28442	 * 	308.86	ACR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1CDMG|2ERES|3MBVNT|4TLV|57RCR|6DMSP|8AEBURN|9aVULN
6	23343 28662	   	308.86	ACR|DCR|2VULN|1TLV|1AEFBLL|1CDMG	1CDMG|2ERES|3MBVNT|4TLV|57RCR|6DMSP|8aVULN|9AEFBLL
7	23343 28842	   	308.86	ACR|DCR|2VULN|1TLV|1AEFBLL|1CDMG	1CDMG|2ERES|3MBVNT|4TLV|57RCR|6DMSP|8AEFBLL|9aVULN
8	23343 68442	   	308.76	ACR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1CDMG|2ERES|3MBVNT|4TLV|57RCR|6AEWIND|8AEBURN|9aVULN
9	23343 68842	   	308.76	ACR|DCR|2VULN|1TLV|1AEFBLL|1CDMG	1CDMG|2ERES|3MBVNT|4TLV|57RCR|6AEWIND|8AEFBLL|9aVULN
10	51115 42321	 * 	306.63	DCR|DCR|3VULN|1TLV|1SELL	1TLV|2RAT|356VULN|4ERES|7BEXP|8SELL|9aRCR
11	51353 41321	   	302.10	DCR|DCR|2VULN|1TLV|1AEBURN|1SELL	1TLV|2RAT|3RMIN|46VULN|5AEBURN|7LWND|8SELL|9aRCR
12	51113 42321	   	302.00	DCR|DCR|2VULN|1TLV|1AEBURN|1SELL	1TLV|2RAT|36VULN|4ERES|5AEBURN|7BEXP|8SELL|9aRCR
13	51113 44321	   	302.00	DCR|DCR|2VULN|1TLV|1AEBURN|1SELL	1TLV|2RAT|36VULN|4ERES|5AEBURN|7FEWX|8SELL|9aRCR
14	25634 11121	   	301.74	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUR|3VULN|46TLV|5RAT|7AEFRZ|8ERES|9aRCR
15	24323 55332	 * 	300.16	ACR|3VULN|2TLV|2CDMG|2DUR	13CDMG|23aVULN|3aBPWR|4ZMB|5RCR|6MLV|7aDUR|8MSLFST|9aTLV
16	23343 28646	   	298.46	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2ERES|3MBVNT|4TLV|57RCR|6DMSP|8aVULN|9DUR
17	51353 14321	   	298.45	DCR|DCR|2TLV|1VULN|1AEBURN|1SELL	17TLV|2RAT|3RMIN|4VULN|5AEBURN|6LHND|8SELL|9aRCR
18	51113 64321	   	298.25	DCR|DCR|2TLV|1VULN|1AEBURN|1SELL	17TLV|2RAT|3VULN|4ERES|5AEBURN|6DUST|8SELL|9aRCR
19	51125 23431	   	295.94	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|6aRCR|78BEXP|9MLV
20	51115 11621	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4ERES|67LHND|8CDMG|9aRCR
21	51115 21621	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4ERES|6CGEN|7MLV|8CDMG|9aRCR
22	51125 11221	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|6AME|7AEFRZ|8BEXP|9aRCR
23	51125 14121	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|6AME|7CGEN|8ERES|9aRCR
24	51125 26131	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|6aRCR|7AEFRZ|8LHND|9MLV
25	51125 36121	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|67LWND|8ERES|9aRCR
26	53611 21621	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2ERES|34VULN|5RMIN|6RAT|7MLV|8CDMG|9aRCR
27	53612 21621	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2ERES|34VULN|5AME|6RAT|7MLV|8CDMG|9aRCR
28	51112 26421	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|37VULN|4ERES|5CDMG|68FEWX|9aRCR
29	51121 41221	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|36VULN|4CDMG|5RMIN|7AEFRZ|8BEXP|9aRCR
30	51121 44121	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|36VULN|4CDMG|5RMIN|7CGEN|8ERES|9aRCR
31	51123 26421	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|37VULN|4CDMG|5ERES|68FEWX|9aRCR
32	51352 41221	   	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|3RMIN|46VULN|5CDMG|7AEFRZ|8BEXP|9aRCR
33	51112 41221	   	295.74	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|36VULN|4ERES|5CDMG|7AEFRZ|8BEXP|9aRCR
34	51123 41221	   	295.74	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|36VULN|4CDMG|5ERES|7AEFRZ|8BEXP|9aRCR
35	51125 11421	   	295.74	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|6AME|7AEFRZ|8DUST|9aRCR
36	51125 31121	   	295.74	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|6LWND|7AEFRZ|8ERES|9aRCR
37	51121 41421	   	295.74	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|36VULN|4CDMG|5RMIN|7AEFRZ|8DUST|9aRCR
38	51112 41421	   	295.64	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|36VULN|4ERES|5CDMG|7AEFRZ|8DUST|9aRCR
39	51123 41421	   	295.64	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|36VULN|4CDMG|5ERES|7AEFRZ|8DUST|9aRCR
40	51125 51121	   	295.64	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|6DUST|7AEFRZ|8ERES|9aRCR
41	51125 61121	   	295.64	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2RAT|35VULN|4CDMG|6AETHUN|7AEFRZ|8ERES|9aRCR
42	52522 26133	 * 	295.01	DCR|3VULN|2TLV|1DMG|1CDMG	1aTLV|2FEWX|3DMG|4CDMG|567VULN|8RCR|9RAT
43	35214 53613	   	293.22	DCR|3VULN|2TLV|1DMG|2DUR	1RCVC|28TLV|3AME|4MBVNT|58DUR|6RCR|78aVULN|8BPWR|9DMG
44	52321 16621	   	292.18	DCR|DCR|2TLV|1VULN|1CDMG	13TLV|23FEWX|3BPWR|4RAT|5VULN|6AEFRZ|7ERES|8CDMG|9aRCR
45	24234 11121	   	292.08	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2VULN|3FEWX|46TLV|5RAT|7AEFRZ|8ERES|9aRCR
46	24434 11121	   	292.08	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2VULN|3LWND|46TLV|5RAT|7AEFRZ|8ERES|9aRCR
47	51525 11121	   	292.08	DCR|DCR|2TLV|1VULN|1CDMG	16TLV|2RAT|3LWND|4CDMG|5VULN|7AEFRZ|8ERES|9aRCR
48	52221 16621	   	292.08	DCR|DCR|2TLV|1VULN|1CDMG	13TLV|2FEWX|4RAT|5VULN|6AEFRZ|7ERES|8CDMG|9aRCR
