0	Index      	 *	Score 	Summary	Detail	
1	41433 42122	 * 	321.94	ACR|DCR|2TLV|2VULN|1ASPD	1DUST|2aVULN|38RCR|4RAT|5ASPD|69TLV|7MSLTOX
2	51314 25121	   	320.45	ACR|DCR|2TLV|2VULN|2DUR	1aTLV|2LWND|3aFEWX|47VULN|58RCR|6BEXP|9aDUR|aBPWR
3	51314 35121	   	320.45	ACR|DCR|2TLV|2VULN|2DUR	1aTLV|2LWND|3aFEWX|47VULN|58RCR|6LHND|9aDUR|aBPWR
4	32524 33151	 * 	315.40	ACR|DCR|3TLV|2VULN	1MDPS|24aTLV|346LHND|4aBPWR|58RCR|7aFEWX|9aVULN
5	32624 23216	   	308.49	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|89VULN|aZMB
6	61433 42132	 * 	305.23	ACR|DCR|3VULN|1TLV|1ASPD|1MSE	1MSE|29aVULN|38RCR|4RAT|5ASPD|6TLV|7MSLTOX
7	51314 25123	   	305.07	ACR|DCR|2VULN|1TLV|1AEPOI	1TLV|2LWND|3FEWX|47VULN|58RCR|6BEXP|9DUR|aAEPOI
8	51314 35123	   	305.07	ACR|DCR|2VULN|1TLV|1AEPOI	1TLV|2LWND|3FEWX|47VULN|58RCR|6LHND|9DUR|aAEPOI
9	41421 25123	   	304.97	ACR|DCR|2VULN|1TLV|1AEPOI	1DUST|27VULN|38RCR|4LWND|5TLV|6BEXP|9DUR|aAEPOI
10	41421 35123	   	304.97	ACR|DCR|2VULN|1TLV|1AEPOI	1DUST|27VULN|38RCR|4LWND|5TLV|6LHND|9DUR|aAEPOI
11	41433 42121	   	303.09	ACR|DCR|2TLV|1VULN|1ASPD|1AART	1DUST|2VULN|38RCR|4RAT|5ASPD|69TLV|7MSLTOX|aAART
12	51314 25111	   	301.65	ACR|DCR|2TLV|2VULN	1aTLV|2aLWND|3FEWX|47VULN|58RCR|6aBEXP|9DLOT|aBPWR
13	51314 35111	   	301.65	ACR|DCR|2TLV|2VULN	1aTLV|2aLWND|3FEWX|47VULN|58RCR|6aLHND|9DLOT|aBPWR
14	51324 21151	   	301.65	ACR|DCR|2TLV|2VULN	1aTLV|27LWND|3aFEWX|4DUST|58RCR|6BEXP|9aVULN|aBPWR
15	51324 31151	   	301.65	ACR|DCR|2TLV|2VULN	1aTLV|27LWND|3aFEWX|4DUST|58RCR|6LHND|9aVULN|aBPWR
16	32414 21151	   	301.55	ACR|DCR|2TLV|2VULN	1MDPS|2aTLV|37aLWND|4AEFRZ|58RCR|6FEWX|9aVULN|aBPWR
17	32414 31151	   	301.55	ACR|DCR|2TLV|2VULN	1MDPS|2aTLV|37aLWND|4AEFRZ|58RCR|6LHND|9aVULN|aBPWR
18	32434 21151	   	301.55	ACR|DCR|2TLV|2VULN	14MDPS|2aTLV|37LWND|58RCR|6aFEWX|9aVULN|aBPWR
19	32434 31151	   	301.55	ACR|DCR|2TLV|2VULN	14MDPS|2aTLV|37LWND|58RCR|6aLHND|9aVULN|aBPWR
20	32514 33151	   	301.55	ACR|DCR|2TLV|2VULN	1MDPS|2aTLV|36aLHND|4AEFRZ|58RCR|7FEWX|9aVULN|aBPWR
21	32534 33151	   	301.55	ACR|DCR|2TLV|2VULN	14MDPS|2aTLV|36LHND|58RCR|7aFEWX|9aVULN|aBPWR
22	32624 23213	   	301.55	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|89VULN|aLWND
23	32624 23215	   	301.55	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|89VULN|aLIT
24	32624 23243	   	301.55	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|8aVULN|9BEXP
25	32624 23313	   	301.55	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|8BEXP|9aVULN
26	53624 23213	   	301.55	ACR|DCR|2TLV|2VULN	14TLV|2MDPS|346FEWX|4BPWR|57RCR|89VULN|aLWND
27	53624 23313	   	301.55	ACR|DCR|2TLV|2VULN	14TLV|2MDPS|346FEWX|4BPWR|57RCR|8BEXP|9aVULN
28	32624 23211	   	301.45	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|89VULN|aERES
29	32624 23212	   	301.45	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|89VULN|aAETHUN
30	32624 23214	   	301.45	ACR|DCR|2TLV|2VULN|1SELL	1MDPS|24TLV|346FEWX|4BPWR|57RCR|89VULN|aSELL
31	32624 23223	   	301.45	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|8aVULN|9DUST
32	32624 23613	   	301.45	ACR|DCR|2TLV|2VULN	1MDPS|24TLV|346FEWX|4BPWR|57RCR|8DUST|9aVULN
33	53624 23211	   	301.45	ACR|DCR|2TLV|2VULN	14TLV|2MDPS|346FEWX|4BPWR|57RCR|89VULN|aERES
34	53624 23212	   	301.45	ACR|DCR|2TLV|2VULN	14TLV|2MDPS|346FEWX|4BPWR|57RCR|89VULN|aAETHUN
35	53624 23223	   	301.45	ACR|DCR|2TLV|2VULN	14TLV|2MDPS|346FEWX|4BPWR|57RCR|8aVULN|9DUST
36	51314 61132	   	301.42	ACR|DCR|2TLV|1VULN|1DMG	19TLV|27LWND|3FEWX|4VULN|58RCR|6DUR|aDMG
37	51514 21132	   	301.42	ACR|DCR|2TLV|1VULN|1DMG	19TLV|27LWND|3DUR|4VULN|58RCR|6BEXP|aDMG
38	51514 31132	   	301.42	ACR|DCR|2TLV|1VULN|1DMG	19TLV|27LWND|3DUR|4VULN|58RCR|6LHND|aDMG
