0	Index      	 *	Score 	Summary	Detail	
1	25126 15131	 * 	321.37	DCR|3TLV|2VULN|3DMG|1CDMG|1AART	179DMG|2MDPS|3AART|4CDMG|59VULN|6RCR|89aTLV|9BPWR
2	12113 23221	 * 	316.61	DCR|DCR|1TLV|1VULN|2DMG|1AEFBLL|1ASPD|1SELL	1SELL|2RPLT|3ASPD|4AEFBLL|59DMG|67RCR|8VULN|aTLV
3	25126 15133	   	307.72	DCR|2TLV|2VULN|3DMG|1CDMG|1AART	179DMG|2MDPS|3AART|4CDMG|59VULN|6RCR|89TLV|9BPWR|aCGEN
4	25126 15132	   	307.62	DCR|2TLV|2VULN|3DMG|1CDMG|1AART|1SELL	179DMG|2MDPS|3AART|4CDMG|59VULN|6RCR|89TLV|9BPWR|aSELL
5	23621 32165	 * 	305.16	DCR|DCR|2TLV|1VULN|1DMG|1ASPD|1SELL	1DMG|2ASPD|37TLV|4VULN|5LIT|6aRCR|8CGEN|9SELL
6	23622 26115	 * 	303.28	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8FEWX|9RCR|aDUR
7	12113 23324	 * 	299.93	DCR|DCR|2TLV|2ASPD|1AEFBLL|1DMG|1SELL	1SELL|2RPLT|38ASPD|4AEFBLL|5DMG|67RCR|9aTLV
8	21321 36243	 * 	299.56	DCR|DCR|3VULN|2DMG|1AEPOI	17DMG|23FEWX|478VULN|57LIT|69RCR|7BPWR|aAEPOI
9	22421 36243	   	299.56	DCR|DCR|3VULN|2DMG|1AEPOI	17DMG|2LWND|3DMSP|478VULN|57LIT|69RCR|7BPWR|aAEPOI
10	22521 36243	   	299.56	DCR|DCR|3VULN|2DMG|1AEPOI	17DMG|23LWND|478VULN|57LIT|69RCR|7BPWR|aAEPOI
11	22621 36243	   	299.56	DCR|DCR|3VULN|2DMG|1AEPOI	17DMG|2LWND|3RCVC|478VULN|57LIT|69RCR|7BPWR|aAEPOI
12	12113 23261	 * 	299.02	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD|1SELL	1SELL|2RPLT|3ASPD|4AEFBLL|5DMG|67RCR|8VULN|9DMSP|aTLV
13	12113 23241	 * 	298.92	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD|1SELL	1SELL|2RPLT|3ASPD|4AEFBLL|5DMG|67RCR|8VULN|9AEWIND|aTLV
14	12113 23251	 * 	298.92	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD|1SELL	1SELL|2RPLT|3ASPD|4AEFBLL|5DMG|67RCR|8VULN|9DUST|aTLV
15	16135 13243	 * 	298.70	DCR|3VULN|2TLV|3ASPD|1SELL	1SELL|2aTLV|3ZMB|46aASPD|5AETHUN|78aVULN|9RCR|aBPWR
16	23621 33625	 * 	296.55	DCR|DCR|1TLV|1VULN|2DMG|1ASPD|1SELL	19DMG|2ASPD|3TLV|4VULN|5LIT|6aRCR|7CGEN|8SELL
17	23221 32625	 * 	296.55	DCR|DCR|1TLV|1VULN|2DMG|1ASPD|1SELL	19DMG|2ASPD|3MLV|4VULN|5LIT|6aRCR|7TLV|8SELL
18	23321 32625	 * 	296.55	DCR|DCR|1TLV|1VULN|2DMG|1ASPD|1SELL	19DMG|2ASPD|3CGEN|4VULN|5LIT|6aRCR|7TLV|8SELL
19	12133 23221	 * 	296.45	DCR|DCR|1TLV|1VULN|2DMG|1ASPD|1SELL	1SELL|2RPLT|3ASPD|4AEWIND|59DMG|67RCR|8VULN|aTLV
20	23115 41511	 * 	295.17	DCR|2TLV|1VULN|3ASPD|2DMG|2CDMG	17DMG|279ASPD|35CDMG|4FEWX|67TLV|7BPWR|8RCR|aVULN
21	23622 26112	   	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8FEWX|9RCR|aRPLT
22	23622 26113	   	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8FEWX|9RCR|aCGEN
23	23622 26412	   	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8BEXP|9RCR|aRPLT
24	23622 26413	   	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8BEXP|9RCR|aCGEN
25	23622 26512	   	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8LHND|9RCR|aRPLT
26	23622 26513	   	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8LHND|9RCR|aCGEN
