0	Index      	 *	Score 	Summary	Detail	
1	51523 34121	 * 	322.87	ACR|4VULN|3TLV|3RAT|1ASPD	1AAC|29aTLV|3RCR|459aVULN|6ERES|7ASPD|89aRAT|9aBPWR
2	26141 23124	 * 	312.89	DCR|2TLV|2VULN|3DMG|1AEBURN	17TLV|27VULN|3LHND|4AEBURN|578DMG|6AAC|7BPWR|9DUR|aRCR
3	23323 51431	 * 	312.01	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2MLV|3aRCR|45VULN|6DMSP|7RAT|8DUR|9DMG
4	23323 54131	   	312.01	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2MLV|3aRCR|45VULN|6DMSP|7DUR|8RAT|9DMG
5	26141 23134	   	303.23	DCR|2TLV|2VULN|3DMG|1AEBURN	17TLV|27VULN|3LHND|4AEBURN|578DMG|6AAC|7BPWR|9FEWX|aRCR
6	26141 23114	   	303.13	DCR|2TLV|2VULN|3DMG|1AEBURN	17TLV|27VULN|3LHND|4AEBURN|578DMG|6AAC|7BPWR|9DUST|aRCR
7	23323 26131	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2MLV|3aRCR|45VULN|67FEWX|8RAT|9DMG
8	23323 51331	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2MLV|3aRCR|45VULN|6DMSP|7RAT|8FEWX|9DMG
9	23323 53131	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2MLV|3aRCR|45VULN|6DMSP|7LWND|8RAT|9DMG
10	23326 16131	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2MLV|3aRCR|46VULN|57FEWX|8RAT|9DMG
11	23363 16131	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2MLV|3aRCR|47FEWX|56VULN|8RAT|9DMG
12	26141 23224	   	298.48	DCR|2TLV|2VULN|2DMG|1AEBURN|1AART	17TLV|27VULN|3LHND|4AEBURN|57DMG|6AAC|7BPWR|8AART|9ERES|aRCR
13	23322 15215	   	296.01	ACR|DCR|2VULN|1TLV|1AART	1TLV|2MLV|3aRCR|46VULN|5DUR|7LIT|8BEXP|9AART
14	23325 31145	   	296.01	ACR|DCR|2VULN|1TLV|1AART	1TLV|2MLV|3aRCR|48VULN|5BEXP|6LIT|7AART|9DUR
15	26152 33224	 * 	295.75	DCR|3VULN|2TLV|1DMG|1AART	17TLV|267VULN|3LHND|4DMG|57ZMB|7BPWR|8AART|9ERES|aRCR
16	23243 65213	 * 	295.57	DCR|4VULN|2TLV|2CDMG	19TLV|2MLV|3DMSP|479aVULN|59CDMG|6RCR|8BELT|9BPWR
17	26622 43121	 * 	295.41	DCR|DCR|2VULN|1TLV|1DMG	1TLV|27VULN|3RPLT|4LWND|5DMG|6FLTFST|89RCR|aMLV
18	26622 43122	   	295.41	DCR|DCR|2VULN|1TLV|1DMG	1TLV|27VULN|3RPLT|4LWND|5DMG|6FLTFST|89RCR|aAME
19	26622 43123	   	295.41	DCR|DCR|2VULN|1TLV|1DMG	1TLV|27VULN|3RPLT|4LWND|5DMG|6FLTFST|89RCR|aFRZFST
20	26622 62121	   	295.31	DCR|DCR|2VULN|1TLV|1DMG	1TLV|26VULN|3RPLT|4LWND|5DMG|7MSLREG|89RCR|aMLV
21	26622 62122	   	295.31	DCR|DCR|2VULN|1TLV|1DMG	1TLV|26VULN|3RPLT|4LWND|5DMG|7MSLREG|89RCR|aAME
22	26622 62123	   	295.31	DCR|DCR|2VULN|1TLV|1DMG	1TLV|26VULN|3RPLT|4LWND|5DMG|7MSLREG|89RCR|aFRZFST
23	26632 62121	   	295.21	DCR|DCR|2VULN|1TLV|1DMG	1TLV|26VULN|3RPLT|4DUST|5DMG|7CANTOX|89RCR|aMLV
24	26632 62122	   	295.21	DCR|DCR|2VULN|1TLV|1DMG	1TLV|26VULN|3RPLT|4DUST|5DMG|7CANTOX|89RCR|aAME
25	26632 62123	   	295.21	DCR|DCR|2VULN|1TLV|1DMG	1TLV|26VULN|3RPLT|4DUST|5DMG|7CANTOX|89RCR|aFRZFST
26	23313 11352	 * 	294.21	ACR|3TLV|3VULN|2ASPD	19aTLV|2MLV|3RCR|4AETHUN|56aVULN|7RMIN|8aASPD|aBPWR
27	23323 33352	   	294.21	ACR|3TLV|3VULN|2ASPD	19aTLV|2MLV|3RCR|45aVULN|6ERES|7LHND|8aASPD|aBPWR
28	51513 11352	   	294.21	ACR|3TLV|3VULN|2ASPD	1AAC|29aTLV|3RCR|4AETHUN|56aVULN|7RMIN|8aASPD|aBPWR
29	21233 34344	 * 	293.27	DCR|2TLV|2VULN|2DMG|2ASPD|1SELL	17TLV|2AEWIND|3SELL|4AAC|57DMG|67ASPD|7BPWR|8aVULN|9RCR
30	23312 15416	   	293.22	ACR|3VULN|2TLV|1AEBURN|2DUR	17TLV|2MLV|3RCR|4AETHUN|57DUR|679VULN|7BPWR|8RPLT|aAEBURN
31	23312 15516	   	293.22	ACR|3VULN|2TLV|1AEBURN|2DUR	17TLV|2MLV|3RCR|4AETHUN|57DUR|678VULN|7BPWR|9RPLT|aAEBURN
32	23312 15531	   	293.22	ACR|3VULN|2TLV|1AEFBLL|2DUR	17TLV|2MLV|3RCR|4AETHUN|57DUR|678VULN|7BPWR|9AME|aAEFBLL
33	23312 15541	   	293.22	ACR|3VULN|2TLV|1AEFBLL|2DUR	17TLV|2MLV|3RCR|4AETHUN|57DUR|678VULN|7BPWR|9RMIN|aAEFBLL
