0	Index      	 *	Score 	Summary	Detail	
1	22531 64222	 * 	315.07	ACR|DCR|2TLV|1VULN|1AEPOI|1CDMG	1LHND|2CDMG|3aTLV|49RCR|5DUR|6AEPOI|7AAC|8VULN
2	22531 64223	   	308.93	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1CDMG	1LHND|2CDMG|3TLV|49RCR|5DUR|6AEPOI|7AAC|8VULN|aDMG
3	22533 43222	   	308.26	ACR|DCR|2TLV|1VULN|2CDMG	1LHND|28CDMG|3aTLV|49RCR|5VULN|6DUR|7ZMB
4	63113 35336	 * 	304.73	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1SELL|2RMIN|3TLV|4DMG|5MDPS|68VULN|7DUR|9aRCR
5	22531 44222	   	304.05	ACR|DCR|2TLV|1VULN|2DUR|1CDMG	1LHND|2CDMG|3aTLV|49RCR|56DUR|7AAC|8VULN
6	22533 43223	   	302.12	ACR|DCR|1TLV|1VULN|1DMG|2CDMG	1LHND|28CDMG|3TLV|49RCR|5VULN|6DUR|7ZMB|aDMG
7	22533 43622	   	301.84	ACR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|3aTLV|49RCR|5VULN|6DUR|7ZMB|8AEFRZ
8	32533 34122	   	299.77	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG|1MSE	1MSE|2CDMG|3aTLV|49RCR|5AEBURN|6AAC|7VULN|8DUR
9	32533 44122	   	299.77	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG|1MSE	1MSE|2CDMG|3aTLV|49RCR|5AEBURN|6VULN|7AAC|8DUR
10	22533 22213	 * 	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1LHND|2CDMG|3TLV|4aRCR|58VULN|6DUST|7DUR|9FEWX
11	22533 25222	   	298.50	ACR|DCR|2TLV|1VULN|2CDMG	1LHND|28CDMG|3aTLV|49RCR|5VULN|6DUST|7ZMB
12	22531 44223	   	297.91	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	1LHND|2CDMG|3TLV|49RCR|56DUR|7AAC|8VULN|aDMG
13	22533 43623	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1LHND|2CDMG|3TLV|49RCR|5VULN|6DUR|7ZMB|8AEFRZ|aDMG
14	12652 22327	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	1AAC|2AEBURN|38VULN|4aRCR|5FEWX|6LIT|7MBVNT|9TLV
15	22531 21553	   	295.11	ACR|DCR|2TLV|1VULN|1CDMG	18LHND|2CDMG|38TLV|4aRCR|5DUR|6DUST|78BEXP|8BPWR|9VULN
16	22533 34122	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	16LHND|2CDMG|3aTLV|49RCR|5VULN|7AAC|8DUR
17	22531 34222	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	16LHND|2CDMG|3aTLV|49RCR|5DUR|7AAC|8VULN
18	22533 22143	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|39TLV|4aRCR|5VULN|6DUST|7DUR|8FEWX
19	22533 22343	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|39TLV|4aRCR|5VULN|6DUST|7DUR|8LWND
20	22531 21243	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|39TLV|4aRCR|5DUR|6DUST|7BEXP|8VULN
21	32533 34123	   	293.63	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG|1MSE	1MSE|2CDMG|3TLV|49RCR|5AEBURN|6AAC|7VULN|8DUR|aDMG
22	32533 44123	   	293.63	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG|1MSE	1MSE|2CDMG|3TLV|49RCR|5AEBURN|6VULN|7AAC|8DUR|aDMG
23	22533 25223	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|2CDMG	1LHND|28CDMG|3TLV|49RCR|5VULN|6DUST|7ZMB|aDMG
24	22532 13246	   	292.18	ACR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|39TLV|4aRCR|5MDPS|6MLV|7ZMB|8VULN
25	22533 25622	   	292.08	ACR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|3aTLV|49RCR|5VULN|6DUST|7ZMB|8AEFRZ
26	32533 34222	   	290.11	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG|1MSE	1MSE|2CDMG|3aTLV|49RCR|5AEBURN|6AAC|7VULN|8LHND
27	32533 44222	   	290.11	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG|1MSE	1MSE|2CDMG|3aTLV|49RCR|5AEBURN|6VULN|7AAC|8LHND
