0	Index      	 *	Score 	Summary	Detail	
1	24116 18121	 * 	299.00	DCR|3TLV|2VULN|2DMG|1AART	1DMSP|279TLV|3MBVNT|4AART|57VULN|67DMG|7BPWR|8FRZICY|aRCR
2	52343 11111	 * 	290.38	DCR|2VULN|1TLV|3DMG|3RAT|1ASPD	1TLV|26VULN|389RAT|4ASPD|567DMG|6BPWR|aRCR
3	52623 11111	   	290.38	DCR|2VULN|1TLV|3DMG|3RAT|1ASPD	1TLV|26VULN|3ASPD|489RAT|567DMG|6BPWR|aRCR
4	24116 18111	   	285.25	DCR|2TLV|2VULN|2DMG|1AART	1DMSP|27TLV|3MBVNT|4AART|57VULN|67DMG|7BPWR|8FRZICY|9MDPS|aRCR
5	52221 34513	 * 	281.96	DCR|3VULN|2TLV|1AART	14TLV|268VULN|3LWND|5RAT|7DUR|9RCR|aAART
6	52222 15513	   	281.96	DCR|3VULN|2TLV|1AART	14TLV|268VULN|3LWND|5DUR|7RAT|9RCR|aAART
7	52411 33513	   	281.96	DCR|3VULN|2TLV|1AART	13TLV|268VULN|4DUR|5RAT|7LWND|9RCR|aAART
8	54311 33513	   	281.96	DCR|3VULN|2TLV|1AART	12TLV|368VULN|4DUR|5RAT|7LWND|9RCR|aAART
9	52442 33233	   	281.78	DCR|3VULN|2TLV|1ASPD	13TLV|258VULN|4ZMB|6RAT|7MBVNT|9RCR|aASPD
10	54342 33233	   	281.78	DCR|3VULN|2TLV|1ASPD	12TLV|358VULN|4ZMB|6RAT|7MBVNT|9RCR|aASPD
11	52325 41312	 * 	281.36	DCR|3VULN|2TLV|1DMG	1aTLV|257VULN|3RAT|4AAC|6RCR|8LIT|9DMG
12	54116 14121	   	281.22	DCR|3TLV|2VULN|1DMG|1AART	129TLV|3MBVNT|4AART|57VULN|6DMG|8FRZICY|aRCR
13	52435 31323	 * 	279.43	DCR|2TLV|2VULN|1AEBURN|2DUR|1AART	13TLV|25VULN|4AART|6AEBURN|78DUR|9AAC|aRCR
14	54335 31323	   	279.43	DCR|2TLV|2VULN|1AEBURN|2DUR|1AART	12TLV|35VULN|4AART|6AEBURN|78DUR|9AAC|aRCR
15	54423 32213	 * 	278.14	DCR|3TLV|1VULN|1DMG|1AEBURN|1CDMG|1AART	125TLV|3MSLREG|4AART|6DMG|7CDMG|8VULN|9AEBURN|aRCR
16	54623 32213	   	278.14	DCR|3TLV|1VULN|1DMG|1AEBURN|1CDMG|1AART	125TLV|3LSRICY|4AART|6DMG|7CDMG|8VULN|9AEBURN|aRCR
17	31243 41342	   	277.76	DCR|3VULN|2TLV|1CDMG	1DUST|2aBEXP|3FEWX|4CDMG|59aVULN|6RCR|7DUR|8aTLV|aBPWR
18	41213 42342	 * 	275.50	DCR|4VULN|2TLV	1LEGI|259aVULN|3FEWX|4aLHND|6RCR|7RPLT|8aTLV|aBPWR
19	36213 42342	   	275.40	DCR|4VULN|2TLV	1aDUST|259aVULN|3FEWX|4LHND|6RCR|7RPLT|8aTLV|aBPWR
