0	Index      	 *	Score 	Summary	Detail	
1	13111 34451	 * 	315.20	DCR|DCR|2VULN|1TLV|2ASPD|2RAT	1RPLT|29VULN|39RAT|4TLV|5LWND|6RMIN|7aRCR|89ASPD|9BPWR
2	32334 36123	 * 	310.89	DCR|2TLV|2VULN|2DMG|1AEBURN|1CDMG	1DUR|2CDMG|3aTLV|4aDMG|5MLV|6aVULN|7AEBURN|8FEWX|9RCR|aBPWR
3	13342 33653	 * 	310.28	DCR|3VULN|2TLV|2ASPD|1AEPOI	1RPLT|24aVULN|34ERES|4aBPWR|5aTLV|6DUR|7RCR|8AEPOI|9aASPD
4	12111 16221	 * 	305.60	ACR|DCR|2VULN|1TLV|1ASPD	1RPLT|2TLV|3aRCR|4RAT|57VULN|6CGEN|8ASPD|9DUR
5	12115 33531	   	305.60	ACR|DCR|2VULN|1TLV|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|68VULN|7DUR|9AME
6	12111 14321	   	302.22	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1RPLT|2TLV|3aRCR|4RAT|5VULN|6CGEN|7DMG|8AEPOI|9DUR
7	34263 11124	 * 	301.57	DCR|3VULN|2TLV|2DMG	1DUR|29DMG|3aTLV|4LEGI|578VULN|6RCR
8	12121 14343	 * 	296.09	ACR|2TLV|2VULN|2ASPD|1DMG|1AEPOI	1RPLT|28TLV|3RCR|4RCVC|5BELT|68VULN|78ASPD|8BPWR|9DMG|aAEPOI
9	12121 54343	   	296.09	ACR|2TLV|2VULN|2ASPD|1DMG|1AEPOI	1RPLT|28TLV|3RCR|4RCVC|5BELT|68ASPD|78VULN|8BPWR|9DMG|aAEPOI
10	12111 16261	   	295.94	ACR|DCR|2VULN|1TLV|1ASPD	1RPLT|2TLV|3aRCR|4RAT|57VULN|6CGEN|8ASPD|9LHND
11	12111 16231	   	295.84	ACR|DCR|2VULN|1TLV|1ASPD	1RPLT|2TLV|3aRCR|4RAT|57VULN|6CGEN|8ASPD|9DUST
12	12115 21651	   	295.80	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6CGEN|7AEPOI|8DUR|9VULN
13	12115 22321	   	295.80	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6CGEN|7VULN|8AEPOI|9DUR
14	12115 33131	   	295.80	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6VULN|7DUR|8AEBURN|9AME
15	12115 11651	   	295.70	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6ERES|7AEPOI|8DUR|9VULN
16	34263 11126	   	295.43	DCR|3VULN|1TLV|2DMG|1AEFBLL	1DUR|29DMG|3TLV|4LEGI|578VULN|6RCR|aAEFBLL
17	12111 14361	   	292.56	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1RPLT|2TLV|3aRCR|4RAT|5VULN|6CGEN|7DMG|8AEPOI|9LHND
18	12111 14331	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1RPLT|2TLV|3aRCR|4RAT|5VULN|6CGEN|7DMG|8AEPOI|9DUST
