0	Index      	 *	Score 	Summary	Detail	
1	43351 43321	 * 	318.96	ACR|4VULN|2TLV|2DUR|1ASPD|1AART	1RCR|27TLV|3FEWX|4AART|57DUR|679aVULN|7BPWR|8ASPD
2	43351 43323	   	317.97	ACR|3VULN|2TLV|1AEFBLL|2DUR|1ASPD|1AART	1RCR|27TLV|3FEWX|4AART|57DUR|679VULN|7BPWR|8ASPD|aAEFBLL
3	43251 63333	 * 	307.76	ACR|3VULN|2TLV|3DMG	1RCR|2aTLV|35ERES|45aVULN|5aBPWR|689DMG|7aBEXP
4	61115 33316	 * 	306.41	DCR|DCR|2VULN|1TLV|1DMG|1AART	1LWND|2RPLT|3DMG|4aVULN|5AART|6FEWX|79RCR|8TLV
5	43332 61411	 * 	305.75	ACR|3TLV|3VULN|2DMG	1RCR|269TLV|3FEWX|49DMG|56AEFRZ|69BPWR|789VULN|aLWND
6	43332 61413	   	305.75	ACR|3TLV|3VULN|2DMG	1RCR|269TLV|3FEWX|49DMG|56AEFRZ|69BPWR|789VULN|aBEXP
7	43332 61412	   	305.65	ACR|3TLV|3VULN|2DMG|1MSE	1RCR|269TLV|3FEWX|49DMG|56AEFRZ|69BPWR|789VULN|aMSE
8	43251 26311	   	301.77	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|35ERES|459VULN|59BPWR|6DUR|7AME|89DMG|aTSLFST
9	43251 26313	   	301.77	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|35ERES|459VULN|59BPWR|6DUR|7AME|89DMG|aRPLT
10	43251 26312	   	301.67	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|35ERES|459VULN|59BPWR|6DUR|7AME|89DMG|aDUST
11	31134 62431	 * 	298.35	DCR|DCR|2TLV|3DMG|1AART	1AETHUN|238DMG|48TLV|5RMIN|68BEXP|79RCR|8BPWR|aAART
12	43351 43322	   	297.81	ACR|3VULN|2TLV|2DUR|1ASPD|1AART|1MSE	1RCR|27TLV|3FEWX|4AART|57DUR|679VULN|7BPWR|8ASPD|aMSE
13	31131 22431	   	297.01	DCR|DCR|2TLV|3DMG	1AETHUN|238DMG|48TLV|58LWND|6RMIN|79RCR|8BPWR|aDUR
14	31136 22431	   	297.01	DCR|DCR|2TLV|3DMG	1AETHUN|238DMG|48TLV|58LHND|6RMIN|79RCR|8BPWR|aDUR
15	16311 82843	 * 	295.40	DCR|3TLV|3VULN|3DUR	178DUR|2RMIN|3LIT|478TLV|5MBVNT|678VULN|78BPWR|9DUST|aRCR
16	43251 21511	   	294.01	ACR|4VULN|2TLV|2DUR	1RCR|29TLV|35ERES|4579VULN|59BPWR|69DUR|8AETHUN|aMSLREG
17	43251 21512	   	294.01	ACR|4VULN|2TLV|2DUR	1RCR|29TLV|35ERES|4579VULN|59BPWR|69DUR|8AETHUN|aDUST
18	43251 21513	   	294.01	ACR|4VULN|2TLV|2DUR	1RCR|29TLV|35ERES|4579VULN|59BPWR|69DUR|8AETHUN|aMBVNT
19	43333 31411	   	292.10	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|3FEWX|49DMG|5ERES|6CGEN|789VULN|9BPWR|aTSLFST
20	43333 31413	   	292.10	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|3FEWX|49DMG|5ERES|6CGEN|789VULN|9BPWR|aRPLT
21	43333 31414	   	292.10	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|3FEWX|49DMG|5ERES|6CGEN|789VULN|9BPWR|aBEXP
22	43333 31415	   	292.10	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|3FEWX|49DMG|5ERES|6CGEN|789VULN|9BPWR|aLWND
23	43333 31416	   	292.10	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|3FEWX|49DMG|5ERES|6aCGEN|789VULN|9BPWR
24	43333 31412	   	292.00	ACR|3VULN|2TLV|2DMG	1RCR|29TLV|3FEWX|49DMG|5ERES|6CGEN|789VULN|9BPWR|aDUST
25	11112 25356	 * 	289.97	DCR|2TLV|1VULN|2DMG|1AEPOI|2DUR|1ASPD	17DUR|2RPLT|37DMG|4VULN|5AIRARM|67TLV|7BPWR|8AEPOI|9ASPD|aRCR
