0	Index      	 *	Score 	Summary	Detail	
1	23151 51411	 * 	301.03	橙3等级2易伤2伤害1毒气减费	1雷电减费27易伤3挖尘47伤害5双倍矿678等级7序列升级9核a毒气减费
2	23662 23243	 * 	295.40	橙3等级3易伤3时间	1雷电减费28a易伤3额外掉落48a等级5导弹对黄6最后敌人78a时间8a序列升级9核
3	23662 13243	   	295.30	橙3等级3易伤3时间	1雷电减费28a易伤3额外掉落48a等级5导弹对黄6挖尘78a时间8a序列升级9核
4	23151 51412	   	280.96	橙3等级2易伤2伤害	1雷电减费27易伤3挖尘47伤害5双倍矿678等级7序列升级9核a低血量敌人
5	23151 51413	   	280.96	橙3等级2易伤2伤害	1雷电减费27易伤3挖尘47伤害5双倍矿678等级7序列升级9核a技能点
6	21443 32513	 * 	279.35	橙3易伤1等级2伤害1攻速	1雷电减费2基地爆炸367易伤4双倍秒伤56伤害6序列升级8攻速9核a等级
7	23151 51332	   	276.97	橙2等级2易伤2伤害	1雷电减费27易伤3挖尘47伤害5双倍矿67等级7序列升级8雷电9时间a核
8	23453 35131	 * 	276.00	橙4易伤1等级1毒气减费	1雷电减费235a易伤4毒气减费6双倍秒伤7随机技能8等级9核
9	23224 56212	   	274.22	橙3易伤2等级1伤害	1雷电减费257易伤37爆破对壮4双倍秒伤67等级7序列升级8核9敌人爆炸a伤害
10	21443 32413	   	272.64	橙3易伤1等级2伤害	1雷电减费2基地爆炸367易伤4双倍秒伤56伤害6序列升级8策反9核a等级
11	21443 36313	   	272.64	橙3易伤1等级2伤害	1雷电减费2基地爆炸368易伤4双倍秒伤56伤害6序列升级7策反9核a等级
