0	Index      	 *	Score 	Summary	Detail	
1	31326 32146	 * 	182.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2FEWX|36aVULN|4CDMG|5ZMB|7AART|8RCR|9DMG
2	31436 21351	 * 	179.99	ACR|3DMG|2VULN|1AART	19DUST|29FEWX|3RCR|4aVULN|5TLV|679DMG|8AART|9BPWR
3	31436 21336	   	179.89	ACR|3DMG|2VULN|1AART	1DUST|2FEWX|3RCR|49VULN|5TLV|67aDMG|8AART
4	31436 21316	 * 	177.88	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2FEWX|3RCR|4aVULN|5TLV|67DMG|8AART|9CDMG
5	33221 33461	   	176.22	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2TLV|368VULN|4ASPD|5ZMB|7RCR|9DMG|aAART
6	11436 52333	 * 	174.60	ACR|3VULN|1AART|1DMG|1ZMB	1LHND|2FEWX|3RCR|479VULN|5ZMB|6AART|8ERES|aDMG
7	31326 32145	   	173.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DMG|aASPD
8	11436 43333	   	173.40	ACR|3VULN|1AART|1DMG|1ZMB	1LHND|2FEWX|3RCR|479VULN|5ZMB|6TLV|8AART|aDMG
9	31436 13336	   	173.30	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|479VULN|5TLV|6ZMB|8AART|aDMG
10	31326 32135	 * 	173.09	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DUST|2FEWX|36VULN|49CDMG|5ZMB|7AART|8RCR|aDMG
11	11436 51223	   	172.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8LWND|aDMG
12	33225 33361	 * 	171.83	DCR|3VULN|1AART|1DMG|2ASPD	18DUST|2TLV|368VULN|48ASPD|5NUKE|7RCR|8BPWR|9DMG|aAART
13	31435 14111	 * 	169.62	ACR|3VULN|3ZMB|1AART	19DUST|2FEWX|3RCR|479VULN|569ZMB|8RPLT|9BPWR|aAART
14	11443 43333	   	169.44	ACR|3VULN|1AART|1DMG|1DUR	1LHND|2FEWX|3RCR|4DUR|5RCVC|679VULN|8AART|aDMG
15	31326 32116	   	169.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2FEWX|36aVULN|4CDMG|5ZMB|7AART|8RCR|9DUR
16	33441 13422	   	167.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2TLV|3CDMG|4RCR|5DMG|6BELT|78VULN|9ZMB|aAART
17	43315 11236	 * 	167.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2RCVC|34DMG|5VULN|6CGEN|7RCR|8CDMG|9ZMB|aAART
18	42611 25231	 * 	167.47	ACR|4VULN|1AART|2DUR	1LIT|2ERES|3RCR|46DUR|5789VULN|aAART
19	31436 21315	   	167.23	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2FEWX|3RCR|4VULN|5TLV|67DMG|8AART|9CDMG|aASPD
20	31436 13316	 * 	166.89	ACR|3VULN|1AART|1CDMG|1ZMB	1DUST|2FEWX|3RCR|47aVULN|5TLV|6ZMB|8AART|9CDMG
21	31326 32142	   	166.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DMG|aLHND
22	31326 32143	   	166.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DMG|aBEXP
23	31326 32144	   	166.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DMG|aRCVC
24	31326 32163	   	166.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9LWND|aDMG
25	31326 32125	   	166.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	19DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|aDMG
26	31326 32141	   	166.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DMG|aERES
27	43413 42223	 * 	166.02	DCR|3DMG|1AART|1VULN|1ASPD	1LIT|2RCVC|3ASPD|468DMG|5BELT|7RCR|9AART|aVULN
28	43315 11232	 * 	165.92	DCR|2VULN|2DMG|2ZMB|1CDMG	1aLIT|2RCVC|34DMG|5aVULN|6CGEN|7RCR|8CDMG|9aZMB|aBPWR
29	33225 33461	   	165.12	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|2TLV|368VULN|4ASPD|5NUKE|7RCR|9DMG|aAART
30	43315 11222	 * 	164.61	DCR|2VULN|2DMG|1CDMG|2ASPD	1aLIT|2RCVC|34DMG|5aVULN|6CGEN|7RCR|8CDMG|9aASPD|aBPWR
31	33221 33361	 * 	164.42	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	18DUST|28TLV|36VULN|4ASPD|58ZMB|7RCR|8BPWR|9DMG|aAART
32	31436 21331	   	164.23	ACR|2VULN|2DMG|1AART	1DUST|2FEWX|3RCR|49VULN|5TLV|67DMG|8AART|aLHND
33	31436 21332	   	164.23	ACR|2VULN|2DMG|1AART	1DUST|2aFEWX|3RCR|49VULN|5TLV|67DMG|8AART
34	31436 21333	   	164.23	ACR|2VULN|2DMG|1AART	1DUST|2FEWX|3RCR|49VULN|5TLV|67DMG|8AART|aLIT
35	43414 31312	 * 	164.21	DCR|2VULN|2DMG|2CDMG|1ASPD	1aLIT|2RCVC|3ASPD|4aDMG|56CDMG|7RCR|8ERES|9aVULN|aBPWR
36	31436 21334	   	164.13	ACR|2VULN|2DMG|1AART	1DUST|2FEWX|3RCR|49VULN|5TLV|67DMG|8AART|aERES
37	31436 22336	   	164.13	ACR|2VULN|2DMG|1AART	1DUST|2FEWX|3RCR|49VULN|57TLV|6aDMG|8AART
38	33441 13432	   	163.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2TLV|3CDMG|4RCR|5DMG|6BELT|78VULN|9ASPD|aAART
39	43315 11226	   	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LIT|2RCVC|34DMG|5VULN|6CGEN|7RCR|8CDMG|9ASPD|aAART
40	33221 61662	 * 	163.17	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1DUST|2TLV|38VULN|4aASPD|5ZMB|6AART|7RCR|9CDMG
41	36221 61216	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2CGEN|39VULN|4ASPD|5ZMB|6AART|7RCR|8FEWX|aDMG
42	33411 43311	   	162.97	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	18DUST|28TLV|3CDMG|4VULN|58DMG|6SELL|7RCR|8BPWR|9ASPD|aAART
43	33411 43411	   	162.97	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1DUST|2TLV|3CDMG|48VULN|5DMG|6SELL|7RCR|9ASPD|aAART
44	35411 43311	   	162.97	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	18DUST|28ERES|3CDMG|4VULN|58DMG|6SELL|7RCR|8BPWR|9ASPD|aAART
45	33221 61436	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2TLV|39VULN|4ASPD|5ZMB|6AART|7RCR|8CGEN|aDMG
46	36221 61316	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2CGEN|39VULN|4ASPD|5ZMB|6AART|7RCR|8LEGI|aDMG
47	33441 53222	 * 	162.80	ACR|3VULN|1DMG|2ASPD|1CDMG	1DUST|2aTLV|3CDMG|4RCR|5DMG|68aVULN|7LIT|9aASPD|aBPWR
48	11431 23333	   	162.50	ACR|3VULN|1AART|1DMG	1LHND|2FEWX|3RCR|479VULN|5BEXP|6RCVC|8AART|aDMG
49	11433 33333	   	162.50	ACR|3VULN|1AART|1DMG	1LHND|2FEWX|3RCR|479VULN|5RCVC|6BEXP|8AART|aDMG
50	11433 43333	   	162.50	ACR|3VULN|1AART|1DMG	1LHND|2FEWX|3RCR|469VULN|5RCVC|7BEXP|8AART|aDMG
