0	Index      	 *	Score 	Summary	Detail	
1	52631 14322	 * 	224.73	DCR|4VULN|3DMG|1AART|1ZMB	1AART|247DMG|3479VULN|47BPWR|5LEGI|6RCR|8BELT|aZMB
2	52641 31122	 * 	221.30	DCR|3VULN|2AART|2DMG|1CDMG|2DUR	1aAART|29DMG|389VULN|4CDMG|5TLV|6RCR|79DUR|9BPWR
3	52312 33626	 * 	219.58	DCR|3VULN|3DMG|1AART|2CDMG	1AART|289DMG|3CGEN|4LEGI|59CDMG|6RCR|79aVULN|9BPWR
4	52312 33124	 * 	218.03	DCR|4VULN|2DMG|1AART|2CDMG	1AART|29DMG|3CGEN|4LEGI|59CDMG|6RCR|789aVULN|9BPWR
5	52112 33124	   	217.93	DCR|4VULN|2DMG|1AART|2CDMG	1AART|29DMG|3ERES|4LEGI|59CDMG|6RCR|789aVULN|9BPWR
6	52631 14321	   	213.62	DCR|4VULN|3DMG|1AART	1AART|247DMG|3479VULN|47BPWR|5LEGI|6RCR|8BELT|aNUKE
7	52631 14131	   	213.17	DCR|3DMG|3VULN|1AART|1CDMG	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ERES|9BEXP|aCDMG
8	52631 14331	   	213.17	DCR|3DMG|3VULN|1AART|1CDMG	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8BELT|9ERES|aCDMG
9	52312 33122	   	210.87	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3CGEN|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aDUR
10	52112 33122	   	210.77	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3ERES|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aDUR
11	52112 33626	   	210.77	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3ERES|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aASPD
12	16142 33124	   	210.62	DCR|4VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5CGEN|6RCR|789aVULN|9BPWR
