0	Index      	 *	Score 	Summary	Detail	
1	24312 24121	 * 	195.59	ACR|4VULN|2DMG|1AART	149aVULN|2RPLT|3RCR|5BELT|6AART|7aDMG|8aLHND|aBPWR
2	24312 24251	 * 	195.04	ACR|3VULN|2DMG|1AART|2ASPD	14aVULN|2RPLT|3RCR|5BELT|6AART|7aDMG|8aASPD|9RMIN|aBPWR
3	24312 26351	   	195.04	ACR|3VULN|2DMG|1AART|2ASPD	14aVULN|2RPLT|3RCR|5BELT|6AART|7aASPD|8aDMG|9RMIN|aBPWR
4	21561 25232	 * 	194.42	DCR|3VULN|2DMG|1AART|2ZMB	16aVULN|258DUST|3aZMB|4AART|7RCR|9aDMG|aBPWR
5	24312 34253	 * 	193.61	ACR|5VULN|3ZMB|3ASPD	1469aVULN|2RPLT|3RCR|5BELT|79aASPD|89aZMB|9aBPWR
6	24311 52422	   	186.64	ACR|4VULN|1AART|1DMG|1DUR	1457VULN|2RPLT|3RCR|6AART|8RCVC|9DMG|aDUR
7	24163 32512	 * 	184.78	DCR|3VULN|2AART|1DMG|1CDMG	17aVULN|2RPLT|3CDMG|49AART|5DMG|6DMSP|8RCR
8	24363 31216	 * 	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5aDMG|6ASPD|7CGEN|9AART
9	24363 11235	 * 	184.29	ACR|3VULN|2DMG|2ZMB|1CDMG	19aVULN|2RPLT|3RCR|4CDMG|59DMG|6ERES|7CGEN|89ZMB|9BPWR
10	24312 36343	 * 	183.62	ACR|5VULN|1AART|1CDMG	1469aVULN|2RPLT|3RCR|5BELT|7AART|8CDMG
11	24311 51212	 * 	182.74	ACR|4VULN|2AART|1CDMG	145aVULN|2RPLT|3RCR|69AART|7ERES|8CDMG
12	24312 33113	 * 	182.71	ACR|5VULN|2DMG	1468aVULN|2RPLT|3RCR|5BELT|7RMIN|9aDMG|aBPWR
13	23131 12444	 * 	182.63	DCR|4VULN|1AART|1DMG|1CDMG	1267VULN|3DMG|4LWND|5FEWX|8AART|9RCR|aCDMG
14	24363 11233	 * 	182.17	ACR|2VULN|2DMG|3ZMB|1CDMG	19VULN|2RPLT|3RCR|4CDMG|59DMG|6ERES|7CGEN|89aZMB|9BPWR
15	24363 14233	   	182.07	ACR|2VULN|2DMG|3ZMB|1CDMG	19VULN|2RPLT|3RCR|4CDMG|59DMG|6ERES|7TLV|89aZMB|9BPWR
16	33221 35515	 * 	181.81	DCR|3DMG|2VULN|1AART|1DUR	17LWND|27VULN|3ERES|4AART|5DUST|67aDMG|7BPWR|8DUR|9RCR
17	24342 24121	   	181.49	ACR|3VULN|2DMG|1AART	19aVULN|2RPLT|3RCR|4DMSP|5BELT|6AART|7aDMG|8aLHND|aBPWR
18	33231 12634	   	181.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|267VULN|3ERES|4ZMB|5DMG|8RCR|9AART|aCDMG
19	24311 52421	   	179.60	ACR|4VULN|1AART|1DMG	1457VULN|2RPLT|3RCR|6AART|8RCVC|9DMG|aDUST
20	24311 52423	   	179.60	ACR|4VULN|1AART|1DMG	1457VULN|2RPLT|3RCR|6AART|8RCVC|9DMG|aERES
21	33231 12444	   	179.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|267VULN|3ERES|4ZMB|5DMG|8AART|9RCR|aCDMG
22	24162 22512	 * 	177.97	DCR|3VULN|2AART|2CDMG|1ASPD	17aVULN|2RPLT|35CDMG|49AART|6ASPD|8RCR
