0	Index      	 *	Score 	Summary	Detail	
1	31334 41134	 * 	199.57	ACR|4VULN|1AART|1DMG|2CDMG	1679VULN|29CGEN|3RCVC|4RCR|5AART|89CDMG|9BPWR|aDMG
2	34263 26112	   	198.88	ACR|4VULN|1AART|1DMG|1CDMG|2DUR	138aVULN|2CDMG|49DUR|5RCR|6AART|7DMG
3	34241 11236	 * 	197.69	DCR|4VULN|1AART|2CDMG|2ZMB|2ASPD	1379VULN|29CDMG|4AART|57ZMB|67MLV|79BPWR|89ASPD|aRCR
4	33511 33255	 * 	195.92	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	178VULN|2LHND|38DMG|4DUST|5ZMB|68ASPD|8BPWR|9RCR|aAART
5	32424 62311	 * 	194.89	ACR|4VULN|2DMG|1AART	1689VULN|2LIT|3RCR|4LHND|56DMG|6BPWR|7AART|aLWND
6	32424 62312	   	194.89	ACR|4VULN|2DMG|1AART	1689VULN|2LIT|3RCR|4LHND|56DMG|6BPWR|7AART|aDMSP
7	32424 62313	   	194.89	ACR|4VULN|2DMG|1AART	1689VULN|2LIT|3RCR|4LHND|56DMG|6BPWR|7AART|aRMIN
8	34241 13236	   	193.63	DCR|4VULN|1AART|2CDMG|2ASPD|1ZMB	1379VULN|29CDMG|4AART|5ZMB|6MLV|89ASPD|9BPWR|aRCR
9	34241 22236	   	193.53	DCR|4VULN|1AART|2CDMG|2ASPD|1ZMB	1369VULN|29CDMG|4AART|5ZMB|7ERES|89ASPD|9BPWR|aRCR
10	33531 33251	 * 	193.41	DCR|3VULN|2DMG|2ASPD|1CDMG|1ZMB|1DUR	178VULN|2LHND|38DMG|4DUR|5ZMB|68ASPD|8BPWR|9RCR|aCDMG
11	36511 33251	   	193.31	DCR|3VULN|2DMG|2ASPD|1CDMG|1ZMB|1DUR	178VULN|2DUR|38DMG|4DUST|5ZMB|68ASPD|8BPWR|9RCR|aCDMG
12	32424 62212	   	193.22	ACR|3VULN|2DMG|1AART|2DUR	16aVULN|2LIT|3RCR|4aLHND|56DMG|6aBPWR|7AART|8FEWX|9aDUR
