0	Index      	 *	Score 	Summary	Detail	
1	16211 16116	 * 	209.24	ACR|3VULN|3DMG|1AART|1ZMB	19aVULN|29aERES|3RCR|4AART|5ZMB|6RPLT|7CGEN|89aDMG|9aBPWR
2	16211 61136	 * 	202.38	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG|1DUR	1aVULN|2ERES|3RCR|4AART|5aZMB|6CDMG|7DUR|8RMIN|9aDMG|aBPWR
3	16212 14226	   	201.66	ACR|3VULN|2DMG|1AART|2DUR|1ASPD	189VULN|28ERES|3RCR|4AART|5aDUR|6ASPD|78DMG|8BPWR
4	16213 14223	 * 	200.87	ACR|3VULN|2AART|2DMG|1ASPD	189VULN|28ERES|3RCR|4aAART|5LWND|6ASPD|78DMG|8BPWR
5	16211 34226	   	200.43	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	189VULN|28ERES|3RCR|4AART|5ZMB|6BEXP|78DMG|8BPWR|aDUR
6	16211 34216	   	198.42	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	18VULN|28ERES|3RCR|4AART|5ZMB|6BEXP|78DMG|8BPWR|9CDMG|aDUR
7	22451 14121	   	198.39	ACR|3VULN|2DMG|1AART|2ASPD|1SELL	1SELL|2RCR|3RPLT|4AART|59aVULN|6aASPD|7aDMG|8DMSP|aBPWR
8	11225 22621	 * 	196.96	ACR|5VULN|1AART|3ASPD|2DUR	1679aVULN|2BEXP|3aDUR|46aASPD|5RCR|6aBPWR|8AART
9	16212 14221	   	196.36	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	189VULN|28ERES|3RCR|4AART|5DUR|6ASPD|78DMG|8BPWR|aLWND
10	16212 14222	   	196.36	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	189VULN|28ERES|3RCR|4AART|5DUR|6ASPD|78DMG|8BPWR|aLHND
11	16212 14224	   	196.36	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	189VULN|28ERES|3RCR|4AART|5DUR|6ASPD|78DMG|8BPWR|aRCVC
12	16213 14226	   	196.36	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	189VULN|28ERES|3RCR|4AART|5LWND|6ASPD|78DMG|8BPWR|aDUR
13	16212 14223	   	196.26	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	189VULN|28ERES|3RCR|4AART|5DUR|6ASPD|78DMG|8BPWR|aDUST
14	16212 14225	   	196.26	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	189VULN|28aERES|3RCR|4AART|5DUR|6ASPD|78DMG|8BPWR
15	16212 14252	   	196.26	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	18aVULN|28ERES|3RCR|4AART|5DUR|6ASPD|78DMG|8BPWR|9LSRREG
16	16232 65222	 * 	196.26	ACR|5VULN|2DMG|1CDMG	1689aVULN|2aERES|3RCR|4CDMG|5BEXP|7aDMG|aBPWR
17	32123 21221	 * 	196.22	DCR|4VULN|2AART|3DUR|1ZMB	18aDUR|25AART|3ZMB|489aVULN|68aLWND|7RCR|8aBPWR
18	32211 61412	 * 	195.35	DCR|5VULN|1AART|3DUR|1CDMG	148DUR|2AART|34568VULN|48BPWR|78MLV|9RCR|aCDMG
19	16212 14212	   	194.36	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	18VULN|28ERES|3RCR|4AART|5DUR|6ASPD|78DMG|8BPWR|9CDMG|aLHND
20	16212 14214	   	194.36	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	18VULN|28ERES|3RCR|4AART|5DUR|6ASPD|78DMG|8BPWR|9CDMG|aLIT
