0	Index      	 *	Score 	Summary	Detail	
1	24333 11626	 * 	194.32	DCR|3DMG|2VULN|1AART|3DUR	17aDUR|257DMG|3AART|47aLHND|6BELT|7aBPWR|8RCR|9aVULN
2	24261 11242	 * 	178.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|29DMG|3MLV|4CGEN|59FEWX|6CDMG|79VULN|8RCR|9BPWR|aAART
3	24235 11242	   	178.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|29DMG|3MLV|4DUST|59CGEN|6CDMG|79VULN|8RCR|9BPWR|aAART
4	24621 11242	   	178.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|29DMG|3TLV|4MLV|59FEWX|6CDMG|79VULN|8RCR|9BPWR|aAART
5	24346 31322	 * 	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3AART|4LWND|568VULN|7CDMG|9RCR|aLHND
6	24346 31323	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3AART|4LWND|568VULN|7CDMG|9RCR|aFEWX
7	24346 31321	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3AART|4LWND|568VULN|7CDMG|9RCR|aERES
8	24526 31322	   	177.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3LWND|4AART|568VULN|7CDMG|9RCR|aLHND
9	24526 31323	   	177.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3LWND|4AART|568VULN|7CDMG|9RCR|aFEWX
10	24426 31322	   	177.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3LEGI|4AART|568VULN|7CDMG|9RCR|aLHND
11	24426 31323	   	177.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3LEGI|4AART|568VULN|7CDMG|9RCR|aFEWX
12	24526 31321	   	177.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3LWND|4AART|568VULN|7CDMG|9RCR|aERES
