0	Index      	 *	Score 	Summary	Detail	
1	21326 31551	 * 	203.97	ACR|3VULN|3DMG|1AART|2DUR	19BEXP|26aVULN|39DUR|489DMG|5RCR|7AART|9BPWR
2	21326 21212	   	193.93	ACR|3DMG|2VULN|1AART|1ZMB|1DUR	16BEXP|2aVULN|3DUR|469DMG|5RCR|6BPWR|7AART|8ZMB
3	21326 31211	   	193.83	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	1BEXP|26aVULN|3DUR|49DMG|5RCR|7AART|8ZMB
4	32312 63434	 * 	193.71	DCR|3DMG|2AART|2VULN	1RPLT|2aMLV|3LIT|49AART|58aDMG|6RCR|7aVULN|aBPWR
5	21326 21316	   	189.86	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	16BEXP|2aVULN|3DUR|469DMG|5RCR|6BPWR|7AART|8ASPD
6	21326 21516	   	189.86	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	16BEXP|2aVULN|3DUR|468DMG|5RCR|6BPWR|7AART|9ASPD
7	21326 31311	   	189.76	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1BEXP|26aVULN|3DUR|49DMG|5RCR|7AART|8ASPD
8	21326 31552	   	188.32	ACR|3DMG|2VULN|1AART|2DUR	19BEXP|26VULN|39DUR|489DMG|5RCR|7AART|9BPWR|aCGEN
9	21326 31553	   	188.32	ACR|3DMG|2VULN|1AART|2DUR	19BEXP|26VULN|39DUR|489DMG|5RCR|7AART|9BPWR|aLIT
10	21326 31316	 * 	187.76	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1BEXP|26VULN|3DUR|49DMG|5RCR|7AART|8ASPD|aCDMG
11	21326 21231	   	185.21	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	16BEXP|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|8ZMB|9ASPD
12	21326 15211	   	184.07	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1BEXP|2aVULN|37DUR|49DMG|5RCR|6AART|8ZMB
13	21326 31212	   	183.47	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1BEXP|26VULN|3aDUR|49DMG|5RCR|7AART|8ZMB
14	21326 31231	   	183.18	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1BEXP|26aVULN|3DUR|4DMG|5RCR|7AART|8ZMB|9ASPD
15	41221 34263	 * 	183.15	DCR|3DMG|2AART|3ZMB	19aZMB|24AART|3LHND|59aDMG|69aTLV|7RCR|8BELT|9aBPWR
16	41321 34263	   	183.15	DCR|3DMG|2AART|3ZMB	19aZMB|24AART|3LWND|59aDMG|69aTLV|7RCR|8BELT|9aBPWR
17	21326 21131	   	182.93	ACR|3DMG|2VULN|1AART|1DUR	16BEXP|2aVULN|3DUR|469DMG|5RCR|6BPWR|7AART|8FEWX
18	21326 21551	   	182.93	ACR|3DMG|2VULN|1AART|1DUR	16BEXP|2aVULN|3DUR|468DMG|5RCR|6BPWR|7AART|9LWND
19	21326 21562	   	182.93	ACR|3DMG|2VULN|1AART|1DUR	16BEXP|2aVULN|3DUR|468DMG|5RCR|6BPWR|7AART|9RMIN
20	61326 21431	   	182.93	ACR|3DMG|2VULN|1AART|1DUR	16FEWX|2aVULN|3DUR|469DMG|5RCR|6BPWR|7AART|8BEXP
21	61326 21612	   	182.93	ACR|3DMG|2VULN|1AART|1DUR	16FEWX|2aVULN|3DUR|469DMG|5RCR|6BPWR|7AART|8RMIN
22	21326 21531	   	182.83	ACR|3DMG|2VULN|1AART|1DUR	16BEXP|2aVULN|3DUR|468DMG|5RCR|6BPWR|7AART|9DUST
23	21326 31131	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|26aVULN|3DUR|49DMG|5RCR|7AART|8FEWX
24	21326 31541	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|26aVULN|3DUR|48DMG|5RCR|7AART|9LHND
25	21326 31561	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|26aVULN|3DUR|48DMG|5RCR|7AART|9LWND
26	61326 21231	   	182.83	ACR|3DMG|2VULN|1AART|1DUR	16FEWX|2aVULN|3DUR|469DMG|5RCR|6BPWR|7AART|8DUST
27	61326 31431	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	1FEWX|26aVULN|3DUR|49DMG|5RCR|7AART|8BEXP
28	61326 31611	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	1FEWX|26aVULN|3DUR|49DMG|5RCR|7AART|8RMIN
29	21326 31521	   	182.73	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|26aVULN|3DUR|48DMG|5RCR|7AART|9LEGI
30	21326 31531	   	182.73	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|26aVULN|3DUR|48DMG|5RCR|7AART|9DUST
31	61326 31231	   	182.73	ACR|3VULN|2DMG|1AART|1DUR	1FEWX|26aVULN|3DUR|49DMG|5RCR|7AART|8DUST
32	21326 62531	   	182.43	ACR|3VULN|2DMG|1AART|1DUR	17BEXP|27aVULN|3DUR|49DMG|5RCR|67FEWX|7BPWR|8AART
33	21326 23531	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	16BEXP|2aVULN|3DUR|469DMG|5RCR|6BPWR|7DUST|8AART
34	61326 23531	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	16FEWX|2aVULN|3DUR|469DMG|5RCR|6BPWR|7DUST|8AART
35	21326 33531	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|26aVULN|3DUR|49DMG|5RCR|7DUST|8AART
36	61326 33531	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	1FEWX|26aVULN|3DUR|49DMG|5RCR|7DUST|8AART
37	41133 23214	 * 	181.05	DCR|2VULN|3ZMB|1AART|1DMG|2DUR	189ZMB|2AART|3DUST|49VULN|5DMG|6ERES|79DUR|9BPWR|aRCR
38	21326 21331	 * 	180.82	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	16BEXP|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|89ASPD
39	32312 63653	 * 	180.06	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|2MLV|3LIT|4AART|5aDMG|6RCR|79VULN|8CDMG
40	21326 15311	   	180.00	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1BEXP|2aVULN|37DUR|49DMG|5RCR|6AART|8ASPD
41	21326 31312	   	179.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1BEXP|26VULN|3aDUR|49DMG|5RCR|7AART|8ASPD
42	61326 22132	 * 	179.27	ACR|3DMG|2VULN|1CDMG|2DUR	169FEWX|28VULN|39DUR|469DMG|5RCR|69BPWR|7RCVC|aCDMG
43	21326 21133	 * 	178.99	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	16BEXP|2VULN|3DUR|469DMG|5RCR|6BPWR|7AART|8FEWX|aCDMG
44	21326 21553	   	178.99	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	16BEXP|2VULN|3DUR|468DMG|5RCR|6BPWR|7AART|9LWND|aCDMG
45	61326 21433	   	178.99	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	16FEWX|2VULN|3DUR|469DMG|5RCR|6BPWR|7AART|8BEXP|aCDMG
46	21326 21535	   	178.89	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	16BEXP|2VULN|3DUR|468DMG|5RCR|6BPWR|7AART|9DUST|aCDMG
47	61326 21235	   	178.89	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	16FEWX|2VULN|3DUR|469DMG|5RCR|6BPWR|7AART|8DUST|aCDMG
48	21326 31331	 * 	178.79	ACR|3VULN|1AART|1DMG|2ASPD|1DUR	1BEXP|26aVULN|3DUR|4DMG|5RCR|7AART|89ASPD
49	21326 23535	   	178.29	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	16BEXP|2VULN|3DUR|469DMG|5RCR|6BPWR|7DUST|8AART|aCDMG
50	32245 23241	 * 	178.29	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RPLT|2MLV|36aVULN|4DMG|5RCR|7ASPD|8AART|9CDMG
51	21326 21241	   	178.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	16BEXP|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|8ZMB|9MLV
52	21326 21252	   	178.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	169BEXP|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|8ZMB
