0	Index      	 *	Score 	Summary	Detail	
1	22412 14322	 * 	188.40	DCR|3DMG|2VULN|1AART|2DUR	19DUR|269DMG|3LWND|4VENICY|59VULN|7RCR|8RPLT|9BPWR|aAART
2	22415 13322	 * 	186.42	ACR|3DMG|2VULN|1AART|2DUR	19DUR|269DMG|3LWND|4VENICY|5RCR|79VULN|8RPLT|9BPWR|aAART
3	22231 36653	 * 	183.97	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3CDMG|4DUST|569VULN|7ZMB|8AART|aRCR
4	22213 13333	 * 	182.54	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1DUR|29DMG|3CDMG|4LWND|5ASPD|68VULN|7AART|aRCR
5	22433 13333	   	182.54	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1DUR|29DMG|3LWND|4CDMG|5ASPD|68VULN|7AART|aRCR
6	12136 23653	   	181.84	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1DUST|26DMG|3ASPD|4CDMG|59VULN|7DUR|8AART|aRCR
7	22261 35433	   	181.34	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1DUR|27DMG|3CDMG|4BEXP|56VULN|8ASPD|9AART|aRCR
8	22412 14321	 * 	180.85	DCR|3VULN|3DMG|2DUR	19DUR|269DMG|3LWND|4VENICY|59aVULN|7RCR|8RPLT|9BPWR
9	22213 13353	   	180.61	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2DMG|3CDMG|4LWND|5ASPD|689VULN|7AART|aRCR
10	22433 13353	   	180.61	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2DMG|3LWND|4CDMG|5ASPD|689VULN|7AART|aRCR
11	22261 33653	   	180.01	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|3CDMG|4BEXP|569VULN|7ASPD|8AART|aRCR
12	12136 13653	   	179.91	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUST|2DMG|3ASPD|4CDMG|569VULN|7DUR|8AART|aRCR
13	12631 33653	   	179.91	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUST|2DMG|3DUR|4CDMG|569VULN|7ASPD|8AART|aRCR
14	22231 33653	   	179.91	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|3CDMG|4DUST|569VULN|7ASPD|8AART|aRCR
15	22233 14653	   	179.91	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|3CDMG|4DUST|5ASPD|679VULN|8AART|aRCR
16	62261 62232	 * 	179.33	DCR|3DMG|1AART|1VULN|2ASPD	1NUKE|2AART|3RMIN|48aDMG|5VULN|6RCR|7aASPD|9aLIT|aBPWR
17	33521 32364	 * 	178.95	ACR|2DMG|3CDMG|1AART|1VULN|1ZMB	1ERES|234CDMG|5RCR|69DMG|7ZMB|8AART|aVULN
18	22415 13321	 * 	178.87	ACR|3VULN|3DMG|2DUR	19DUR|269DMG|3LWND|4VENICY|5RCR|79aVULN|8RPLT|9BPWR
19	22412 14323	 * 	178.85	DCR|3DMG|2VULN|1CDMG|2DUR	19DUR|269DMG|3LWND|4VENICY|59VULN|7RCR|8RPLT|9BPWR|aCDMG
20	22633 63213	 * 	178.75	DCR|3VULN|2DMG|1CDMG|2DUR	13DUR|28DMG|4LIT|56aVULN|7RCR|9CDMG
21	22633 63214	   	178.75	DCR|3DMG|2VULN|1CDMG|2DUR	13DUR|28aDMG|4LIT|56VULN|7RCR|9CDMG
22	22626 13324	 * 	177.95	ACR|3DMG|1AART|1VULN|3DUR	138DUR|28aDMG|4RCR|5AART|68DUST|7RPLT|8BPWR|9VULN
23	33521 32125	 * 	177.75	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	1ERES|234CDMG|5RCR|6DMG|7ZMB|89VULN|aAART
24	33521 32145	   	177.75	ACR|2DMG|3CDMG|1AART|1VULN|1ZMB	1ERES|234CDMG|5RCR|69DMG|7ZMB|8VULN|aAART
25	22415 13323	 * 	176.87	ACR|3DMG|2VULN|1CDMG|2DUR	19DUR|269DMG|3LWND|4VENICY|5RCR|79VULN|8RPLT|9BPWR|aCDMG
26	22612 42612	 * 	176.02	DCR|4VULN|2DMG|3DUR	134DUR|27DMG|57LWND|6789VULN|7BPWR|aRCR
27	22613 42612	   	176.02	DCR|4VULN|2DMG|3DUR	134DUR|27DMG|57LHND|6789VULN|7BPWR|aRCR
28	12412 14322	   	175.97	DCR|3DMG|2VULN|1AART	19DUST|269DMG|3LWND|4VENICY|59VULN|7RCR|8RPLT|9BPWR|aAART
29	22626 13321	 * 	175.94	ACR|2DMG|1AART|1VULN|3DUR|1CDMG	138DUR|28DMG|4RCR|5AART|68DUST|7RPLT|8BPWR|9VULN|aCDMG
30	33326 22472	   	175.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2CDMG|3AART|489VULN|5MBVNT|6DMG|7ASPD|aRCR
31	33326 82272	   	175.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2CDMG|3AART|469VULN|5MBVNT|7ASPD|8DMG|aRCR
32	12612 14321	   	175.36	DCR|3VULN|3DMG|1DUR	19DUST|269DMG|3DUR|4VENICY|59aVULN|7RCR|8RPLT|9BPWR
33	22624 23322	 * 	174.85	ACR|3DMG|1AART|2CDMG|3DUR	139DUR|269DMG|4RCR|5TLV|7VENICY|89CDMG|9BPWR|aAART
34	33326 82464	 * 	174.26	DCR|3VULN|1AART|1FLTHEA|1CDMG|1ASPD	1ERES|2CDMG|3AART|469VULN|5MBVNT|7ASPD|8RCR|aFLTHEA
35	22256 12533	 * 	174.13	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1DUR|2DMG|37CDMG|4ZMB|56VULN|8BEXP|9AART|aRCR
36	22256 22533	 * 	174.13	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1DUR|26DMG|37CDMG|4ZMB|5VULN|8BEXP|9AART|aRCR
37	33322 53262	   	174.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2CDMG|3AART|4aVULN|5BELT|6RCVC|7RCR|8ZMB|9DMG
38	12256 12333	   	174.03	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1DUST|2DMG|37CDMG|4ZMB|56VULN|8DUR|9AART|aRCR
39	12256 22333	   	174.03	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1DUST|26DMG|37CDMG|4ZMB|5VULN|8DUR|9AART|aRCR
40	22256 12233	   	174.03	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1DUR|2DMG|37CDMG|4ZMB|56VULN|8DUST|9AART|aRCR
41	22256 22233	   	174.03	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1DUR|26DMG|37CDMG|4ZMB|5VULN|8DUST|9AART|aRCR
42	22626 13326	 * 	173.74	ACR|2AART|2DMG|1VULN|3DUR	138DUR|28DMG|4RCR|5aAART|68DUST|7RPLT|8BPWR|9VULN
43	22261 36613	   	173.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	19DUR|2DMG|3CDMG|4BEXP|56VULN|7ZMB|8AART|aRCR
44	12256 13613	   	173.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1DUST|2DMG|3CDMG|4ZMB|56VULN|79DUR|8AART|aRCR
45	12256 23613	   	173.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1DUST|26DMG|3CDMG|4ZMB|5VULN|79DUR|8AART|aRCR
46	12631 36613	   	173.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1DUST|2DMG|39DUR|4CDMG|56VULN|7ZMB|8AART|aRCR
47	22231 26653	   	173.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	16DUR|2DMG|3CDMG|4DUST|59VULN|7ZMB|8AART|aRCR
48	22231 36613	   	173.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	19DUR|2DMG|3CDMG|4DUST|56VULN|7ZMB|8AART|aRCR
49	12612 14323	   	173.35	DCR|3DMG|2VULN|1CDMG|1DUR	19DUST|269DMG|3DUR|4VENICY|59VULN|7RCR|8RPLT|9BPWR|aCDMG
50	22256 13533	   	173.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	17DUR|2DMG|3CDMG|4ZMB|56VULN|8BEXP|9AART|aRCR
51	22256 23533	   	173.11	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	17DUR|26DMG|3CDMG|4ZMB|5VULN|8BEXP|9AART|aRCR
52	22256 13233	   	173.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	17DUR|2DMG|3CDMG|4ZMB|56VULN|8DUST|9AART|aRCR
53	22256 23233	   	173.01	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	17DUR|26DMG|3CDMG|4ZMB|5VULN|8DUST|9AART|aRCR
54	62261 61332	   	172.52	DCR|3VULN|1AART|1DMG|1ASPD	1NUKE|2AART|3RMIN|4DMG|589VULN|6RCR|7FEWX|aASPD
55	22622 23531	   	172.48	ACR|3DMG|1VULN|1CDMG|2DUR|1ZMB	13DUR|268DMG|4RCR|5ZMB|7SNIHEL|9VULN|aCDMG
56	33326 82462	   	171.61	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ERES|2CDMG|3AART|469VULN|5MBVNT|7ASPD|8RCR|aZMB
57	33322 13262	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16ERES|2CDMG|3AART|4aVULN|5BELT|7RCR|8ZMB|9DMG
58	33326 68432	   	171.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2CDMG|3AART|48VULN|5MBVNT|6ZMB|7DMG|9ASPD|aRCR
59	22261 33633	 * 	170.96	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2DMG|3CDMG|4BEXP|56VULN|79ASPD|8AART|aRCR
60	22263 14633	   	170.96	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2DMG|3CDMG|4BEXP|59ASPD|67VULN|8AART|aRCR
61	12136 13633	   	170.86	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUST|2DMG|39ASPD|4CDMG|56VULN|7DUR|8AART|aRCR
62	12136 23633	 * 	170.86	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1DUST|26DMG|39ASPD|4CDMG|5VULN|7DUR|8AART|aRCR
63	12631 33633	   	170.86	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUST|2DMG|3DUR|4CDMG|56VULN|79ASPD|8AART|aRCR
64	12633 14633	   	170.86	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUST|2DMG|3DUR|4CDMG|59ASPD|67VULN|8AART|aRCR
65	22231 33633	   	170.86	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2DMG|3CDMG|4DUST|56VULN|79ASPD|8AART|aRCR
66	22233 14633	   	170.86	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2DMG|3CDMG|4DUST|59ASPD|67VULN|8AART|aRCR
67	22622 21255	   	170.80	ACR|2DMG|1AART|1VULN|3DUR|1ZMB	137DUR|26DMG|4RCR|5ZMB|8CANSTR|9AART|aVULN
68	22622 21523	   	170.80	ACR|2DMG|1AART|1VULN|3DUR|1ZMB	137DUR|26DMG|4RCR|5ZMB|8DUST|9AART|aVULN
69	12136 33653	   	170.57	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1DUST|2DMG|3ASPD|46CDMG|59VULN|7DUR|8AART|aRCR
70	62261 62212	   	170.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1NUKE|2AART|3RMIN|48DMG|5VULN|6RCR|7ASPD|9FEWX|aCDMG
71	62261 62222	   	170.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1NUKE|2AART|3RMIN|48DMG|5VULN|6RCR|7ASPD|9LWND|aCDMG
